GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	1804	4.498753117206983
0.002857	106	740	6.981132075471698
0.005714	47	117	2.4893617021276597
0.008571	54	126	2.3333333333333335
0.011429	20	45	2.25
0.014286	95	420	4.421052631578948
0.017143	68	280	4.117647058823529
0.020000	45	220	4.888888888888889
0.022857	33	130	3.9393939393939394
0.025714	78	302	3.871794871794872
0.028571	129	822	6.372093023255814
0.031429	119	769	6.46218487394958
0.034286	265	1802	6.8
0.037143	139	714	5.136690647482014
0.040000	220	1153	5.240909090909091
0.042857	143	658	4.601398601398602
0.045714	223	1171	5.251121076233184
0.048571	253	1504	5.944664031620554
0.051429	265	1853	6.992452830188679
0.054286	249	1390	5.582329317269076
0.057143	264	1436	5.4393939393939394
0.060000	331	1884	5.691842900302115
0.062857	346	2416	6.982658959537572
0.065714	375	2139	5.704
0.068571	471	2678	5.685774946921444
0.071429	452	2447	5.413716814159292
0.074286	520	3095	5.951923076923077
0.077143	556	3845	6.91546762589928
0.080000	582	3920	6.7353951890034365
0.082857	799	6544	8.190237797246558
0.085714	900	7861	8.734444444444444
0.088571	1021	9472	9.277179236043095
0.091429	1188	8025	6.755050505050505
0.094286	1213	8121	6.694971145919209
0.097143	1308	9533	7.288226299694189
0.100000	1469	10225	6.960517358747447
0.102857	1590	11666	7.337106918238994
0.105714	1766	14116	7.993204983012458
0.108571	1724	14582	8.458236658932714
0.111429	1762	14074	7.987514188422248
0.114286	1824	12853	7.046600877192983
0.117143	2132	14726	6.907129455909944
0.120000	2159	14819	6.8638258452987495
0.122857	2675	18096	6.764859813084112
0.125714	3186	22730	7.134337727558067
0.128571	3458	23346	6.751301330248698
0.131429	3515	23298	6.628165007112376
0.134286	4163	28498	6.8455440787893345
0.137143	4088	28813	7.048189823874756
0.140000	4560	32636	7.1570175438596495
0.142857	5073	35098	6.918588606347329
0.145714	5125	36763	7.173268292682927
0.148571	5600	42829	7.648035714285714
0.151429	6185	46732	7.555699272433307
0.154286	7087	51988	7.335685057146889
0.157143	7962	58340	7.3273046973122336
0.160000	9103	65184	7.16071624739097
0.162857	11298	89155	7.8912196848999825
0.165714	15826	105606	6.6729432579299885
0.168571	19339	119117	6.159418791044004
0.171429	19973	128320	6.4246733089671055
0.174286	20554	133844	6.511822516298531
0.177143	21690	144033	6.640525587828493
0.180000	22535	152874	6.783847348568893
0.182857	23699	164313	6.933330520275117
0.185714	26908	190347	7.073992864575591
0.188571	29749	213995	7.193351037009648
0.191429	33720	240287	7.125948991696323
0.194286	38012	269686	7.094759549615911
0.197143	42734	307776	7.202134132072823
0.200000	47142	339614	7.204064316320903
0.202857	53563	387113	7.227246420103429
0.205714	61594	449729	7.301506640257168
0.208571	68081	487348	7.158355488315389
0.211429	75847	525566	6.929291863883871
0.214286	82496	572272	6.936966640806827
0.217143	90121	625585	6.941611832980104
0.220000	98123	680597	6.936161756163183
0.222857	109920	766017	6.968859170305677
0.225714	120415	837167	6.952348129385874
0.228571	134897	938506	6.957204385568248
0.231429	147441	1024467	6.948318310374997
0.234286	163418	1129205	6.909918124074459
0.237143	181928	1252007	6.881881843366607
0.240000	199533	1372500	6.878561440964653
0.242857	220462	1514039	6.867573550090265
0.245714	241676	1653448	6.841589566196064
0.248571	264025	1809728	6.854381213900199
0.251429	290343	1962987	6.7609241483349
0.254286	314041	2117425	6.742511328138683
0.257143	339992	2278293	6.701019435751429
0.260000	371321	2485732	6.694294155191869
0.262857	402067	2685335	6.67882467349969
0.265714	435052	2906391	6.680560025008504
0.268571	469598	3121064	6.64624636391126
0.271429	505986	3333313	6.587757368780954
0.274286	543325	3556877	6.546499792941609
0.277143	581899	3790103	6.513334788339558
0.280000	620395	4025448	6.4885242466493125
0.282857	663209	4274423	6.44506181309361
0.285714	705513	4539357	6.43412240454818
0.288571	751546	4802430	6.39006793995311
0.291429	800194	5087315	6.357602031507359
0.294286	847792	5397944	6.367061732122973
0.297143	896630	5799805	6.468448523917335
0.300000	952187	6093104	6.399062369051458
0.302857	1007306	6260514	6.21510643240485
0.305714	1060750	6542334	6.167649304737214
0.308571	1110869	6759880	6.085217968995444
0.311429	1158074	7019842	6.061652364183981
0.314286	1208717	7283895	6.02613763188571
0.317143	1253428	7473808	5.962694307132121
0.320000	1297782	7687000	5.9231827841656
0.322857	1338416	7878372	5.886340270887377
0.325714	1381228	8097057	5.8622160859756685
0.328571	1415649	8288292	5.854764846370816
0.331429	1441542	8438314	5.853671970709144
0.334286	1468248	8512680	5.797848864769439
0.337143	1483748	8544420	5.7586733057095945
0.340000	1497480	8583797	5.7321613644255685
0.342857	1509829	8617858	5.707837112679647
0.345714	1521863	8645844	5.681092187667352
0.348571	1538276	8701229	5.6564810216112065
0.351429	1552784	8740099	5.628663742027223
0.354286	1567247	8761838	5.590591655303855
0.357143	1574272	8762181	5.565862188999105
0.360000	1585438	8761566	5.526274758142545
0.362857	1596759	8775361	5.495732918994038
0.365714	1593591	8717732	5.470495252545979
0.368571	1591764	8664975	5.443630462807301
0.371429	1588037	8609575	5.421520405380983
0.374286	1583348	8545446	5.397073795526946
0.377143	1580296	8491036	5.37306681786197
0.380000	1571456	8400953	5.345967688563982
0.382857	1564263	8303217	5.308069678819994
0.385714	1557086	8219342	5.278669257831616
0.388571	1548773	8132338	5.250826299270455
0.391429	1541010	8054931	5.227046547394242
0.394286	1532177	7958124	5.19399782140053
0.397143	1525958	7885093	5.167306701757191
0.400000	1514448	7797449	5.148706987628496
0.402857	1504698	7708900	5.123220739311144
0.405714	1491916	7596406	5.091711597703892
0.408571	1484881	7523231	5.066554828299372
0.411429	1473187	7425486	5.0404232456572045
