GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2972	7.41147132169576
0.002857	106	1532	14.452830188679245
0.005714	47	171	3.6382978723404253
0.008571	54	158	2.925925925925926
0.011429	20	31	1.55
0.014286	95	339	3.568421052631579
0.017143	68	263	3.8676470588235294
0.020000	45	190	4.222222222222222
0.022857	33	120	3.6363636363636362
0.025714	78	522	6.6923076923076925
0.028571	129	1153	8.937984496124031
0.031429	119	1527	12.831932773109244
0.034286	265	4071	15.362264150943396
0.037143	139	1063	7.64748201438849
0.040000	220	1948	8.854545454545455
0.042857	143	1116	7.804195804195804
0.045714	223	1960	8.789237668161435
0.048571	253	2862	11.312252964426877
0.051429	265	2498	9.426415094339623
0.054286	249	1961	7.875502008032129
0.057143	264	1736	6.575757575757576
0.060000	331	3104	9.377643504531722
0.062857	346	3670	10.606936416184972
0.065714	375	3448	9.194666666666667
0.068571	471	4215	8.949044585987261
0.071429	452	3072	6.79646017699115
0.074286	520	2984	5.7384615384615385
0.077143	556	4046	7.276978417266187
0.080000	582	4374	7.515463917525773
0.082857	799	5623	7.037546933667084
0.085714	900	7511	8.345555555555556
0.088571	1021	9879	9.675808031341822
0.091429	1188	7693	6.475589225589226
0.094286	1213	8083	6.663643858202803
0.097143	1308	9870	7.545871559633028
0.100000	1469	9145	6.225323349217154
0.102857	1590	9946	6.255345911949686
0.105714	1766	12086	6.843714609286523
0.108571	1724	12133	7.0377030162412995
0.111429	1762	12181	6.91316685584563
0.114286	1824	11317	6.204495614035087
0.117143	2132	13866	6.5037523452157595
0.120000	2159	13667	6.33024548402038
0.122857	2675	16545	6.185046728971963
0.125714	3186	19409	6.091964846202134
0.128571	3458	19477	5.6324465008675535
0.131429	3515	21040	5.985775248933144
0.134286	4163	26029	6.252462166706702
0.137143	4088	24754	6.055283757338552
0.140000	4560	27155	5.955043859649122
0.142857	5073	29594	5.833629016361128
0.145714	5125	30894	6.02809756097561
0.148571	5600	37037	6.61375
0.151429	6185	39336	6.359902991107518
0.154286	7087	43359	6.118103569916749
0.157143	7962	47563	5.973750313991459
0.160000	9103	55298	6.074700648137976
0.162857	11298	111094	9.83306779961055
0.165714	15826	102866	6.499810438518893
0.168571	19339	128617	6.6506541186204045
0.171429	19973	121903	6.103389575927502
0.174286	20554	131905	6.417485647562518
0.177143	21690	133798	6.168649147072384
0.180000	22535	138985	6.167517195473708
0.182857	23699	136856	5.77475842862568
0.185714	26908	160208	5.953917050691245
0.188571	29749	177734	5.974452922787321
0.191429	33720	189962	5.633511269276394
0.194286	38012	220562	5.80243081132274
0.197143	42734	252561	5.91007160574718
0.200000	47142	282449	5.991451359721692
0.202857	53563	325601	6.078841737766742
0.205714	61594	378311	6.142010585446634
0.208571	68081	405612	5.95778557894273
0.211429	75847	435452	5.741189499914301
0.214286	82496	470657	5.705209949573312
0.217143	90121	514820	5.712542026830595
0.220000	98123	556191	5.668304067344048
0.222857	109920	628111	5.714255822416303
0.225714	120415	691412	5.741909230577586
0.228571	134897	773700	5.735487075324136
0.231429	147441	842412	5.713553217897329
0.234286	163418	929656	5.688822528730006
0.237143	181928	1029469	5.658661668352315
0.240000	199533	1127846	5.652428420361544
0.242857	220462	1240499	5.626815505620016
0.245714	241676	1358951	5.6230283520084745
0.248571	264025	1477109	5.594580058706562
0.251429	290343	1612396	5.553417854055376
0.254286	314041	1736448	5.529367184539598
0.257143	339992	1874954	5.514700345890492
0.260000	371321	2039936	5.493726452314844
0.262857	402067	2208116	5.491910552221396
0.265714	435052	2386069	5.484560466335059
0.268571	469598	2563713	5.459378021201112
0.271429	505986	2745388	5.425818105639286
0.274286	543325	2934474	5.400955229374683
0.277143	581899	3127002	5.3737882347280195
0.280000	620395	3317841	5.3479492903714565
0.282857	663209	3526654	5.317560527676796
0.285714	705513	3734413	5.293188077328129
0.288571	751546	3948327	5.253606565665974
0.291429	800194	4180896	5.22485297315401
0.294286	847792	4395359	5.184478032347557
0.297143	896630	4618886	5.151384629111227
0.300000	952187	4859961	5.103998479290308
0.302857	1007306	5094622	5.0576706581714
0.305714	1060750	5326839	5.021766674522743
0.308571	1110869	5537619	4.9849433191492425
0.311429	1158074	5740031	4.956532138706162
0.314286	1208717	5952460	4.924610144475506
0.317143	1253428	6135114	4.894668062305932
0.320000	1297782	6311222	4.863083322160424
0.322857	1338416	6482354	4.843302829613513
0.325714	1381228	6649894	4.814479579041259
0.328571	1415649	6795702	4.800414509528845
0.331429	1441542	6902639	4.78837175746527
0.334286	1468248	7027338	4.786206417444465
0.337143	1483748	7085228	4.775223285894909
0.340000	1497480	7141929	4.769298421347864
0.342857	1509829	7177699	4.753981411139937
0.345714	1521863	7228539	4.749796138022936
0.348571	1538276	7275334	4.729537482220356
0.351429	1552784	7331630	4.721603262269575
0.354286	1567247	7369622	4.702272200871975
0.357143	1574272	7374221	4.684210225424831
0.360000	1585438	7379615	4.654622255805651
0.362857	1596759	7385628	4.625386799134998
0.365714	1593591	7343121	4.607908177192265
0.368571	1591764	7292792	4.5815786762359245
0.371429	1588037	7228548	4.551876310186727
0.374286	1583348	7183363	4.536818816836223
0.377143	1580296	7158924	4.53011587702557
0.380000	1571456	7075210	4.502327777551519
0.382857	1564263	7002491	4.476543266701316
0.385714	1557086	6939615	4.4567962206326435
0.388571	1548773	6845196	4.419754218339292
0.391429	1541010	6782834	4.401550930882992
0.394286	1532177	6725086	4.389235708407058
0.397143	1525958	6656669	4.362288477140262
0.400000	1514448	6579923	4.344766542000782
0.402857	1504698	6515232	4.329926669670591
0.405714	1491916	6407271	4.294659350794549
0.408571	1484881	6336381	4.267265188254143
0.411429	1473187	6273885	4.258715967490889
0.414286	1460344	6195925	4.242784576784648
0.417143	1449587	6113415	4.217349493338447
0.420000	1440936	6047242	4.196745726388959
0.422857	1429200	5972973	4.1792422334172965
0.425714	1421060	5909635	4.158610473871617
0.428571	1408690	5824494	4.1346882564652265
0.431429	1399388	5759644	4.115830634534525
0.434286	1389136	5689078	4.095407505096693
0.437143	1377404	5616353	4.077491425899736
0.440000	1365767	5567402	4.076392239671921
0.442857	1350724	5466703	4.047239110284559
0.445714	1334291	5382258	4.033796225860775
0.448571	1317265	5277358	4.006299415835082
0.451429	1302479	5200635	3.9928743572833034
0.454286	1287437	5117407	3.974879547504072
0.457143	1269720	5034991	3.965434111457644
0.460000	1247789	4925224	3.947160938267608
0.462857	1231936	4851413	3.938039800768871
0.465714	1209859	4750768	3.9267121209992237
0.468571	1186456	4647507	3.9171338844424066
0.471429	1162592	4534004	3.8999098565962953
0.474286	1135528	4407743	3.881668263574302
0.477143	1109855	4298673	3.8731843348905937
0.480000	1084475	4195312	3.8685188685769614
0.482857	1057046	4074585	3.854690335141517
0.485714	1029185	3946716	3.834797436806794
0.488571	998407	3820161	3.826256226168286
0.491429	970431	3715908	3.829131592045184
0.494286	943648	3598633	3.8135332242531113
0.497143	918478	3493756	3.8038537667750343
0.500000	888118	3370580	3.7951938818940727
0.502857	862534	3281383	3.8043520603245784
0.505714	838422	3157620	3.7661464036010504
0.508571	810407	3034889	3.7448948491313625
0.511429	781263	2922870	3.7412113462431984
0.514286	749453	2801318	3.7378167810389713
0.517143	722369	2703368	3.742364359489402
0.520000	694279	2588454	3.7282619811343856
0.522857	664261	2468022	3.715440165838428
0.525714	632560	2346389	3.7093540533704314
0.528571	601221	2239745	3.725327292293516
0.531429	573349	2130555	3.7159827609361837
0.534286	542879	2016520	3.7144925480631965
0.537143	510811	1891253	3.7024515916845955
0.540000	484591	1794963	3.7040782845740017
0.542857	457004	1690937	3.7000485772553415
0.545714	434090	1603080	3.692966896265751
0.548571	411674	1522522	3.698368126235808
0.551429	390677	1453245	3.7198120186240806
0.554286	371799	1377433	3.7047786572852535
0.557143	352837	1313589	3.7229343861329736
0.560000	332941	1233012	3.7033948957923477
0.562857	318431	1180091	3.705955136277561
0.565714	301966	1116659	3.6979626845406437
