GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	1407	3.508728179551122
0.002857	106	257	2.4245283018867925
0.005714	47	99	2.106382978723404
0.008571	54	152	2.814814814814815
0.011429	20	28	1.4
0.014286	95	290	3.0526315789473686
0.017143	68	191	2.8088235294117645
0.020000	45	143	3.1777777777777776
0.022857	33	71	2.1515151515151514
0.025714	78	184	2.358974358974359
0.028571	129	495	3.8372093023255816
0.031429	119	374	3.142857142857143
0.034286	265	918	3.4641509433962265
0.037143	139	528	3.7985611510791366
0.040000	220	792	3.6
0.042857	143	369	2.5804195804195804
0.045714	223	702	3.1479820627802693
0.048571	253	763	3.015810276679842
0.051429	265	989	3.732075471698113
0.054286	249	766	3.076305220883534
0.057143	264	953	3.609848484848485
0.060000	331	1153	3.483383685800604
0.062857	346	1260	3.6416184971098264
0.065714	375	1229	3.2773333333333334
0.068571	471	1491	3.1656050955414012
0.071429	452	1120	2.47787610619469
0.074286	520	1402	2.6961538461538463
0.077143	556	1957	3.5197841726618706
0.080000	582	2056	3.5326460481099655
0.082857	799	2989	3.7409261576971216
0.085714	900	3413	3.792222222222222
0.088571	1021	4756	4.658178256611166
0.091429	1188	4064	3.420875420875421
0.094286	1213	4213	3.4732069249793898
0.097143	1308	4649	3.5542813455657494
0.100000	1469	4880	3.3219877467665078
0.102857	1590	5480	3.4465408805031448
0.105714	1766	7230	4.093997734994337
0.108571	1724	7799	4.523781902552204
0.111429	1762	7563	4.292281498297389
0.114286	1824	6419	3.519188596491228
0.117143	2132	7440	3.4896810506566602
0.120000	2159	7271	3.3677628531727652
0.122857	2675	10323	3.8590654205607478
0.125714	3186	14301	4.488700564971752
0.128571	3458	13470	3.895315211104685
0.131429	3515	13029	3.7066856330014226
0.134286	4163	16330	3.9226519337016574
0.137143	4088	14526	3.553326810176125
0.140000	4560	15874	3.481140350877193
0.142857	5073	17656	3.4803863591563178
0.145714	5125	17566	3.427512195121951
0.148571	5600	21772	3.887857142857143
0.151429	6185	22914	3.7047696038803557
0.154286	7087	25941	3.6603640468463383
0.157143	7962	29139	3.659758854559156
0.160000	9103	32696	3.5917829287048226
0.162857	11298	61434	5.437599575146043
0.165714	15826	60007	3.7916719322633643
0.168571	19339	69308	3.5838461140700137
0.171429	19973	73260	3.667951734842037
0.174286	20554	77593	3.775080276345237
0.177143	21690	80971	3.7331028123559244
0.180000	22535	80234	3.5604171289105837
0.182857	23699	80905	3.4138571247731972
0.185714	26908	92222	3.4273078638323176
0.188571	29749	102256	3.437292009815456
0.191429	33720	112615	3.3397093712930013
0.194286	38012	129722	3.4126591602651795
0.197143	42734	149036	3.487527495670894
0.200000	47142	162164	3.4399049679691145
0.202857	53563	186039	3.473274461848664
0.205714	61594	218982	3.5552488878786894
0.208571	68081	233787	3.4339536728308926
0.211429	75847	252209	3.3252336941474283
0.214286	82496	276638	3.353350465477114
0.217143	90121	305353	3.388255789438644
0.220000	98123	331600	3.3794319374662414
0.222857	109920	375850	3.419304949053857
0.225714	120415	411336	3.4159863804343313
0.228571	134897	461113	3.4182598575209235
0.231429	147441	502017	3.404867031558386
0.234286	163418	549743	3.3640296662546354
0.237143	181928	606878	3.3358141682423814
0.240000	199533	667189	3.3437526624668603
0.242857	220462	731721	3.319034572851557
0.245714	241676	796083	3.294009334811897
0.248571	264025	870058	3.2953621816115897
0.251429	290343	954078	3.2860375486924087
0.254286	314041	1024160	3.2612302215315836
0.257143	339992	1097935	3.22929657168404
0.260000	371321	1201388	3.2354431879694387
0.262857	402067	1298033	3.2283997443212202
0.265714	435052	1399609	3.2171073802671866
0.268571	469598	1502981	3.200569423208787
0.271429	505986	1608359	3.178663046013131
0.274286	543325	1706976	3.1417218055491647
0.277143	581899	1825278	3.136760846813622
0.280000	620395	1938627	3.124826924781792
0.282857	663209	2058756	3.1042341102126176
0.285714	705513	2175398	3.0834272366349027
0.288571	751546	2299972	3.0603209916625196
0.291429	800194	2433622	3.0412899871781094
0.294286	847792	2581312	3.044746824692849
0.297143	896630	2764707	3.083442445601865
0.300000	952187	2907300	3.0532868018571984
0.302857	1007306	3014982	2.9931143068739785
0.305714	1060750	3154552	2.973888286589677
0.308571	1110869	3257345	2.9322494371523553
0.311429	1158074	3377728	2.916677172615912
0.314286	1208717	3495061	2.8915461601019925
0.317143	1253428	3586442	2.8613067523623217
0.320000	1297782	3683181	2.838058317960952
0.322857	1338416	3781027	2.8250013448733426
0.325714	1381228	3884900	2.8126420837110166
0.328571	1415649	3979648	2.8111827154895033
0.331429	1441542	4060325	2.8166539719272836
0.334286	1468248	4111660	2.800385221025331
0.337143	1483748	4115923	2.7740040761638767
0.340000	1497480	4144141	2.7674099153244116
0.342857	1509829	4163991	2.757922254771898
0.345714	1521863	4236553	2.7837939420302615
0.348571	1538276	4234845	2.7529812595399004
0.351429	1552784	4279688	2.756138651608981
0.354286	1567247	4299103	2.743092186490068
0.357143	1574272	4315570	2.7413115395560617
0.360000	1585438	4294247	2.708555616807469
0.362857	1596759	4325045	2.7086398135222662
0.365714	1593591	4262545	2.6748048903388635
0.368571	1591764	4230707	2.657873277696945
0.371429	1588037	4168115	2.624696401910031
0.374286	1583348	4155437	2.6244622155078985
0.377143	1580296	4154351	2.6288435837336803
0.380000	1571456	4088641	2.601817041011648
0.382857	1564263	4018966	2.5692393158950892
0.385714	1557086	4014234	2.578042574398588
0.388571	1548773	3919952	2.5310048664329763
0.391429	1541010	3893717	2.526730520892142
0.394286	1532177	3840489	2.5065570100582373
0.397143	1525958	3773133	2.472632274282778
0.400000	1514448	3726567	2.460676761433869
0.402857	1504698	3707138	2.463708996755495
0.405714	1491916	3627356	2.431340638480987
0.408571	1484881	3581158	2.4117474733665527
0.411429	1473187	3557663	2.4149432488882945
0.414286	1460344	3481154	2.383790394591959
0.417143	1449587	3432657	2.3680241337705152
0.420000	1440936	3387846	2.351142590649411
0.422857	1429200	3366334	2.3553974251329417
0.425714	1421060	3308055	2.327878485074522
0.428571	1408690	3256620	2.311807423918676
0.431429	1399388	3243234	2.317608840435962
0.434286	1389136	3200066	2.303637656788104
0.437143	1377404	3153495	2.2894481212483773
0.440000	1365767	3184379	2.3315682689653507
0.442857	1350724	3094126	2.290716682312597
0.445714	1334291	3037050	2.2761526533567267
0.448571	1317265	2939856	2.231787833123935
0.451429	1302479	2919779	2.241709079378631
0.454286	1287437	2844297	2.209270822572289
0.457143	1269720	2833011	2.231209242982705
0.460000	1247789	2744013	2.199100168377827
0.462857	1231936	2693507	2.186401728661229
0.465714	1209859	2639937	2.18202038419353
0.468571	1186456	2572147	2.167924474232504
0.471429	1162592	2510877	2.159723273512978
0.474286	1135528	2444442	2.1526919635623254
0.477143	1109855	2379187	2.1436917435160447
0.480000	1084475	2321603	2.140762119919777
0.482857	1057046	2258408	2.136527644019276
0.485714	1029185	2165924	2.104504049320579
0.488571	998407	2095380	2.0987232661629975
0.491429	970431	2058110	2.120820542624875
0.494286	943648	1973149	2.090979899284479
0.497143	918478	1911379	2.0810286147300205
0.500000	888118	1838027	2.069575214104432
0.502857	862534	1833214	2.125381724082761
0.505714	838422	1734335	2.0685704812135177
0.508571	810407	1662240	2.0511175248979834
0.511429	781263	1600604	2.0487390289825576
0.514286	749453	1531411	2.0433716323772138
0.517143	722369	1470506	2.035671519680385
0.520000	694279	1411080	2.032439408364649
0.522857	664261	1346962	2.0277601725827648
0.525714	632560	1286957	2.034521626406981
0.528571	601221	1250214	2.079458302354708
0.531429	573349	1166959	2.0353379878573086
0.534286	542879	1126164	2.0744291085122097
0.537143	510811	1039266	2.034541151228145
0.540000	484591	987956	2.0387419493965013
0.542857	457004	934880	2.0456713726794513
0.545714	434090	887278	2.043995484807298
0.548571	411674	842176	2.045735217672236
0.551429	390677	826339	2.1151462717283076
0.554286	371799	762924	2.051979698708173
0.557143	352837	748564	2.1215575464024465
0.560000	332941	686962	2.0633145211914425
0.562857	318431	660785	2.075127735679001
0.565714	301966	627718	2.0787704576011867
0.568571	285130	617863	2.166951916669589
0.571429	267730	556339	2.0779852836813206
0.574286	253260	524380	2.070520413803996
0.577143	238905	520452	2.178489357694481
0.580000	224421	517871	2.307587079640497
0.582857	210234	442489	2.104745188694502
0.585714	197684	420913	2.1292213836223466
0.588571	183573	411933	2.2439737869948195
0.591429	170434	385720	2.2631634533015714
0.594286	159167	361038	2.268296820320795
0.597143	148978	340529	2.2857670260038394
0.600000	139422	315873	2.2655893617936913
0.602857	129404	285507	2.2063228339154897
0.605714	120684	245022	2.030277418713334
0.608571	111698	226444	2.027287865494458
0.611429	103036	209434	2.03262937225824
0.614286	95770	194574	2.0316800668267723
0.617143	88991	181198	2.036138485914306
0.620000	81883	166041	2.027783544813942
0.622857	74015	151197	2.0427886239275823
0.625714	67990	137827	2.02716575967054
0.628571	62403	127418	2.0418569620050318
0.631429	57062	116026	2.033332165013494
0.634286	51813	105060	2.027676451855712
0.637143	46304	94175	2.033841568762958
0.640000	41455	83341	2.0103968158243877
0.642857	36965	75327	2.0377925064249967
0.645714	33123	66352	2.003200193219213
0.648571	30430	60501	1.9882024318107132
0.651429	27358	54025	1.9747423057241027
0.654286	24272	48094	1.9814601186552405
0.657143	21983	43608	1.9837146886230268
0.660000	19866	38931	1.9596798550286922
0.662857	17439	33960	1.9473593669361775
0.665714	16011	29422	1.8376116419961277
0.668571	14159	26868	1.8975916378275302
0.671429	11937	23563	1.9739465527351931
0.674286	9869	20012	2.027763704529334
0.677143	8508	17248	2.0272684532204983
0.680000	7581	15049	1.985094314734204
0.682857	6429	12578	1.9564473479545808
0.685714	5296	10448	1.972809667673716
0.688571	4540	8948	1.9709251101321585
0.691429	3760	7346	1.953723404255319
0.694286	3067	6054	1.973915878708836
0.697143	2465	4702	1.9075050709939148
0.700000	2077	3968	1.9104477611940298
0.702857	1692	3344	1.9763593380614657
0.705714	1313	2669	2.0327494287890326
0.708571	1043	2087	2.0009587727708533
0.711429	865	1683	1.9456647398843931
0.714286	780	1645	2.108974358974359
0.717143	737	1516	2.056987788331072
0.720000	658	1259	1.9133738601823709
0.722857	456	810	1.7763157894736843
0.725714	288	485	1.6840277777777777
0.728571	217	359	1.6543778801843319
0.731429	216	309	1.4305555555555556
0.734286	152	204	1.3421052631578947
0.737143	112	141	1.2589285714285714
0.740000	113	138	1.2212389380530972
0.742857	88	80	0.9090909090909091
0.745714	57	65	1.1403508771929824
0.748571	42	50	1.1904761904761905
0.751429	40	29	0.725
0.754286	49	51	1.0408163265306123
0.757143	29	24	0.8275862068965517
0.760000	7	12	1.7142857142857142
0.762857	29	33	1.1379310344827587
0.765714	26	18	0.6923076923076923
0.768571	27	21	0.7777777777777778
0.771429	23	18	0.782608695652174
0.774286	19	10	0.5263157894736842
0.777143	26	43	1.6538461538461537
0.780000	1	4	4.0
