GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	523	461	0.8814531548757171
0.002857	313	990	3.1629392971246006
0.005714	219	817	3.730593607305936
0.008571	314	402	1.2802547770700636
0.011429	172	5517	32.075581395348834
0.014286	67	778	11.611940298507463
0.017143	81	466	5.753086419753086
0.020000	246	988	4.016260162601626
0.022857	313	1355	4.329073482428115
0.025714	369	1829	4.956639566395664
0.028571	289	1551	5.366782006920415
0.031429	415	1786	4.303614457831325
0.034286	558	2197	3.9372759856630823
0.037143	660	2174	3.293939393939394
0.040000	541	2394	4.425138632162661
0.042857	605	2800	4.628099173553719
0.045714	754	3407	4.518567639257294
0.048571	749	4342	5.797062750333779
0.051429	897	6152	6.858416945373467
0.054286	864	5660	6.550925925925926
0.057143	1053	7288	6.921177587844254
0.060000	1289	8787	6.816912335143522
0.062857	1252	7927	6.3314696485623
0.065714	1176	9689	8.238945578231293
0.068571	1310	8982	6.85648854961832
0.071429	1612	16005	9.928660049627792
0.074286	1863	19854	10.657004830917874
0.077143	2000	17908	8.954
0.080000	2130	17765	8.34037558685446
0.082857	2337	18028	7.714163457424048
0.085714	2204	13805	6.263611615245009
0.088571	2588	49331	19.06143740340031
0.091429	2792	28069	10.053366762177651
0.094286	2837	18874	6.652802255904124
0.097143	3112	22036	7.080976863753214
0.100000	3359	22855	6.804108365584995
0.102857	3692	28784	7.796316359696641
0.105714	4193	40026	9.545909849749583
0.108571	4506	42358	9.400355082112739
0.111429	4632	35314	7.6239205526770295
0.114286	5098	77481	15.198313063946646
0.117143	5494	121523	22.119220968329085
0.120000	5686	82304	14.474850510024622
0.122857	5865	62283	10.619437340153453
0.125714	6483	76108	11.739626716026532
0.128571	7644	106551	13.939167974882261
0.131429	8641	119226	13.797708598541835
0.134286	9093	191542	21.064775101726603
0.137143	9813	120000	12.228676245796393
0.140000	10166	102942	10.126106629942948
0.142857	11663	103876	8.906456314841808
0.145714	12339	127283	10.315503687494935
0.148571	12899	189514	14.692146678037057
0.151429	14486	212930	14.699019743200331
0.154286	15217	211194	13.878819741079056
0.157143	16746	1131349	67.55935745849756
0.160000	18906	722443	38.21236644451497
0.162857	21179	210188	9.924359034893055
0.165714	24545	342167	13.940395192503566
0.168571	29384	255795	8.705247753879663
0.171429	32374	348035	10.750447890282326
0.174286	34309	287783	8.387974000990994
0.177143	37001	325100	8.786249020296749
0.180000	38551	340207	8.8248553863713
0.182857	41541	751853	18.09905876122385
0.185714	44435	643410	14.479801957916058
0.188571	48826	450023	9.216872158276328
0.191429	53444	402343	7.528310006736023
0.194286	59326	553062	9.322421872366247
0.197143	64875	478021	7.368339113680154
0.200000	71049	543587	7.6508747484130675
0.202857	78865	599342	7.599594243327204
0.205714	85402	572281	6.701025737102175
0.208571	91872	612724	6.669322535701846
0.211429	101391	657865	6.488396405992642
0.214286	108785	737033	6.7751344394907385
0.217143	120556	836327	6.937249079266067
0.220000	132094	872496	6.60511453964601
0.222857	146683	1018003	6.940156664371468
0.225714	161281	1089988	6.758316230678133
0.228571	177970	1270812	7.140596729785919
0.231429	196076	1365187	6.96254003549644
0.234286	215612	1467199	6.804811420514628
0.237143	233994	1563247	6.680714035402617
0.240000	257206	1672168	6.501279130346881
0.242857	280293	1793035	6.3970024224650635
0.245714	308586	1969702	6.382992099447156
0.248571	335630	2147783	6.399258111611
0.251429	364435	2285437	6.271178673837584
0.254286	394196	2467313	6.2591020710509495
0.257143	429008	2658005	6.195700313280871
0.260000	463578	2859698	6.168752615525327
0.262857	503051	3050499	6.063995499462282
0.265714	543198	3313314	6.099643224017761
0.268571	585381	3538929	6.045513947326613
0.271429	633660	3772057	5.952809077423224
0.274286	686463	4057635	5.910930377893638
0.277143	749090	4417386	5.897003030343483
0.280000	820652	4798646	5.847357954406983
0.282857	900871	5222350	5.797000902459953
0.285714	990735	5687508	5.740695544217172
0.288571	1097673	6301316	5.740613096978791
0.291429	1215925	6882044	5.659924748648148
0.294286	1345684	7627697	5.668267587338484
0.297143	1491092	8495517	5.697513634302913
0.300000	1643292	9318601	5.670690905815887
0.302857	1798155	10213979	5.680255039192951
0.305714	1950424	11048193	5.66450833254718
0.308571	2083281	11771816	5.650613623414221
0.311429	2203449	12463474	5.656347843766749
0.314286	2308804	13040232	5.6480463478060505
0.317143	2379810	13402743	5.631854223656511
0.320000	2422059	13564361	5.600342931365421
0.322857	2443228	13638303	5.582083620521703
0.325714	2443437	13463154	5.509924749441054
0.328571	2421104	13274387	5.482782647915992
0.331429	2387181	12913564	5.4095454010399715
0.334286	2348943	12505604	5.323928251983977
0.337143	2307585	12152125	5.26616571003885
0.340000	2268403	11757157	5.183010690781136
0.342857	2242330	11488340	5.123393969665482
0.345714	2216598	11238195	5.070019462257027
0.348571	2208857	11074133	5.01351287113652
0.351429	2207194	10975882	4.972776294245091
0.354286	2210945	10919761	4.9389564190877655
0.357143	2223026	10890441	4.898926508281955
0.360000	2234977	10889575	4.872343205321576
0.362857	2249738	10882283	4.837133479542951
0.365714	2265449	10887651	4.805957229670586
0.368571	2282592	10941202	4.793323554976097
0.371429	2296714	10959655	4.771884962603093
0.374286	2313722	10972779	4.742479433570671
0.377143	2329925	10992671	4.718036417481249
0.380000	2336133	10961598	4.692197747302915
0.382857	2331587	10886890	4.66930464100203
0.385714	2313971	10777012	4.657366924650309
0.388571	2285948	10618772	4.645237774437564
0.391429	2249444	10396658	4.621879006545617
0.394286	2213218	10127886	4.576090561345516
0.397143	2167406	9853484	4.546210539234458
0.400000	2120076	9607736	4.531788483054381
0.402857	2074535	9330395	4.497583795886789
0.405714	2030940	9102525	4.481927087949423
0.408571	1997014	8908365	4.460842537909098
0.411429	1960691	8707599	4.441086841322779
0.414286	1925091	8508559	4.419821712324248
0.417143	1900818	8389913	4.413843408469407
0.420000	1877053	8225545	4.382159161195768
0.422857	1853987	8067887	4.3516416242400835
0.425714	1832065	7921532	4.323826938454695
0.428571	1812560	7816406	4.312357108178488
0.431429	1787859	7704505	4.309347101756906
0.434286	1764869	7546163	4.275763810231807
0.437143	1736213	7407422	4.2664246840681415
0.440000	1721284	7294913	4.238064723775972
0.442857	1700052	7156442	4.20954300221405
0.445714	1680824	7021714	4.177542681446719
0.448571	1659034	6894977	4.156019105093687
0.451429	1636730	6780377	4.142636231999169
0.454286	1613493	6683275	4.142115893902235
0.457143	1589064	6551125	4.122631310003876
0.460000	1562908	6386276	4.08614966459958
0.462857	1537459	6230179	4.052257003276185
0.465714	1513196	6090847	4.025154044816402
0.468571	1485756	5951896	4.005971370803819
0.471429	1452722	5785875	3.9827819775566145
0.474286	1426990	5651105	3.9601573942354187
0.477143	1401210	5517123	3.9373991050591988
0.480000	1371759	5383957	3.924856334093671
0.482857	1340899	5242721	3.909855253825978
0.485714	1312497	5102833	3.887881648491387
0.488571	1279311	4949755	3.8690787462939036
0.491429	1245824	4799592	3.8525441795951916
0.494286	1217251	4666134	3.833337577870135
0.497143	1181843	4509206	3.815401876560592
0.500000	1150695	4361218	3.7900729559092547
0.502857	1120153	4221659	3.7688235446407767
0.505714	1087251	4072593	3.7457707557868423
0.508571	1054051	3939698	3.737673034796229
0.511429	1016420	3787378	3.726193896224002
0.514286	984714	3651084	3.707760832079162
0.517143	948099	3492778	3.68398025944548
0.520000	913973	3354151	3.6698578623219724
0.522857	883562	3228752	3.65424497658342
0.525714	849882	3097095	3.6441470698285174
0.528571	815382	2958238	3.6280393729564793
0.531429	787274	2824405	3.58757560900017
0.534286	756808	2696341	3.562780784558303
0.537143	726291	2576200	3.5470630917910313
0.540000	698430	2449520	3.5071803903039673
0.542857	669510	2329568	3.4795118818240205
0.545714	642480	2215863	3.4489213672020917
0.548571	614995	2107620	3.427052252457337
0.551429	592349	2006331	3.387075862371676
0.554286	569933	1910972	3.352976577948636
0.557143	548601	1820339	3.3181474331982623
0.560000	528367	1735168	3.2840203873444027
0.562857	508553	1640489	3.225797507831042
0.565714	487499	1548108	3.1756126679234216
0.568571	470791	1473843	3.130567491732
0.571429	454181	1409105	3.1025185994130093
0.574286	436283	1328002	3.0439004040955067
0.577143	420161	1254946	2.9868217183413024
0.580000	403320	1189473	2.949204105920857
0.582857	388238	1124769	2.897112080733983
0.585714	372407	1058900	2.8433944582137287
0.588571	357109	997015	2.7919066727525768
0.591429	341203	933752	2.7366465124867014
0.594286	326499	876871	2.68567744464761
0.597143	316623	837210	2.64418567191897
0.600000	303814	793793	2.6127597806552694
0.602857	290228	747195	2.574510384938738
0.605714	278149	709045	2.549155308845259
0.608571	268366	679687	2.5326867039788943
0.611429	258069	658779	2.552724271415784
0.614286	246810	615666	2.494493740123982
0.617143	236791	591229	2.496838984589786
0.620000	226329	563005	2.4875513080515534
0.622857	214461	538945	2.5130210154760073
0.625714	202672	517969	2.5557008368200838
0.628571	191606	491183	2.5635053182050664
0.631429	181996	468513	2.574303830853425
0.634286	172968	447379	2.5864842051708985
0.637143	163974	420544	2.5646992815934233
0.640000	155007	393165	2.536433838471811
0.642857	144607	356868	2.46784733795736
0.645714	130041	311791	2.39763613014357
0.648571	117040	276542	2.362799043062201
0.651429	106908	251976	2.356942417779773
0.654286	97120	229755	2.3656816309719932
0.657143	86825	207441	2.3891851425280737
0.660000	79036	189657	2.3996280176122275
0.662857	70668	174904	2.4750099054734815
0.665714	63058	159183	2.524390243902439
0.668571	54058	135959	2.5150579007732436
0.671429	46856	116693	2.49046013317398
0.674286	40696	103200	2.535875761745626
0.677143	34212	85400	2.4962001636852564
0.680000	28180	70367	2.497054648687012
0.682857	23290	57958	2.4885358522971233
0.685714	19300	48054	2.4898445595854923
0.688571	15768	38072	2.414510400811771
0.691429	12409	29706	2.3939076476750745
0.694286	9898	23055	2.3292584360476862
0.697143	7960	18619	2.339070351758794
0.700000	6535	14681	2.2465187452180566
0.702857	5716	12916	2.25962211336599
0.705714	4335	10181	2.348558246828143
0.708571	3731	8618	2.309836504958456
0.711429	3059	7239	2.3664596273291925
0.714286	2218	4882	2.201082055906222
0.717143	1994	4472	2.242728184553661
0.720000	1743	3769	2.1623637406769936
0.722857	1422	3383	2.379043600562588
0.725714	1082	2491	2.3022181146025877
0.728571	755	1804	2.3894039735099337
0.731429	611	1314	2.1505728314238954
0.734286	385	809	2.101298701298701
0.737143	283	497	1.756183745583039
0.740000	205	309	1.5073170731707317
0.742857	197	326	1.6548223350253808
0.745714	185	292	1.5783783783783785
0.748571	217	297	1.368663594470046
0.751429	147	145	0.9863945578231292
0.754286	113	82	0.7256637168141593
0.757143	66	109	1.6515151515151516
0.760000	42	109	2.5952380952380953
0.762857	30	57	1.9
0.765714	35	66	1.8857142857142857
0.768571	14	28	2.0
0.771429	15	60	4.0
0.774286	9	16	1.7777777777777777
0.777143	13	51	3.923076923076923
0.780000	18	23	1.2777777777777777
0.782857	14	0	0.0
0.785714	12	0	0.0
0.788571	15	0	0.0
0.791429	14	0	0.0
0.794286	6	0	0.0
0.797143	18	0	0.0
0.800000	21	0	0.0
0.802857	20	0	0.0
0.805714	19	0	0.0
0.808571	5	0	0.0
0.811429	6	0	0.0
0.814286	30	0	0.0
0.817143	176	0	0.0
0.820000	119	0	0.0
0.822857	78	0	0.0
0.825714	150	0	0.0
0.828571	117	0	0.0
0.831429	172	0	0.0
0.834286	153	0	0.0
0.837143	24	0	0.0
