GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2078	5.182044887780549
0.002857	106	687	6.481132075471698
0.005714	47	101	2.148936170212766
0.008571	54	182	3.3703703703703702
0.011429	20	35	1.75
0.014286	95	447	4.705263157894737
0.017143	68	311	4.573529411764706
0.020000	45	177	3.933333333333333
0.022857	33	129	3.909090909090909
0.025714	78	391	5.012820512820513
0.028571	129	818	6.341085271317829
0.031429	119	1116	9.378151260504202
0.034286	265	2700	10.18867924528302
0.037143	139	1062	7.640287769784172
0.040000	220	1734	7.881818181818182
0.042857	143	1018	7.118881118881119
0.045714	223	1619	7.260089686098655
0.048571	253	2142	8.466403162055336
0.051429	265	2331	8.79622641509434
0.054286	249	1819	7.305220883534137
0.057143	264	2117	8.018939393939394
0.060000	331	2742	8.283987915407854
0.062857	346	3005	8.684971098265896
0.065714	375	2963	7.9013333333333335
0.068571	471	3793	8.05307855626327
0.071429	452	3364	7.442477876106195
0.074286	520	3871	7.444230769230769
0.077143	556	4448	8.0
0.080000	582	5103	8.768041237113403
0.082857	799	7278	9.108886107634543
0.085714	900	9487	10.54111111111111
0.088571	1021	11491	11.254652301665034
0.091429	1188	10592	8.915824915824915
0.094286	1213	10993	9.062654575432811
0.097143	1308	12510	9.564220183486238
0.100000	1469	13755	9.363512593601088
0.102857	1590	14875	9.355345911949685
0.105714	1766	17933	10.154586636466592
0.108571	1724	18717	10.856728538283063
0.111429	1762	18104	10.274687854710557
0.114286	1824	17655	9.679276315789474
0.117143	2132	21103	9.898217636022514
0.120000	2159	19972	9.25057897174618
0.122857	2675	25096	9.381682242990655
0.125714	3186	33227	10.429064657878218
0.128571	3458	35304	10.20936957779063
0.131429	3515	34058	9.689331436699858
0.134286	4163	40628	9.759308191208262
0.137143	4088	39144	9.575342465753424
0.140000	4560	43154	9.46359649122807
0.142857	5073	47085	9.281490242460082
0.145714	5125	49041	9.568975609756098
0.148571	5600	56060	10.010714285714286
0.151429	6185	61231	9.899919159256266
0.154286	7087	67614	9.54056723578383
0.157143	7962	75413	9.47161517206732
0.160000	9103	86385	9.489728660881028
0.162857	11298	161127	14.261550716941052
0.165714	15826	152682	9.647542019461646
0.168571	19339	188752	9.760173742179017
0.171429	19973	181300	9.07725429329595
0.174286	20554	193475	9.413009633161428
0.177143	21690	197387	9.100368833563854
0.180000	22535	208364	9.246239183492346
0.182857	23699	214346	9.044516646271994
0.185714	26908	251941	9.363051880481642
0.188571	29749	278962	9.3771891492151
0.191429	33720	307755	9.126779359430605
0.194286	38012	356855	9.38795643481006
0.197143	42734	408297	9.554382926943417
0.200000	47142	456655	9.686797335709134
0.202857	53563	525954	9.819352911524746
0.205714	61594	611239	9.923677630938078
0.208571	68081	652091	9.578164245531058
0.211429	75847	698558	9.210094005036455
0.214286	82496	759726	9.209246508921645
0.217143	90121	823956	9.142774713995628
0.220000	98123	899099	9.162979118045719
0.222857	109920	1011063	9.198171397379912
0.225714	120415	1102719	9.15765477722875
0.228571	134897	1235039	9.155422285150893
0.231429	147441	1345359	9.124727857244594
0.234286	163418	1487362	9.101579997307518
0.237143	181928	1653990	9.091453761927795
0.240000	199533	1803867	9.040444437762174
0.242857	220462	1991905	9.03513984269398
0.245714	241676	2177882	9.01157748390407
0.248571	264025	2369847	8.975843196666982
0.251429	290343	2595111	8.93808702121284
0.254286	314041	2802276	8.923280718122793
0.257143	339992	3015205	8.868458669615755
0.260000	371321	3280733	8.835301531558947
0.262857	402067	3546222	8.81997776489988
0.265714	435052	3833909	8.812530456129382
0.268571	469598	4121543	8.776747345601983
0.271429	505986	4431135	8.757426094793136
0.274286	543325	4718567	8.684612340680072
0.277143	581899	5019434	8.625953988578773
0.280000	620395	5331751	8.594123098993384
0.282857	663209	5668361	8.546869840427377
0.285714	705513	5990332	8.490746449746496
0.288571	751546	6343208	8.4402125751451
0.291429	800194	6727136	8.406881331277166
0.294286	847792	7074120	8.344169324551306
0.297143	896630	7428555	8.284972619698204
0.300000	952187	7826054	8.219030505562458
0.302857	1007306	8218169	8.158562542067653
0.305714	1060750	8579748	8.088378977138817
0.308571	1110869	8918751	8.028625337461033
0.311429	1158074	9246737	7.984582159689277
0.314286	1208717	9587880	7.932278606158431
0.317143	1253428	9883004	7.884779979384536
0.320000	1297782	10181144	7.845034065813827
0.322857	1338416	10454617	7.811186507035182
0.325714	1381228	10748265	7.781673264660143
0.328571	1415649	10966384	7.746541692184998
0.331429	1441542	11148533	7.733755242649885
0.334286	1468248	11333575	7.7191148906724205
0.337143	1483748	11409008	7.689316514664215
0.340000	1497480	11484266	7.669061356412105
0.342857	1509829	11545696	7.647022278681891
0.345714	1521863	11616233	7.632903224534665
0.348571	1538276	11712357	7.613950292405264
0.351429	1552784	11783629	7.588710986202846
0.354286	1567247	11851596	7.562047335231779
0.357143	1574272	11843157	7.522942032888853
0.360000	1585438	11854943	7.47739299802326
0.362857	1596759	11879357	7.439668102700533
0.365714	1593591	11797132	7.40286058342448
0.368571	1591764	11725060	7.366079393678962
0.371429	1588037	11650399	7.336352364585964
0.374286	1583348	11560209	7.301117000179366
0.377143	1580296	11484156	7.267091734712991
0.380000	1571456	11366846	7.233321200211778
0.382857	1564263	11243842	7.187948573865136
0.385714	1557086	11122547	7.143180916147213
0.388571	1548773	11003110	7.104404583499325
0.391429	1541010	10880873	7.060871116994698
0.394286	1532177	10756181	7.020194794726719
0.397143	1525958	10670284	6.992514866071019
0.400000	1514448	10535057	6.956367600604312
0.402857	1504698	10413372	6.920572766096585
0.405714	1491916	10288854	6.896403014646937
0.408571	1484881	10185073	6.859184675404965
0.411429	1473187	10054430	6.824951618497855
