GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	1946	4.85286783042394
0.002857	106	848	8.0
0.005714	47	166	3.5319148936170213
0.008571	54	256	4.7407407407407405
0.011429	20	33	1.65
0.014286	95	345	3.6315789473684212
0.017143	68	223	3.2794117647058822
0.020000	45	157	3.488888888888889
0.022857	33	93	2.8181818181818183
0.025714	78	223	2.858974358974359
0.028571	129	536	4.155038759689923
0.031429	119	677	5.689075630252101
0.034286	265	1708	6.445283018867925
0.037143	139	587	4.223021582733813
0.040000	220	916	4.163636363636364
0.042857	143	523	3.6573426573426575
0.045714	223	1007	4.515695067264574
0.048571	253	1424	5.628458498023716
0.051429	265	1430	5.39622641509434
0.054286	249	1025	4.116465863453815
0.057143	264	1128	4.2727272727272725
0.060000	331	1521	4.595166163141994
0.062857	346	1647	4.7601156069364166
0.065714	375	1638	4.368
0.068571	471	1968	4.178343949044586
0.071429	452	1583	3.502212389380531
0.074286	520	1853	3.5634615384615387
0.077143	556	2855	5.134892086330935
0.080000	582	3092	5.312714776632302
0.082857	799	4327	5.415519399249061
0.085714	900	5428	6.0311111111111115
0.088571	1021	6290	6.160626836434868
0.091429	1188	5368	4.518518518518518
0.094286	1213	5811	4.790601813685078
0.097143	1308	6471	4.947247706422019
0.100000	1469	6984	4.75425459496256
0.102857	1590	7354	4.625157232704402
0.105714	1766	9153	5.182899207248018
0.108571	1724	9566	5.548723897911833
0.111429	1762	9222	5.233825198637912
0.114286	1824	8461	4.638706140350878
0.117143	2132	9618	4.511257035647279
0.120000	2159	10292	4.767021769337656
0.122857	2675	13807	5.161495327102804
0.125714	3186	17553	5.509416195856874
0.128571	3458	15779	4.563042220936958
0.131429	3515	16177	4.602275960170697
0.134286	4163	20952	5.032908959884699
0.137143	4088	17595	4.3040606653620355
0.140000	4560	19808	4.343859649122807
0.142857	5073	21833	4.303765030553913
0.145714	5125	21776	4.248975609756098
0.148571	5600	25488	4.551428571428572
0.151429	6185	27615	4.464834276475344
0.154286	7087	30759	4.340200366868915
0.157143	7962	34589	4.344260236121578
0.160000	9103	39208	4.307151488520268
0.162857	11298	78250	6.926004602584528
0.165714	15826	73463	4.641918362188803
0.168571	19339	83662	4.32607683954703
0.171429	19973	84518	4.231612677114104
0.174286	20554	89787	4.3683467938114235
0.177143	21690	94191	4.342600276625173
0.180000	22535	98284	4.361393388063013
0.182857	23699	99257	4.188235790539685
0.185714	26908	115836	4.304890738813736
0.188571	29749	127493	4.2856230461528115
0.191429	33720	143257	4.248428232502966
0.194286	38012	162655	4.279043459960013
0.197143	42734	182258	4.264941264566856
0.200000	47142	199259	4.226782911204446
0.202857	53563	228027	4.2571737953438005
0.205714	61594	262014	4.253888365749911
0.208571	68081	284499	4.178831098250614
0.211429	75847	308486	4.067214260287157
0.214286	82496	337025	4.085349592707526
0.217143	90121	371919	4.1268849657682445
0.220000	98123	406529	4.143055145073021
0.222857	109920	455370	4.142740174672489
0.225714	120415	498413	4.139127185151351
0.228571	134897	560775	4.157060572140225
0.231429	147441	608547	4.127393330213441
0.234286	163418	670762	4.104578443011174
0.237143	181928	745099	4.095570775251748
0.240000	199533	812507	4.07204322092085
0.242857	220462	895444	4.061670491966869
0.245714	241676	978120	4.047236796372002
0.248571	264025	1066543	4.039553072625698
0.251429	290343	1163717	4.0080766541642125
0.254286	314041	1248883	3.976815129234718
0.257143	339992	1339893	3.9409544930468954
0.260000	371321	1459311	3.930052434416583
0.262857	402067	1574809	3.9167825262953686
0.265714	435052	1694267	3.894401129060434
0.268571	469598	1823049	3.882148135213523
0.271429	505986	1945276	3.844525342598412
0.274286	543325	2068911	3.8078700593567385
0.277143	581899	2207191	3.793082648363376
0.280000	620395	2345395	3.7804866254563625
0.282857	663209	2486495	3.749187661807967
0.285714	705513	2636947	3.7376306318948056
0.288571	751546	2787580	3.7091275850047767
0.291429	800194	2947687	3.683715449003617
0.294286	847792	3121889	3.682376101685319
0.297143	896630	3324747	3.708047912739926
0.300000	952187	3488937	3.6641300500846996
0.302857	1007306	3591828	3.56577643734873
0.305714	1060750	3754724	3.539687956634457
0.308571	1110869	3871808	3.485386665754468
0.311429	1158074	4016344	3.4681237986518996
0.314286	1208717	4158365	3.440313158497812
0.317143	1253428	4271454	3.4078176010109873
0.320000	1297782	4409003	3.397337149074344
0.322857	1338416	4513079	3.3719553561822333
0.325714	1381228	4633896	3.3549102682540464
0.328571	1415649	4746306	3.352742099206795
0.331429	1441542	4831523	3.3516352627949795
0.334286	1468248	4901730	3.3384891380747668
0.337143	1483748	4910670	3.3096388335485543
0.340000	1497480	4929111	3.291603894542832
0.342857	1509829	4961761	3.28630659498526
0.345714	1521863	5036537	3.3094549246548475
0.348571	1538276	5016820	3.261326315953704
0.351429	1552784	5083341	3.2736948603282876
0.354286	1567247	5101031	3.254771583547456
0.357143	1574272	5113149	3.247945081917229
0.360000	1585438	5079925	3.204114572755289
0.362857	1596759	5112376	3.2017204850575447
0.365714	1593591	5037176	3.160896365504072
0.368571	1591764	5001926	3.142379146657419
0.371429	1588037	4921582	3.0991607878153973
0.374286	1583348	4909536	3.1007308563878566
0.377143	1580296	4916037	3.1108330338113874
0.380000	1571456	4826966	3.0716520220737964
0.382857	1564263	4741632	3.031224289010224
0.385714	1557086	4740960	3.04476438680972
0.388571	1548773	4610743	2.977029558237392
0.391429	1541010	4599464	2.9847074321386624
0.394286	1532177	4540695	2.963557735170284
0.397143	1525958	4461735	2.923891090056214
0.400000	1514448	4407549	2.9103336661278565
0.402857	1504698	4385776	2.9147217581202343
0.405714	1491916	4296210	2.879659444633612
0.408571	1484881	4245051	2.8588492949940094
0.411429	1473187	4223197	2.866708028240814
0.414286	1460344	4125140	2.8247727932596702
0.417143	1449587	4059587	2.800512835724934
0.420000	1440936	4007158	2.7809409994614613
0.422857	1429200	3986302	2.7891841589700532
0.425714	1421060	3907478	2.749692483076014
0.428571	1408690	3843967	2.728752954872967
0.431429	1399388	3821764	2.7310252767638423
0.434286	1389136	3776593	2.718663255433593
0.437143	1377404	3724724	2.7041623227462677
0.440000	1365767	3769967	2.760329543765518
0.442857	1350724	3644502	2.698184084979611
0.445714	1334291	3579779	2.682907251866347
0.448571	1317265	3448932	2.6182522119694975
0.451429	1302479	3430739	2.6340071509790177
0.454286	1287437	3341487	2.595456709726379
0.457143	1269720	3335538	2.626987052263491
0.460000	1247789	3224072	2.583827874744849
0.462857	1231936	3163733	2.568098505117149
0.465714	1209859	3089749	2.553809162885923
0.468571	1186456	3026398	2.550788229820575
0.471429	1162592	2947422	2.5352161377336158
0.474286	1135528	2866754	2.524600009863253
0.477143	1109855	2790450	2.5142473566366776
0.480000	1084475	2717971	2.5062551003942
0.482857	1057046	2642882	2.500252590710338
0.485714	1029185	2527700	2.4560210263460895
0.488571	998407	2437976	2.4418658923665397
0.491429	970431	2394606	2.467569564451259
0.494286	943648	2285866	2.422371477500085
0.497143	918478	2219559	2.4165619644673035
0.500000	888118	2141348	2.411107533008001
0.502857	862534	2135203	2.4755000962280906
0.505714	838422	1998994	2.3842337152412507
0.508571	810407	1921680	2.3712529630173482
0.511429	781263	1844636	2.3610947913826714
0.514286	749453	1763955	2.353656600213756
0.517143	722369	1695193	2.34671338332625
0.520000	694279	1624555	2.339916661745494
0.522857	664261	1550635	2.3343760961429316
0.525714	632560	1475648	2.332819021120526
0.528571	601221	1435859	2.388238268457023
0.531429	573349	1340946	2.3387953933816923
0.534286	542879	1302488	2.3992233996894337
0.537143	510811	1191197	2.331972099269593
0.540000	484591	1132285	2.336578681816212
0.542857	457004	1070949	2.343412749122546
0.545714	434090	1016837	2.3424566334170334
0.548571	411674	963680	2.3408813770119075
0.551429	390677	953019	2.4394039065519597
0.554286	371799	873970	2.350651830693466
0.557143	352837	861466	2.4415409948503135
0.560000	332941	781939	2.3485812801667563
0.562857	318431	747052	2.346040429480798
0.565714	301966	709121	2.348347164912606
0.568571	285130	703232	2.4663556974011853
0.571429	267730	629998	2.353109475964591
0.574286	253260	596125	2.353806365000395
0.577143	238905	593691	2.485050543102907
0.580000	224421	589206	2.6254494900209875
0.582857	210234	490981	2.3354024563105873
0.585714	197684	461026	2.332136136460209
0.588571	183573	460725	2.509764507852462
0.591429	170434	431226	2.5301641691211847
0.594286	159167	405102	2.5451381253651824
0.597143	148978	379613	2.5481144867027345
0.600000	139422	349492	2.5067206036350074
0.602857	129404	316982	2.4495533368365736
0.605714	120684	264195	2.189146862881575
0.608571	111698	242729	2.1730827767730845
0.611429	103036	222533	2.159759695640359
0.614286	95770	207499	2.166638822178135
0.617143	88991	193005	2.1688148239709633
0.620000	81883	175432	2.1424715752964594
0.622857	74015	156889	2.119691954333581
0.625714	67990	142618	2.0976320047065746
0.628571	62403	130582	2.0925596525808055
0.631429	57062	119527	2.09468648137114
0.634286	51813	109560	2.1145272421979042
0.637143	46304	98181	2.1203567726330337
0.640000	41455	88867	2.1436979857677
0.642857	36965	79138	2.14089003111051
0.645714	33123	70544	2.129758777888476
0.648571	30430	65232	2.1436740059152153
0.651429	27358	58687	2.1451494992324
0.654286	24272	51398	2.1175840474620964
0.657143	21983	45739	2.080653232042942
0.660000	19866	41305	2.0791805094130678
0.662857	17439	36296	2.081312001834968
0.665714	16011	31847	1.9890700143651239
0.668571	14159	28059	1.9817077477222969
0.671429	11937	23630	1.9795593532713411
0.674286	9869	20276	2.0545141351707366
0.677143	8508	17680	2.078044193700047
0.680000	7581	15653	2.0647671811106716
0.682857	6429	13399	2.0841499455591848
0.685714	5296	11538	2.1786253776435047
0.688571	4540	10091	2.2226872246696034
0.691429	3760	7694	2.046276595744681
0.694286	3067	6029	1.9657645908053472
0.697143	2465	4687	1.901419878296146
0.700000	2077	3922	1.8883004333172846
0.702857	1692	3218	1.9018912529550827
0.705714	1313	2610	1.987814166031988
0.708571	1043	2122	2.034515819750719
0.711429	865	1670	1.930635838150289
0.714286	780	1522	1.9512820512820512
0.717143	737	1433	1.9443690637720488
0.720000	658	1402	2.1306990881458967
0.722857	456	957	2.098684210526316
0.725714	288	692	2.4027777777777777
0.728571	217	520	2.3963133640552994
0.731429	216	473	2.189814814814815
0.734286	152	300	1.9736842105263157
0.737143	112	181	1.6160714285714286
0.740000	113	154	1.3628318584070795
0.742857	88	122	1.3863636363636365
0.745714	57	100	1.7543859649122806
0.748571	42	44	1.0476190476190477
0.751429	40	12	0.3
0.754286	49	23	0.46938775510204084
0.757143	29	8	0.27586206896551724
0.760000	7	4	0.5714285714285714
0.762857	29	11	0.3793103448275862
0.765714	26	6	0.23076923076923078
0.768571	27	7	0.25925925925925924
0.771429	23	8	0.34782608695652173
0.774286	19	3	0.15789473684210525
0.777143	26	11	0.4230769230769231
0.780000	1	1	1.0
