GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	6415	2.6718034152436485
0.002857	1455	3668	2.5209621993127147
0.005714	559	1606	2.8729874776386404
0.008571	1230	8848	7.1934959349593495
0.011429	855	6860	8.023391812865498
0.014286	1291	9009	6.978311386522076
0.017143	955	5100	5.340314136125654
0.020000	1270	7992	6.292913385826772
0.022857	1748	12610	7.21395881006865
0.025714	1782	16511	9.265432098765432
0.028571	1265	11647	9.207114624505929
0.031429	1084	10571	9.751845018450185
0.034286	921	4993	5.42128121606949
0.037143	838	2177	2.5978520286396183
0.040000	895	3768	4.210055865921787
0.042857	1145	6293	5.496069868995633
0.045714	1268	4484	3.5362776025236595
0.048571	1474	3548	2.407055630936228
0.051429	1494	4046	2.7081659973226238
0.054286	1607	4619	2.8742999377722462
0.057143	1785	5491	3.0761904761904764
0.060000	1885	5798	3.075862068965517
0.062857	2044	6235	3.0503913894324852
0.065714	2082	6028	2.8952929875120077
0.068571	2137	7206	3.3720168460458586
0.071429	2396	7395	3.0863939899833057
0.074286	2327	7092	3.0477009024495056
0.077143	2489	8250	3.314584170349538
0.080000	2719	9250	3.40198602427363
0.082857	3012	13169	4.3721779548472774
0.085714	3036	11891	3.9166666666666665
0.088571	3423	16326	4.769500438212095
0.091429	3716	50132	13.490850376749192
0.094286	4043	40963	10.131832797427652
0.097143	4318	38779	8.980778138026864
0.100000	4422	28967	6.5506558118498415
0.102857	4971	32008	6.43894588613961
0.105714	5528	42096	7.615050651230101
0.108571	6001	52954	8.824195967338778
0.111429	6162	58107	9.42989289191821
0.114286	6548	64499	9.850183262064753
0.117143	7090	68380	9.644569816643159
0.120000	8280	99930	12.068840579710145
0.122857	8971	57335	6.3911492587225505
0.125714	9855	262782	26.6648401826484
0.128571	11251	1056266	93.88196604746244
0.131429	10665	136309	12.780965775902486
0.134286	11242	56513	5.0269524995552395
0.137143	12404	50748	4.09126088358594
0.140000	13675	67268	4.919049360146253
0.142857	14969	61546	4.11156389872403
0.145714	16662	65602	3.937222422278238
0.148571	18297	81488	4.453626277531836
0.151429	18782	78886	4.200085187945906
0.154286	20592	87100	4.22979797979798
0.157143	21696	96591	4.452018805309734
0.160000	24593	116057	4.719107062985402
0.162857	28970	161602	5.5782533655505695
0.165714	36018	230981	6.41293242267755
0.168571	41430	239021	5.769273473328506
0.171429	39399	207601	5.269194649610396
0.174286	41459	220206	5.311416097831593
0.177143	43889	212307	4.837362437057122
0.180000	47197	233517	4.947708540797085
0.182857	51096	261097	5.10993032722718
0.185714	55457	278715	5.025785743909696
0.188571	60342	302030	5.005303105631235
0.191429	65268	330826	5.068731997303426
0.194286	71937	337833	4.696234204929313
0.197143	79817	386912	4.847488630241678
0.200000	87651	422229	4.817161241742821
0.202857	97709	437522	4.477806548015025
0.205714	106600	463165	4.344887429643527
0.208571	118467	512996	4.3302860712265865
0.211429	130692	564439	4.318848896642487
0.214286	144451	573426	3.9696921447411233
0.217143	159555	629385	3.944627244523832
0.220000	175001	710633	4.0607367957897385
0.222857	193122	774317	4.00947069727944
0.225714	213796	846752	3.960560534341148
0.228571	236591	881289	3.724947271874247
0.231429	259712	942180	3.6277877033021193
0.234286	287259	1042667	3.6297104703420953
0.237143	313263	1132981	3.6167086441743836
0.240000	345699	1236002	3.575370481256816
0.242857	379929	1363505	3.5888415993514577
0.245714	414566	1491720	3.598269033157567
0.248571	449866	1610919	3.5808863083673805
0.251429	491354	1749771	3.5611209026485997
0.254286	531978	1897192	3.5662978544225514
