GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	5169	2.152852977925864
0.002857	1455	4854	3.3360824742268043
0.005714	559	2472	4.422182468694096
0.008571	1230	7553	6.140650406504065
0.011429	855	7075	8.274853801169591
0.014286	1291	11674	9.042602633617351
0.017143	955	6337	6.635602094240838
0.020000	1270	10947	8.61968503937008
0.022857	1748	15056	8.613272311212814
0.025714	1782	19876	11.153759820426487
0.028571	1265	14074	11.125691699604744
0.031429	1084	12422	11.459409594095941
0.034286	921	5148	5.58957654723127
0.037143	838	2840	3.389021479713604
0.040000	895	4612	5.153072625698324
0.042857	1145	6545	5.716157205240175
0.045714	1268	4769	3.7610410094637223
0.048571	1474	4019	2.726594301221167
0.051429	1494	4189	2.8038821954484603
0.054286	1607	4949	3.0796515245799627
0.057143	1785	5431	3.042577030812325
0.060000	1885	6220	3.2997347480106103
0.062857	2044	6630	3.2436399217221137
0.065714	2082	6149	2.953410182516811
0.068571	2137	7202	3.370145063172672
0.071429	2396	7579	3.1631886477462436
0.074286	2327	7339	3.1538461538461537
0.077143	2489	8740	3.5114503816793894
0.080000	2719	9574	3.5211474806914307
0.082857	3012	13638	4.527888446215139
0.085714	3036	11779	3.879776021080369
0.088571	3423	15536	4.538708735027753
0.091429	3716	54728	14.727664155005382
0.094286	4043	45047	11.141973781845165
0.097143	4318	44169	10.229041222788329
0.100000	4422	33735	7.628900949796472
0.102857	4971	35271	7.095353047676523
0.105714	5528	44552	8.059334298118669
0.108571	6001	56806	9.466088985169138
0.111429	6162	63568	10.316131126257709
0.114286	6548	70452	10.759315821624924
0.117143	7090	74853	10.557545839210155
0.120000	8280	111312	13.443478260869565
0.122857	8971	61233	6.825660461487014
0.125714	9855	224561	22.78650431253171
0.128571	11251	876259	77.88276597635766
0.131429	10665	126298	11.84228785747773
0.134286	11242	61447	5.465842376801281
0.137143	12404	53377	4.303208642373428
0.140000	13675	70877	5.182961608775137
0.142857	14969	61328	4.097000467633109
0.145714	16662	67048	4.024006721882127
0.148571	18297	84580	4.622615729354539
0.151429	18782	80281	4.274358428282398
0.154286	20592	91310	4.434246309246309
0.157143	21696	101231	4.665883112094395
0.160000	24593	119085	4.842231529296955
0.162857	28970	164713	5.6856403175698995
0.165714	36018	217245	6.031567549558554
0.168571	41430	221229	5.339826212889211
0.171429	39399	201002	5.101703088910886
0.174286	41459	214307	5.169130948648062
0.177143	43889	211652	4.822438424206521
0.180000	47197	230901	4.892281289064983
0.182857	51096	261930	5.126232973226867
0.185714	55457	279421	5.038516327965811
0.188571	60342	304684	5.049285737960293
0.191429	65268	336173	5.1506557577986145
0.194286	71937	342205	4.757009605627146
0.197143	79817	396789	4.971234198228448
0.200000	87651	423623	4.833065224583861
0.202857	97709	448357	4.588697049401795
0.205714	106600	482620	4.527392120075047
0.208571	118467	525386	4.434872158491395
0.211429	130692	576938	4.414485967006397
0.214286	144451	580749	4.02038753625797
0.217143	159555	642318	4.02568393343988
0.220000	175001	724175	4.138119210747367
0.222857	193122	800686	4.146011329625832
0.225714	213796	874410	4.089926846152407
0.228571	236591	907504	3.8357503032659737
0.231429	259712	968701	3.7299046636274027
0.234286	287259	1073159	3.7358585805840723
0.237143	313263	1167355	3.7264375301264434
0.240000	345699	1277848	3.6964179821173913
0.242857	379929	1399476	3.6835198155444835
0.245714	414566	1523536	3.6750143523588523
0.248571	449866	1646942	3.6609612640208415
0.251429	491354	1794417	3.651984109216573
0.254286	531978	1952964	3.671136776332856
0.257143	578106	2092823	3.620137137479978
0.260000	626899	2253000	3.593880353932611
0.262857	679873	2406328	3.5393786780766407
0.265714	739656	2610542	3.5294001535849095
0.268571	801942	2825618	3.5234692783268615
0.271429	868881	3043692	3.5030021372316806
0.274286	946372	3291926	3.47846935454557
0.277143	1031587	3556765	3.4478575243774885
0.280000	1131358	3846777	3.40014124618379
0.282857	1242802	4169603	3.355001842610488
0.285714	1363768	4563080	3.3459356723430966
0.288571	1502941	4967189	3.3049793704476755
0.291429	1665365	5445372	3.269776895755585
0.294286	1840258	5961684	3.2395914051181953
0.297143	2031656	6472265	3.185709096421835
0.300000	2239155	7096541	3.1692942203643786
0.302857	2448805	7732980	3.1578586290047594
0.305714	2643350	8284134	3.1339527493521477
0.308571	2821869	8829194	3.1288461654314923
0.311429	2973218	9290554	3.124746991307062
0.314286	3101962	9720775	3.1337505101609886
0.317143	3184936	9984702	3.1349772805481804
0.320000	3238707	10152944	3.1348757389908997
0.322857	3261020	10255206	3.144784760596378
0.325714	3261694	10264829	3.1470852262658604
0.328571	3239622	10189762	3.1453552297150718
0.331429	3201402	10030671	3.133211949014838
0.334286	3154123	9824554	3.114829066589984
0.337143	3101316	9576316	3.0878233627273066
0.340000	3053839	9352559	3.062557980299551
0.342857	3016589	9174836	3.041460404450192
0.345714	2988863	9054933	3.0295577281394297
0.348571	2974125	8949448	3.00910284537469
0.351429	2964565	8912870	3.0064680652979443
0.354286	2964630	8885716	2.9972428262548783
0.357143	2970630	8857160	2.981576298630257
0.360000	2970818	8819725	2.9687867112694213
0.362857	2973868	8793383	2.95688409841997
0.365714	2984978	8796502	2.9469235619156993
0.368571	2997452	8827882	2.9451287293341144
0.371429	3014725	8853587	2.936780966754845
0.374286	3040828	8920450	2.933559543650611
0.377143	3070301	8990739	2.92829237263708
0.380000	3095561	9052868	2.924467648998033
0.382857	3096026	9068790	2.929171137451688
0.385714	3085800	9053451	2.9339072525763172
0.388571	3056559	8960804	2.9316640051770633
0.391429	3011988	8755449	2.906867158833302
0.394286	2960034	8518154	2.8777216748186
0.397143	2901581	8273342	2.851322089578061
0.400000	2836564	7997079	2.8192838236683535
0.402857	2775922	7764582	2.7971182187395756
0.405714	2714088	7518207	2.7700675143915747
0.408571	2665076	7346712	2.7566613484943767
0.411429	2617017	7195806	2.749621420113052
0.414286	2572755	7046778	2.7390007987546423
0.417143	2534743	6929113	2.7336550490523104
0.420000	2500239	6798346	2.719078456099597
0.422857	2460952	6674364	2.7121065343818165
0.425714	2426366	6554640	2.70142262131929
0.428571	2394818	6449096	2.6929378349419455
0.431429	2361026	6325756	2.679240296379625
0.434286	2330874	6215878	2.6667584777212325
0.437143	2303414	6128145	2.660461818848023
0.440000	2279608	6030677	2.6454886103224764
0.442857	2249032	5922173	2.633209754240936
0.445714	2218756	5813922	2.620352125244957
0.448571	2192341	5708874	2.6040082268223785
0.451429	2161215	5604863	2.5933852023051847
0.454286	2128424	5489344	2.579065073500393
0.457143	2098492	5383351	2.5653426365218452
0.460000	2070374	5275497	2.548088896015889
0.462857	2040837	5175439	2.535939420933666
0.465714	1998621	5054703	2.529095311217084
0.468571	1962107	4941984	2.51871279191196
0.471429	1920230	4819996	2.510113892606615
0.474286	1887173	4718790	2.500454383355421
0.477143	1847371	4588146	2.483608327726266
0.480000	1818672	4486782	2.4670649792815857
0.482857	1782287	4374085	2.4541978929319463
0.485714	1742643	4251663	2.4397785432816703
0.488571	1702345	4133125	2.427900924900652
0.491429	1660407	3995222	2.4061702943916763
0.494286	1622878	3880351	2.3910306258387877
0.497143	1582189	3761653	2.3774991483318364
0.500000	1541328	3637621	2.360056392928695
0.502857	1503037	3522699	2.3437207467281245
0.505714	1459423	3393115	2.3249702108298966
0.508571	1419412	3269857	2.303670111285518
0.511429	1376044	3159993	2.296433108243632
0.514286	1337276	3054171	2.283874832121417
0.517143	1290670	2919336	2.261876389782051
0.520000	1247493	2797919	2.242833426720631
0.522857	1206202	2678470	2.220581627289625
0.525714	1169450	2569157	2.196893411432725
0.528571	1135383	2465426	2.171448753416248
0.531429	1095786	2355972	2.1500292940409897
0.534286	1058106	2243218	2.1200314524253714
0.537143	1018070	2137621	2.099679786262241
0.540000	983116	2045383	2.0805103365218347
0.542857	948375	1958051	2.0646379333069724
0.545714	914812	1860894	2.0341818865515537
0.548571	882188	1775324	2.0124100531859423
0.551429	847014	1688425	1.9933849971783228
0.554286	815911	1610524	1.9738966627487557
0.557143	789423	1534866	1.944288423316777
0.560000	762812	1469305	1.9261692264935528
0.562857	737302	1395057	1.8921106954816345
0.565714	713479	1319456	1.8493270299476228
0.568571	689711	1258727	1.8250064157306467
0.571429	664913	1197009	1.8002490551395445
0.574286	641645	1129676	1.7605934745848562
0.577143	615795	1058111	1.718284494028045
0.580000	591454	1009752	1.7072367419951509
0.582857	567959	945396	1.664549729822047
0.585714	544381	893639	1.6415690481482639
0.588571	526616	852999	1.6197741808072674
0.591429	506890	809092	1.5961885221645722
0.594286	483481	768154	1.5887987325251665
0.597143	466111	736779	1.5806942981392844
0.600000	448173	715692	1.5969101217610164
0.602857	430626	694772	1.6134000269375282
0.605714	413854	682618	1.649417427401934
0.608571	399681	661536	1.6551599900920984
0.611429	386763	663525	1.7155855136091094
0.614286	373056	670178	1.7964541516555155
0.617143	359870	672074	1.8675466140550754
0.620000	343813	667571	1.941668872323036
0.622857	327465	668904	2.0426732627914435
0.625714	309222	660277	2.1352846822024305
0.628571	288807	650503	2.252379616837542
0.631429	268665	617384	2.2979695903820745
0.634286	246475	577459	2.342870473678872
0.637143	228672	535248	2.3406801007556677
0.640000	209997	501345	2.387391248446406
0.642857	189684	437520	2.3065730372619724
0.645714	171716	387853	2.2586887651703975
0.648571	152340	358508	2.3533412104503086
0.651429	136490	329466	2.4138471682907174
0.654286	121814	287013	2.356157748698836
0.657143	106884	257562	2.4097339171438197
0.660000	94992	218985	2.305299393633148
0.662857	84286	191884	2.276582113280972
0.665714	74256	166989	2.248828377504848
0.668571	64632	148132	2.2919296942690925
0.671429	55232	123111	2.2289795770567786
0.674286	47772	108263	2.266243824834631
0.677143	40589	94422	2.326295301682722
0.680000	33989	76315	2.2452852393421403
0.682857	29622	61961	2.0917223685098913
0.685714	25043	49064	1.9591901928682667
0.688571	21246	38815	1.8269321284006401
0.691429	17338	29556	1.7046948898373515
0.694286	13775	22511	1.6341923774954628
0.697143	11292	18224	1.6138859369465108
0.700000	9418	14200	1.5077511148863878
0.702857	7941	12645	1.5923687193048734
0.705714	6308	10325	1.6368103994927077
0.708571	5132	8359	1.6287996882307092
0.711429	4118	6915	1.6792132102962603
0.714286	3527	6072	1.7215764105472073
0.717143	2883	4954	1.7183489420742282
0.720000	2430	3776	1.553909465020576
0.722857	1974	2931	1.4848024316109423
0.725714	1496	2580	1.7245989304812834
0.728571	1288	2042	1.5854037267080745
0.731429	974	1429	1.4671457905544147
0.734286	758	1182	1.5593667546174141
0.737143	483	597	1.236024844720497
0.740000	465	572	1.2301075268817205
0.742857	295	319	1.0813559322033899
0.745714	291	387	1.3298969072164948
0.748571	252	310	1.2301587301587302
0.751429	210	279	1.3285714285714285
0.754286	125	195	1.56
0.757143	66	84	1.2727272727272727
0.760000	65	60	0.9230769230769231
0.762857	78	63	0.8076923076923077
0.765714	44	33	0.75
0.768571	14	11	0.7857142857142857
0.771429	31	13	0.41935483870967744
0.774286	26	6	0.23076923076923078
0.777143	27	12	0.4444444444444444
0.780000	14	3	0.21428571428571427
0.782857	50	9	0.18
0.785714	41	4	0.0975609756097561
0.788571	26	0	0.0
0.791429	11	0	0.0
