GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	5099	2.123698458975427
0.002857	1455	5173	3.5553264604810995
0.005714	559	2558	4.5760286225402504
0.008571	1230	6034	4.905691056910569
0.011429	855	7414	8.671345029239767
0.014286	1291	10757	8.332300542215338
0.017143	955	5661	5.9277486910994766
0.020000	1270	9973	7.8527559055118115
0.022857	1748	15944	9.121281464530892
0.025714	1782	18443	10.349607182940517
0.028571	1265	11479	9.074308300395257
0.031429	1084	9275	8.556273062730627
0.034286	921	4051	4.398479913137893
0.037143	838	2490	2.971360381861575
0.040000	895	4359	4.870391061452514
0.042857	1145	5481	4.786899563318777
0.045714	1268	4705	3.7105678233438484
0.048571	1474	4611	3.128222523744912
0.051429	1494	4415	2.9551539491298526
0.054286	1607	4777	2.972619788425638
0.057143	1785	5882	3.295238095238095
0.060000	1885	6635	3.519893899204244
0.062857	2044	6517	3.1883561643835616
0.065714	2082	6117	2.938040345821326
0.068571	2137	6901	3.229293401965372
0.071429	2396	8174	3.4115191986644406
0.074286	2327	7435	3.1951009883970776
0.077143	2489	8347	3.353555644837284
0.080000	2719	9347	3.437660904744391
0.082857	3012	10435	3.4644754316069055
0.085714	3036	10038	3.3063241106719365
0.088571	3423	15401	4.49926964650891
0.091429	3716	57249	15.406081808396126
0.094286	4043	61218	15.141726440761811
0.097143	4318	59584	13.798981009726726
0.100000	4422	35918	8.122568973315243
0.102857	4971	39686	7.983504325085496
0.105714	5528	57088	10.327062228654125
0.108571	6001	63255	10.54074320946509
0.111429	6162	69753	11.319863680623174
0.114286	6548	67107	10.248472816127062
0.117143	7090	72998	10.295909732016925
0.120000	8280	114990	13.88768115942029
0.122857	8971	62369	6.95229071452458
0.125714	9855	356930	36.2181633688483
0.128571	11251	1492766	132.67851746511423
0.131429	10665	172834	16.205719643694326
0.134286	11242	59143	5.260896637608966
0.137143	12404	56905	4.587633021605933
0.140000	13675	73360	5.3645338208409505
0.142857	14969	67087	4.481728906406573
0.145714	16662	77403	4.645480734605689
0.148571	18297	94623	5.1715035251680606
0.151429	18782	93097	4.956713874986689
0.154286	20592	110186	5.350912975912976
0.157143	21696	114065	5.2574207227138645
0.160000	24593	137410	5.587362257552962
0.162857	28970	177350	6.12185018985157
0.165714	36018	243287	6.754594924759842
0.168571	41430	249069	6.0118030412744385
0.171429	39399	219154	5.562425442270109
0.174286	41459	232260	5.602161171277648
0.177143	43889	225127	5.129462963384903
0.180000	47197	255077	5.404517236265017
0.182857	51096	287839	5.633298105526851
0.185714	55457	302212	5.449483383522368
0.188571	60342	329302	5.457260283053263
0.191429	65268	361107	5.532680639823497
0.194286	71937	365099	5.0752602972044984
0.197143	79817	416818	5.222170715511733
0.200000	87651	445577	5.083535841005807
0.202857	97709	481699	4.929934806414967
0.205714	106600	515930	4.8398686679174485
0.208571	118467	579593	4.892442621151882
0.211429	130692	612920	4.689805037798794
0.214286	144451	604248	4.183065537794823
0.217143	159555	666314	4.176077214753533
0.220000	175001	745581	4.260438511779933
0.222857	193122	838781	4.343270057269498
0.225714	213796	902269	4.2202333065164925
0.228571	236591	963337	4.071739837948189
0.231429	259712	1037014	3.992938331690488
0.234286	287259	1173891	4.086524704186814
0.237143	313263	1273702	4.065919052042533
0.240000	345699	1378193	3.98668494846673
0.242857	379929	1487201	3.9144182202464144
0.245714	414566	1617641	3.9020107775360255
0.248571	449866	1726047	3.836802514526548
0.251429	491354	1873764	3.813470532447075
0.254286	531978	2022358	3.8015820203091106
0.257143	578106	2192186	3.792013921322387
0.260000	626899	2342444	3.736557244468407
0.262857	679873	2529856	3.721071435400435
0.265714	739656	2742137	3.707313940534519
0.268571	801942	2957081	3.6874000862905296
0.271429	868881	3195027	3.677174434703947
0.274286	946372	3473317	3.670139226435271
0.277143	1031587	3781091	3.665314704431134
0.280000	1131358	4115214	3.6374109698256434
0.282857	1242802	4523410	3.639686772309668
0.285714	1363768	5009947	3.6736065078517752
0.288571	1502941	5519909	3.672738317738354
0.291429	1665365	6122090	3.676125053666914
0.294286	1840258	6791815	3.690686305941884
0.297143	2031656	7483236	3.6833184357981863
0.300000	2239155	8295496	3.7047439770806396
0.302857	2448805	9085201	3.710054904330888
0.305714	2643350	9814086	3.712745569069552
0.308571	2821869	10464114	3.7082210407357676
0.311429	2973218	11018713	3.7059889318576706
0.314286	3101962	11473552	3.698804820948806
0.317143	3184936	11744584	3.6875416020918474
0.320000	3238707	11881620	3.6686307220751986
0.322857	3261020	11906939	3.651292847023324
0.325714	3261694	11865464	3.6378225547828826
0.328571	3239622	11635292	3.5915585213336616
0.331429	3201402	11382849	3.555582522907151
0.334286	3154123	11011502	3.491145399212396
0.337143	3101316	10628605	3.4271273872123964
0.340000	3053839	10269161	3.362705434045475
0.342857	3016589	10002922	3.31597111837244
0.345714	2988863	9818324	3.2849695686955207
0.348571	2974125	9675425	3.2532005211616863
0.351429	2964565	9559639	3.2246346428565404
0.354286	2964630	9499578	3.204304753038322
0.357143	2970630	9433695	3.1756546591127135
0.360000	2970818	9371155	3.1544022555403934
0.362857	2973868	9331077	3.1376903749594804
