GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	7189	2.9941690962099123
0.002857	1455	9770	6.714776632302406
0.005714	559	2901	5.189624329159213
0.008571	1230	6938	5.640650406504065
0.011429	855	9741	11.39298245614035
0.014286	1291	13135	10.17428350116189
0.017143	955	7975	8.350785340314136
0.020000	1270	13684	10.7748031496063
0.022857	1748	19572	11.196796338672769
0.025714	1782	23788	13.349046015712682
0.028571	1265	14601	11.542292490118577
0.031429	1084	12967	11.962177121771218
0.034286	921	5763	6.257328990228013
0.037143	838	2544	3.035799522673031
0.040000	895	3929	4.389944134078212
0.042857	1145	4166	3.6384279475982533
0.045714	1268	4538	3.578864353312303
0.048571	1474	4965	3.3683853459972863
0.051429	1494	5463	3.6566265060240966
0.054286	1607	5893	3.6670815183571874
0.057143	1785	7066	3.958543417366947
0.060000	1885	7400	3.9257294429708223
0.062857	2044	8288	4.054794520547945
0.065714	2082	8395	4.032180595581172
0.068571	2137	9333	4.367337388862892
0.071429	2396	9461	3.9486644407345577
0.074286	2327	9545	4.1018478727975936
0.077143	2489	10306	4.140618722378465
0.080000	2719	11281	4.14895182052225
0.082857	3012	12112	4.02124833997344
0.085714	3036	12123	3.9930830039525693
0.088571	3423	15504	4.529360210341806
0.091429	3716	21882	5.888589881593111
0.094286	4043	24365	6.026465495918872
0.097143	4318	21072	4.880037054191756
0.100000	4422	22429	5.0721393034825875
0.102857	4971	26979	5.427278213639107
0.105714	5528	47217	8.54142547033285
0.108571	6001	58731	9.786868855190802
0.111429	6162	57132	9.271665043816942
0.114286	6548	44002	6.7199144777031155
0.117143	7090	41666	5.87672778561354
0.120000	8280	100747	12.167512077294687
0.122857	8971	68765	7.665254709619886
0.125714	9855	292010	29.63064434297311
0.128571	11251	1127683	100.22957959292508
0.131429	10665	141517	13.269292076887014
0.134286	11242	65230	5.802348336594912
0.137143	12404	64850	5.2281522089648504
0.140000	13675	84849	6.204680073126142
0.142857	14969	80037	5.346850156991115
0.145714	16662	89045	5.344196374984996
0.148571	18297	107204	5.859102585123244
0.151429	18782	107627	5.730326908742413
0.154286	20592	128849	6.257235819735819
0.157143	21696	131382	6.055586283185841
0.160000	24593	147839	6.011426015532876
0.162857	28970	218010	7.525371073524336
0.165714	36018	316584	8.789605197401299
0.168571	41430	316331	7.635312575428434
0.171429	39399	282671	7.174572958704536
0.174286	41459	301314	7.267758508405895
0.177143	43889	305897	6.969787418259701
0.180000	47197	332863	7.052630463800665
0.182857	51096	322230	6.306364490371066
0.185714	55457	340306	6.136393962890168
0.188571	60342	358746	5.9452122899473006
0.191429	65268	376914	5.774866703438132
0.194286	71937	402836	5.599844308214132
0.197143	79817	464274	5.816730771640127
0.200000	87651	521681	5.95179746950976
