GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	8709	3.6272386505622656
0.002857	1455	5332	3.6646048109965634
0.005714	559	2292	4.100178890876565
0.008571	1230	7500	6.097560975609756
0.011429	855	7668	8.968421052631578
0.014286	1291	11076	8.579395817195973
0.017143	955	6973	7.301570680628272
0.020000	1270	8995	7.082677165354331
0.022857	1748	13842	7.918764302059497
0.025714	1782	17809	9.993827160493828
0.028571	1265	12183	9.630830039525692
0.031429	1084	10875	10.032287822878228
0.034286	921	5202	5.648208469055374
0.037143	838	2555	3.048926014319809
0.040000	895	3568	3.9865921787709495
0.042857	1145	3423	2.989519650655022
0.045714	1268	3579	2.8225552050473186
0.048571	1474	4016	2.724559023066486
0.051429	1494	4842	3.2409638554216866
0.054286	1607	4999	3.1107654013690107
0.057143	1785	5380	3.0140056022408963
0.060000	1885	5434	2.882758620689655
0.062857	2044	6609	3.233365949119374
0.065714	2082	6821	3.276176753121998
0.068571	2137	7422	3.473093121197941
0.071429	2396	8376	3.4958263772954923
0.074286	2327	8317	3.5741297808336916
0.077143	2489	8980	3.607874648453194
0.080000	2719	9695	3.565649135711659
0.082857	3012	13025	4.3243691899070384
0.085714	3036	11663	3.8415678524374175
0.088571	3423	18250	5.331580484954718
0.091429	3716	61550	16.56350914962325
0.094286	4043	61276	15.15607222359634
0.097143	4318	59719	13.830245484020379
0.100000	4422	41553	9.396879240162821
0.102857	4971	40293	8.105612552806276
0.105714	5528	57903	10.474493487698988
0.108571	6001	72494	12.080319946675553
0.111429	6162	82441	13.378935410580981
0.114286	6548	95271	14.549633475870495
0.117143	7090	92630	13.06488011283498
0.120000	8280	168639	20.367028985507247
0.122857	8971	77544	8.643852413331848
0.125714	9855	337881	34.28523592085236
0.128571	11251	1377019	122.39080970580393
0.131429	10665	175654	16.470135958743555
0.134286	11242	73862	6.570183241416118
0.137143	12404	66068	5.326346339890358
0.140000	13675	80472	5.8846069469835465
0.142857	14969	72919	4.871334090453604
0.145714	16662	83689	5.022746368983316
0.148571	18297	99350	5.429851888287698
0.151429	18782	96567	5.141465232669577
0.154286	20592	114306	5.550990675990676
0.157143	21696	116960	5.390855457227139
0.160000	24593	129730	5.275078274305697
0.162857	28970	166960	5.763203313772869
0.165714	36018	244781	6.796074185129657
0.168571	41430	276833	6.681945450156891
