GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	7960	3.3152852977925864
0.002857	1455	6326	4.347766323024055
0.005714	559	2637	4.717352415026833
0.008571	1230	6506	5.289430894308943
0.011429	855	7515	8.789473684210526
0.014286	1291	11027	8.541440743609606
0.017143	955	6018	6.301570680628272
0.020000	1270	11307	8.903149606299213
0.022857	1748	14299	8.18020594965675
0.025714	1782	19853	11.140852974186307
0.028571	1265	12747	10.076679841897233
0.031429	1084	11445	10.558118081180812
0.034286	921	5636	6.1194353963083605
0.037143	838	2116	2.5250596658711215
0.040000	895	3138	3.506145251396648
0.042857	1145	2754	2.405240174672489
0.045714	1268	2909	2.2941640378548898
0.048571	1474	3619	2.455223880597015
0.051429	1494	3642	2.4377510040160644
0.054286	1607	4446	2.7666459240821406
0.057143	1785	5185	2.9047619047619047
0.060000	1885	5594	2.96763925729443
0.062857	2044	6103	2.985812133072407
0.065714	2082	5753	2.7632084534101824
0.068571	2137	6222	2.911558259241928
0.071429	2396	6898	2.878964941569282
0.074286	2327	6699	2.878813923506661
0.077143	2489	7430	2.9851345922057053
0.080000	2719	8114	2.984185362265539
0.082857	3012	11964	3.9721115537848606
0.085714	3036	10199	3.3593544137022397
0.088571	3423	13734	4.012269938650307
0.091429	3716	48370	13.016684607104413
0.094286	4043	53043	13.11971308434331
0.097143	4318	52317	12.116025937934229
0.100000	4422	32881	7.435775667118951
0.102857	4971	37507	7.545161939247636
0.105714	5528	49663	8.9839001447178
0.108571	6001	53631	8.937010498250292
0.111429	6162	57514	9.333657903278157
0.114286	6548	65486	10.000916310323763
0.117143	7090	69546	9.809026798307475
0.120000	8280	130275	15.733695652173912
0.122857	8971	61215	6.82365399621001
0.125714	9855	281401	28.554134956874684
0.128571	11251	1142606	101.55595058217047
0.131429	10665	144813	13.578340365682138
0.134286	11242	57974	5.1569115815691156
0.137143	12404	50018	4.032408900354724
0.140000	13675	72222	5.281316270566728
0.142857	14969	65568	4.380252521878549
0.145714	16662	72086	4.326371383987516
0.148571	18297	86262	4.7145433677652075
0.151429	18782	83677	4.455169843467149
