GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	5035	2.09704289879217
0.002857	1455	2940	2.020618556701031
0.005714	559	1722	3.080500894454383
0.008571	1230	4615	3.752032520325203
0.011429	855	4570	5.345029239766082
0.014286	1291	5929	4.592563903950426
0.017143	955	3056	3.2
0.020000	1270	5217	4.107874015748031
0.022857	1748	7261	4.1538901601830664
0.025714	1782	9373	5.259820426487093
0.028571	1265	6100	4.822134387351778
0.031429	1084	6335	5.844095940959409
0.034286	921	3415	3.7079261672095547
0.037143	838	2350	2.804295942720764
0.040000	895	4778	5.338547486033519
0.042857	1145	7367	6.434061135371179
0.045714	1268	4645	3.663249211356467
0.048571	1474	3019	2.048168249660787
0.051429	1494	3332	2.2302543507362786
0.054286	1607	3679	2.2893590541381457
0.057143	1785	4880	2.7338935574229692
0.060000	1885	5720	3.0344827586206895
0.062857	2044	6225	3.045499021526419
0.065714	2082	5742	2.7579250720461097
0.068571	2137	6086	2.84791764155358
0.071429	2396	7058	2.9457429048414023
0.074286	2327	6843	2.9406961753330467
0.077143	2489	6760	2.7159501807955
0.080000	2719	7215	2.6535490989334316
0.082857	3012	10139	3.3662018592297476
0.085714	3036	9281	3.0569828722002637
0.088571	3423	13173	3.8483786152497808
0.091429	3716	46402	12.48708288482239
0.094286	4043	52323	12.94162750432847
0.097143	4318	52655	12.1943029180176
0.100000	4422	32881	7.435775667118951
0.102857	4971	37424	7.528465097565882
0.105714	5528	48024	8.687409551374818
0.108571	6001	52431	8.737043826028994
0.111429	6162	57466	9.325868224602402
0.114286	6548	59669	9.112553451435552
0.117143	7090	63087	8.89802538787024
0.120000	8280	100317	12.115579710144928
0.122857	8971	49595	5.528369189610968
0.125714	9855	262237	26.609538305428718
0.128571	11251	1072311	95.30806150564395
0.131429	10665	129692	12.16052508204407
0.134286	11242	48595	4.3226294253691515
0.137143	12404	40781	3.287729764592067
0.140000	13675	59542	4.3540767824497255
0.142857	14969	52639	3.5165341706192796
0.145714	16662	58377	3.503601008282319
0.148571	18297	74095	4.049570967918238
0.151429	18782	69532	3.7020551591949737
0.154286	20592	82539	4.008304195804196
0.157143	21696	85849	3.956904498525074
0.160000	24593	108536	4.4132883340788025
0.162857	28970	138756	4.789644459785985
0.165714	36018	217333	6.034010772391582
0.168571	41430	230880	5.572773352643012
0.171429	39399	183826	4.665752937891825
0.174286	41459	190274	4.589449817892375
0.177143	43889	178034	4.056460616555401
0.180000	47197	201456	4.268406890268449
0.182857	51096	228313	4.468314545169877
0.185714	55457	243448	4.389851596732604
0.188571	60342	251467	4.167362699280766
0.191429	65268	268738	4.1174541888827605
0.194286	71937	280751	3.90273433698931
0.197143	79817	325758	4.0813109989100065
0.200000	87651	360431	4.112115092811263
0.202857	97709	375404	3.842061631988865
0.205714	106600	394775	3.703330206378987
0.208571	118467	443293	3.741911249546287
0.211429	130692	470932	3.603372815474551
0.214286	144451	475186	3.289599933541478
0.217143	159555	529097	3.3160790949829213
0.220000	175001	596429	3.408146239164348
0.222857	193122	640746	3.3178301798862897
0.225714	213796	698845	3.2687468427847106
0.228571	236591	718882	3.0385010418824048
0.231429	259712	789093	3.038338621241991
0.234286	287259	905666	3.1527854653814154
0.237143	313263	977903	3.1216677360556466
0.240000	345699	1057503	3.059028229760572
0.242857	379929	1145689	3.0155344814425855
0.245714	414566	1239571	2.99004501092709
0.248571	449866	1316064	2.925457802990224
0.251429	491354	1439936	2.930547019053473
0.254286	531978	1546098	2.9063194342623193
0.257143	578106	1664392	2.8790429436816085
0.260000	626899	1790662	2.8563803738720273
0.262857	679873	1922279	2.827408942552506
0.265714	739656	2073759	2.803680359518479
0.268571	801942	2243914	2.7981001119781728
0.271429	868881	2416753	2.781454537502834
0.274286	946372	2612989	2.761059076134966
0.277143	1031587	2828828	2.7422098184641723
0.280000	1131358	3063501	2.7078086688740433
0.282857	1242802	3346793	2.6929414339532767
0.285714	1363768	3677837	2.696820133629767
0.288571	1502941	4032403	2.683008181957908
0.291429	1665365	4433650	2.662269232270403
0.294286	1840258	4891215	2.6578963384481957
0.297143	2031656	5362104	2.639277515484905
0.300000	2239155	5914573	2.6414308076037614
0.302857	2448805	6476472	2.644747948489161
0.305714	2643350	6978478	2.6400128624661887
0.308571	2821869	7474748	2.6488642810846286
0.311429	2973218	7901086	2.6574189985396295
0.314286	3101962	8281765	2.6698473417791706
0.317143	3184936	8498258	2.668266489499318
0.320000	3238707	8625809	2.663349602171484
0.322857	3261020	8661029	2.655926366596954
0.325714	3261694	8645731	2.6506873422215573
0.328571	3239622	8519458	2.6297691520800885
0.331429	3201402	8313631	2.596871932984361
0.334286	3154123	8039272	2.5488137273023277
0.337143	3101316	7745238	2.4974036828236787
0.340000	3053839	7463112	2.4438459263897014
0.342857	3016589	7267086	2.409040807348963
0.345714	2988863	7105385	2.3772869482475443
0.348571	2974125	6972669	2.3444438280166437
0.351429	2964565	6908686	2.330421495227799
0.354286	2964630	6861259	2.3143727885098646
0.357143	2970630	6818608	2.29534071897207
0.360000	2970818	6771487	2.279334176647644
0.362857	2973868	6724843	2.261311867238223
0.365714	2984978	6700269	2.244662774734018
0.368571	2997452	6702439	2.236045481295447
0.371429	3014725	6702718	2.223326505734354
0.374286	3040828	6727966	2.2125440833878143
0.377143	3070301	6766212	2.2037617810110475
0.380000	3095561	6826576	2.205279107728777
0.382857	3096026	6846865	2.211501130804457
0.385714	3085800	6832667	2.2142287251280055
0.388571	3056559	6754222	2.2097469736393114
0.391429	3011988	6604328	2.192680714531399
0.394286	2960034	6429906	2.1722405891283683
0.397143	2901581	6234403	2.148622768070235
0.400000	2836564	6036280	2.12802531513479
0.402857	2775922	5860687	2.111257809117115
0.405714	2714088	5670741	2.0893725627172
0.408571	2665076	5537590	2.077835678982513
0.411429	2617017	5414789	2.0690690966088487
0.414286	2572755	5292235	2.0570303040903624
0.417143	2534743	5183722	2.045068079880288
0.420000	2500239	5085277	2.0339163575962136
0.422857	2460952	4997560	2.030742574418355
0.425714	2426366	4910311	2.0237305501313485
0.428571	2394818	4846765	2.0238552574767685
0.431429	2361026	4752534	2.012910488914565
