GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	2401	7163	2.9833402748854643
0.002857	1455	2332	1.6027491408934709
0.005714	559	1665	2.9785330948121644
0.008571	1230	6923	5.628455284552846
0.011429	855	4740	5.543859649122807
0.014286	1291	6313	4.890007745933385
0.017143	955	3444	3.606282722513089
0.020000	1270	6730	5.299212598425197
0.022857	1748	10202	5.836384439359268
0.025714	1782	12716	7.135802469135802
0.028571	1265	8980	7.098814229249012
0.031429	1084	7268	6.704797047970479
0.034286	921	2743	2.97828447339848
0.037143	838	2081	2.483293556085919
0.040000	895	2531	2.827932960893855
0.042857	1145	2994	2.6148471615720523
0.045714	1268	3131	2.469242902208202
0.048571	1474	3714	2.519674355495251
0.051429	1494	3733	2.498661311914324
0.054286	1607	4436	2.760423148724331
0.057143	1785	5444	3.049859943977591
0.060000	1885	5228	2.773474801061008
0.062857	2044	6158	3.012720156555773
0.065714	2082	5631	2.7046109510086453
0.068571	2137	5860	2.7421619092185305
0.071429	2396	6299	2.628964941569282
0.074286	2327	6199	2.663944993553932
0.077143	2489	7530	3.0253113700281236
0.080000	2719	8451	3.1081279882309674
0.082857	3012	9306	3.089641434262948
0.085714	3036	9757	3.213768115942029
0.088571	3423	15345	4.482909728308501
0.091429	3716	55535	14.944833153928956
0.094286	4043	52670	13.027454860252288
0.097143	4318	49693	11.508337193144975
0.100000	4422	30849	6.976255088195387
0.102857	4971	31390	6.314624823979079
0.105714	5528	51637	9.340991316931982
0.108571	6001	61072	10.176970504915847
0.111429	6162	65068	10.55955858487504
0.114286	6548	69360	10.592547342700062
0.117143	7090	75650	10.669957686882933
0.120000	8280	144775	17.48490338164251
0.122857	8971	70312	7.837699253149036
0.125714	9855	253343	25.70705225773719
0.128571	11251	983865	87.44689360945694
0.131429	10665	124150	11.640881387716831
0.134286	11242	52201	4.643390855719622
0.137143	12404	51958	4.188810061270558
0.140000	13675	73646	5.385447897623401
0.142857	14969	63920	4.2701583272095665
0.145714	16662	68950	4.138158684431641
0.148571	18297	83352	4.555500901787179
0.151429	18782	81075	4.316632946438079
0.154286	20592	93340	4.532828282828283
0.157143	21696	98426	4.536596607669616
0.160000	24593	122091	4.964461432114829
0.162857	28970	155765	5.376769071453228
0.165714	36018	211180	5.863179521350436
0.168571	41430	219185	5.290489983104031
0.171429	39399	194248	4.930277418208584
0.174286	41459	203579	4.910369280493982
0.177143	43889	196085	4.467748182915993
0.180000	47197	227600	4.822340402991715
0.182857	51096	255708	5.0044621888210425
0.185714	55457	262972	4.741908145049318
0.188571	60342	288861	4.787063736700805
0.191429	65268	322357	4.938974688974689
0.194286	71937	324797	4.515020087020588
0.197143	79817	373909	4.684578473257576
0.200000	87651	404899	4.619445300110666
0.202857	97709	430079	4.40163137479659
0.205714	106600	459379	4.30937148217636
0.208571	118467	515151	4.34847679100509
0.211429	130692	552310	4.226042910048052
0.214286	144451	548445	3.7967546088292914
0.217143	159555	610555	3.8266115132712857
0.220000	175001	669485	3.8256067108187954
0.222857	193122	753187	3.9000579944283924
0.225714	213796	812984	3.8026155774663697
0.228571	236591	867704	3.6675275052728127
0.231429	259712	942416	3.628696402168556
0.234286	287259	1051509	3.660491055110545
0.237143	313263	1138369	3.6339082496177335
0.240000	345699	1246079	3.604520117211794
0.242857	379929	1361493	3.5835458730447005
0.245714	414566	1476538	3.5616476025530313
0.248571	449866	1587720	3.5293176190243316
0.251429	491354	1723340	3.5073287283709913
0.254286	531978	1862214	3.500547015102128
0.257143	578106	2005145	3.4684729098123874
0.260000	626899	2160575	3.4464483114504887
0.262857	679873	2321488	3.4145906661979515
0.265714	739656	2513547	3.3982648690742723
0.268571	801942	2715382	3.386007965663352
0.271429	868881	2925210	3.3666405411097724
0.274286	946372	3175138	3.355063336616045
0.277143	1031587	3428537	3.32355584163042
0.280000	1131358	3717124	3.2855418002082453
0.282857	1242802	4042411	3.252658911073526
0.285714	1363768	4439858	3.2555815945234086
0.288571	1502941	4872212	3.2417852730080554
0.291429	1665365	5372598	3.226078367204787
0.294286	1840258	5936299	3.225797143661378
0.297143	2031656	6517901	3.2081715605397765
0.300000	2239155	7211329	3.2205582016430303
0.302857	2448805	7904010	3.2277008581736806
0.305714	2643350	8531158	3.227403862522935
0.308571	2821869	9155599	3.244515957331825
0.311429	2973218	9661848	3.2496264989650943
0.314286	3101962	10109691	3.2591279325794447
0.317143	3184936	10377096	3.258180384158426
0.320000	3238707	10499067	3.2417464747505718
0.322857	3261020	10548864	3.2348357262451626
0.325714	3261694	10528980	3.228071057554755
0.328571	3239622	10416812	3.2154405668315627
0.331429	3201402	10211174	3.189594433938631
0.334286	3154123	9898922	3.1384070944601716
0.337143	3101316	9578724	3.0885998073076073
0.340000	3053839	9267205	3.034608242281273
0.342857	3016589	9031138	2.9938244818899755
0.345714	2988863	8858690	2.963899650134516
0.348571	2974125	8727437	2.934455344008742
0.351429	2964565	8661297	2.921608060541766
0.354286	2964630	8609609	2.9041091131102363
0.357143	2970630	8569749	2.884825441068056
0.360000	2970818	8516694	2.8667841651693236
0.362857	2973868	8462123	2.8454938147893585
0.365714	2984978	8427737	2.82338328791703
0.368571	2997452	8434577	2.81391561899907
0.371429	3014725	8461833	2.806834122515321
0.374286	3040828	8526289	2.803936625156043
0.377143	3070301	8588313	2.797221835904688
0.380000	3095561	8652519	2.795137618027879
0.382857	3096026	8661432	2.797596661009953
0.385714	3085800	8639360	2.7997148227364055
0.388571	3056559	8538384	2.7934628449835257
0.391429	3011988	8373687	2.780119641910924
0.394286	2960034	8154543	2.754881531766189
0.397143	2901581	7923766	2.7308443224573087
0.400000	2836564	7681368	2.707983320665425
0.402857	2775922	7494240	2.699730035642212
0.405714	2714088	7275067	2.6804830941369624
0.408571	2665076	7114164	2.669403799366322
0.411429	2617017	6955569	2.65782339205286
0.414286	2572755	6817257	2.649788650687687
0.417143	2534743	6694749	2.6411943932777406
