GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	523	749	1.4321223709369024
0.002857	313	568	1.8146964856230032
0.005714	219	1321	6.031963470319635
0.008571	314	510	1.624203821656051
0.011429	172	4973	28.912790697674417
0.014286	67	707	10.552238805970148
0.017143	81	422	5.209876543209877
0.020000	246	936	3.8048780487804876
0.022857	313	1154	3.686900958466454
0.025714	369	1619	4.387533875338754
0.028571	289	1759	6.086505190311419
0.031429	415	1905	4.590361445783133
0.034286	558	2496	4.473118279569892
0.037143	660	2757	4.177272727272728
0.040000	541	2885	5.33271719038817
0.042857	605	3170	5.239669421487603
0.045714	754	4145	5.497347480106101
0.048571	749	5060	6.7556742323097465
0.051429	897	6802	7.5830546265328875
0.054286	864	5330	6.168981481481482
0.057143	1053	6667	6.331433998100665
0.060000	1289	8502	6.595810705973623
0.062857	1252	7514	6.001597444089457
0.065714	1176	9978	8.48469387755102
0.068571	1310	8370	6.3893129770992365
0.071429	1612	16573	10.281017369727047
0.074286	1863	19871	10.666129898013956
0.077143	2000	17481	8.7405
0.080000	2130	18508	8.689201877934272
0.082857	2337	18147	7.7650834403080875
0.085714	2204	15181	6.887931034482759
0.088571	2588	46540	17.982998454404946
0.091429	2792	26978	9.662607449856733
0.094286	2837	19193	6.765244977088474
0.097143	3112	22658	7.280848329048843
0.100000	3359	23308	6.93896993152724
0.102857	3692	26705	7.233206933911159
0.105714	4193	38028	9.06940138325781
0.108571	4506	40964	9.090989791389259
0.111429	4632	35070	7.571243523316062
0.114286	5098	74889	14.689878383679874
0.117143	5494	117393	21.367491809246452
0.120000	5686	81106	14.264157580021104
0.122857	5865	62848	10.715771526001705
0.125714	6483	75275	11.611136819373746
0.128571	7644	104182	13.629251700680273
0.131429	8641	117852	13.63869922462678
0.134286	9093	182856	20.10953480699439
0.137143	9813	121459	12.3773565678182
0.140000	10166	103825	10.212964784576037
0.142857	11663	106939	9.16908171139501
0.145714	12339	129178	10.469081773239322
0.148571	12899	189284	14.674315838437089
0.151429	14486	209394	14.454921993649041
0.154286	15217	212010	13.932443977130841
0.157143	16746	1041475	62.19246387196942
0.160000	18906	678259	35.87533058288374
0.162857	21179	212572	10.036923367486661
0.165714	24545	333754	13.597636993277654
0.168571	29384	268763	9.146576368091479
0.171429	32374	360510	11.135787978007043
0.174286	34309	300370	8.754845667317614
0.177143	37001	334385	9.037188184103133
0.180000	38551	351809	9.125807372052606
0.182857	41541	724354	17.437086252136442
0.185714	44435	626467	14.098503431979296
0.188571	48826	454758	9.313849178716257
0.191429	53444	420053	7.859684903824564
0.194286	59326	554206	9.341705154569667
0.197143	64875	490234	7.55659344894027
0.200000	71049	552179	7.77180537375614
0.202857	78865	606119	7.685525898687631
0.205714	85402	588097	6.886220463221002
0.208571	91872	633885	6.899653866248694
0.211429	101391	678617	6.6930694045822605
0.214286	108785	753519	6.926681068161971
0.217143	120556	843775	6.99902949666545
0.220000	132094	886586	6.711781004436235
0.222857	146683	1032513	7.039077466373063
0.225714	161281	1109902	6.88179016747168
0.228571	177970	1290351	7.250384896330842
0.231429	196076	1386298	7.070207470572635
0.234286	215612	1486639	6.894973378105115
0.237143	233994	1584088	6.769780421720215
0.240000	257206	1699999	6.609484226651011
0.242857	280293	1817688	6.484956813049202
0.245714	308586	1998809	6.4773158860090865
0.248571	335630	2202844	6.563310788666091
0.251429	364435	2351702	6.453008081002099
0.254286	394196	2520910	6.395067428385879
0.257143	429008	2714110	6.326478760302838
0.260000	463578	2916466	6.291208814913563
0.262857	503051	3095609	6.153668315936158
0.265714	543198	3363369	6.191791943269305
0.268571	585381	3592820	6.137575356904307
0.271429	633660	3835173	6.052414544077266
0.274286	686463	4115115	5.994663951298176
0.277143	749090	4475125	5.974081886021707
0.280000	820652	4844287	5.902973489371865
0.282857	900871	5271941	5.852048739497664
0.285714	990735	5745762	5.799494314826871
0.288571	1097673	6347458	5.78264929537303
0.291429	1215925	6930699	5.699939552192775
0.294286	1345684	7669384	5.699245885363874
0.297143	1491092	8512507	5.708907968120009
0.300000	1643292	9309373	5.665075348751166
0.302857	1798155	10183320	5.6632047849045275
0.305714	1950424	10993232	5.636329331468439
0.308571	2083281	11715000	5.62334125833241
0.311429	2203449	12380130	5.618523505649552
0.314286	2308804	12947241	5.607769650433731
0.317143	2379810	13296344	5.587145192263248
0.320000	2422059	13432488	5.545896280809014
0.322857	2443228	13512063	5.530414271611163
0.325714	2443437	13337191	5.458373184984921
0.328571	2421104	13153997	5.433057398608239
0.331429	2387181	12832949	5.375775443923188
0.334286	2348943	12496258	5.319949441089035
0.337143	2307585	12190189	5.282660877064117
0.340000	2268403	11827302	5.213933326661973
0.342857	2242330	11578036	5.16339521836661
0.345714	2216598	11378673	5.133394959302499
0.348571	2208857	11241502	5.0892846390689845
0.351429	2207194	11147991	5.050752675116007
0.354286	2210945	11116381	5.027886718122794
0.357143	2223026	11103772	4.994890748016442
0.360000	2234977	11105038	4.968748224254656
0.362857	2249738	11097454	4.932776172158714
0.365714	2265449	11102730	4.900896025467799
0.368571	2282592	11137350	4.879255688270177
0.371429	2296714	11160845	4.8594840280505105
0.374286	2313722	11185984	4.834627496302494
0.377143	2329925	11208877	4.810831679131303
0.380000	2336133	11204453	4.796153729261134
0.382857	2331587	11150813	4.782499216199096
0.385714	2313971	11046810	4.77396216287931
0.388571	2285948	10878605	4.758903089659082
0.391429	2249444	10668456	4.742707975837585
0.394286	2213218	10347942	4.675518633952914
0.397143	2167406	10013995	4.620267268799662
0.400000	2120076	9727398	4.588230799273234
0.402857	2074535	9429626	4.5454166837387655
0.405714	2030940	9185450	4.522757934749427
0.408571	1997014	8984300	4.49886680814456
0.411429	1960691	8795496	4.485916444763606
0.414286	1925091	8595016	4.46473231655023
0.417143	1900818	8464191	4.4529202690631084
0.420000	1877053	8303796	4.423847382039825
0.422857	1853987	8137697	4.389295609947642
0.425714	1832065	7985068	4.358506930703878
0.428571	1812560	7871745	4.3428879595709935
0.431429	1787859	7758193	4.3393763154700675
0.434286	1764869	7585454	4.298026652403096
0.437143	1736213	7436173	4.282984288218093
0.440000	1721284	7310959	4.247386834479377
0.442857	1700052	7167415	4.21599751066438
0.445714	1680824	7038628	4.187605602966165
0.448571	1659034	6905980	4.162651277791775
0.451429	1636730	6783664	4.144644504591472
0.454286	1613493	6684270	4.142732568409036
0.457143	1589064	6544783	4.1186402813228415
0.460000	1562908	6374913	4.078879243052055
0.462857	1537459	6217800	4.044205406453115
0.465714	1513196	6074803	4.014551320516311
0.468571	1485756	5931554	3.9922800244454675
0.471429	1452722	5762526	3.966709391060368
0.474286	1426990	5628974	3.9446485259181916
0.477143	1401210	5498238	3.9239214678741945
0.480000	1371759	5356139	3.9045772617493304
0.482857	1340899	5215607	3.8896344914866816
0.485714	1312497	5075311	3.8669124577046654
0.488571	1279311	4922695	3.8479267355631275
0.491429	1245824	4761071	3.821624081732251
0.494286	1217251	4625342	3.79982600137523
0.497143	1181843	4474960	3.786425100457506
0.500000	1150695	4327622	3.760876687567079
0.502857	1120153	4184384	3.7355468404762564
0.505714	1087251	4037140	3.7131628299261163
0.508571	1054051	3907489	3.7071156898480244
0.511429	1016420	3755034	3.694372405108125
0.514286	984714	3621544	3.6777622741222324
0.517143	948099	3467678	3.6575062308893904
0.520000	913973	3320314	3.632835980931603
0.522857	883562	3191296	3.6118529316561827
0.525714	849882	3046787	3.5849529699417095
0.528571	815382	2902405	3.5595647193585336
0.531429	787274	2783969	3.5362135673221777
0.534286	756808	2659372	3.5139321994482087
0.537143	726291	2537513	3.4937965636363386
0.540000	698430	2417913	3.461926034105064
0.542857	669510	2304124	3.4415079685142866
0.545714	642480	2189849	3.408431390860416
0.548571	614995	2077057	3.377355913462711
0.551429	592349	1978801	3.3405998828393395
0.554286	569933	1882090	3.3023004458418797
0.557143	548601	1794752	3.271506978660265
0.560000	528367	1710654	3.2376246056244997
0.562857	508553	1619704	3.1849266448138147
0.565714	487499	1530716	3.139936697306046
0.568571	470791	1458129	3.0971896234210083
0.571429	454181	1386513	3.0527763160502093
0.574286	436283	1300699	2.981319464659407
0.577143	420161	1228326	2.923465052682186
0.580000	403320	1162879	2.883266388971536
0.582857	388238	1100635	2.8349491806572256
0.585714	372407	1038799	2.7894185662460695
0.588571	357109	981550	2.748600567333783
0.591429	341203	915083	2.681931284308755
0.594286	326499	859073	2.631165792238261
0.597143	316623	821290	2.5939050542759055
0.600000	303814	778588	2.5627127123832345
0.602857	290228	725258	2.498924983116722
0.605714	278149	690140	2.4811881401694773
0.608571	268366	665573	2.480094348762511
0.611429	258069	642749	2.490609100666876
0.614286	246810	606199	2.456136299177505
0.617143	236791	582376	2.459451583886212
0.620000	226329	554239	2.4488200805022777
0.622857	214461	528884	2.4661080569427543
0.625714	202672	509548	2.5141509433962264
0.628571	191606	482101	2.5161059674540462
0.631429	181996	459318	2.5237807424338996
0.634286	172968	441818	2.5543337495953007
0.637143	163974	417614	2.5468305950943444
0.640000	155007	388085	2.5036611249814524
0.642857	144607	352703	2.4390451361275733
0.645714	130041	308713	2.3739666720495842
0.648571	117040	277921	2.3745813397129187
0.651429	106908	254112	2.3769222134919743
0.654286	97120	231624	2.3849258649093903
0.657143	86825	206953	2.3835646415202993
0.660000	79036	188994	2.391239435194089
0.662857	70668	172543	2.4416001584875757
0.665714	63058	157448	2.4968758920359035
0.668571	54058	134346	2.485219578970735
0.671429	46856	115660	2.4684138637527746
0.674286	40696	101655	2.497911342638097
0.677143	34212	84731	2.476645621419385
0.680000	28180	69796	2.476792051100071
0.682857	23290	56681	2.4337054529841136
0.685714	19300	47256	2.448497409326425
0.688571	15768	37768	2.395230847285642
0.691429	12409	29987	2.4165525022161334
0.694286	9898	24054	2.430187916750859
0.697143	7960	19289	2.4232412060301507
0.700000	6535	15650	2.394797245600612
0.702857	5716	13495	2.360916724982505
0.705714	4335	10289	2.3734717416378315
0.708571	3731	9475	2.5395336370946127
0.711429	3059	7930	2.592350441320693
0.714286	2218	5569	2.510820559062218
0.717143	1994	4958	2.4864593781344033
0.720000	1743	4107	2.3562822719449223
0.722857	1422	3847	2.7053445850914204
0.725714	1082	2817	2.6035120147874307
0.728571	755	2031	2.690066225165563
0.731429	611	1440	2.3567921440261865
0.734286	385	854	2.2181818181818183
0.737143	283	526	1.8586572438162545
0.740000	205	283	1.3804878048780487
0.742857	197	244	1.2385786802030456
0.745714	185	197	1.0648648648648649
0.748571	217	216	0.9953917050691244
0.751429	147	86	0.5850340136054422
0.754286	113	42	0.37168141592920356
0.757143	66	67	1.0151515151515151
0.760000	42	68	1.619047619047619
0.762857	30	44	1.4666666666666666
0.765714	35	35	1.0
0.768571	14	14	1.0
0.771429	15	24	1.6
0.774286	9	6	0.6666666666666666
0.777143	13	18	1.3846153846153846
0.780000	18	8	0.4444444444444444
0.782857	14	0	0.0
0.785714	12	0	0.0
0.788571	15	0	0.0
0.791429	14	0	0.0
0.794286	6	0	0.0
0.797143	18	0	0.0
0.800000	21	0	0.0
0.802857	20	0	0.0
0.805714	19	0	0.0
0.808571	5	0	0.0
0.811429	6	0	0.0
0.814286	30	0	0.0
0.817143	176	0	0.0
0.820000	119	0	0.0
0.822857	78	0	0.0
0.825714	150	0	0.0
0.828571	117	0	0.0
0.831429	172	0	0.0
0.834286	153	0	0.0
0.837143	24	0	0.0
