GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	523	794	1.5181644359464628
0.002857	313	1368	4.3706070287539935
0.005714	219	910	4.155251141552512
0.008571	314	619	1.9713375796178343
0.011429	172	3158	18.36046511627907
0.014286	67	521	7.776119402985074
0.017143	81	408	5.037037037037037
0.020000	246	933	3.792682926829268
0.022857	313	1588	5.073482428115016
0.025714	369	1898	5.143631436314363
0.028571	289	1618	5.598615916955017
0.031429	415	1676	4.03855421686747
0.034286	558	2314	4.146953405017921
0.037143	660	2492	3.775757575757576
0.040000	541	2536	4.687615526802218
0.042857	605	2761	4.5636363636363635
0.045714	754	3081	4.086206896551724
0.048571	749	3691	4.9279038718291055
0.051429	897	5210	5.808249721293199
0.054286	864	4498	5.206018518518518
0.057143	1053	5931	5.632478632478633
0.060000	1289	7210	5.593483320403413
0.062857	1252	6815	5.443290734824281
0.065714	1176	8380	7.125850340136054
0.068571	1310	8202	6.261068702290077
0.071429	1612	13253	8.221464019851117
0.074286	1863	16247	8.720880300590446
0.077143	2000	14922	7.461
0.080000	2130	15185	7.129107981220657
0.082857	2337	15070	6.4484381685922125
0.085714	2204	12742	5.781306715063521
0.088571	2588	37839	14.620942812982998
0.091429	2792	24385	8.73388252148997
0.094286	2837	18376	6.477264716249559
0.097143	3112	21987	7.065231362467866
0.100000	3359	22510	6.701399225960107
0.102857	3692	26907	7.287919826652221
0.105714	4193	36142	8.619604102074886
0.108571	4506	36982	8.20727918331114
0.111429	4632	33731	7.282167530224525
0.114286	5098	72547	14.230482542173402
0.117143	5494	113753	20.704950855478703
0.120000	5686	74173	13.044846992613436
0.122857	5865	58771	10.020630861040068
0.125714	6483	72643	11.205151935832177
0.128571	7644	102212	13.371533228676086
0.131429	8641	117272	13.57157736373105
0.134286	9093	187247	20.592433740239745
0.137143	9813	112993	11.514623458677265
0.140000	10166	99529	9.790379697029314
0.142857	11663	105738	9.066106490611334
0.145714	12339	128689	10.429451333171246
0.148571	12899	178616	13.847274982556787
0.151429	14486	198983	13.736228082286345
0.154286	15217	205427	13.499835710061117
0.157143	16746	1117617	66.73934073808671
0.160000	18906	718949	38.027557389188615
0.162857	21179	212131	10.016100854620143
0.165714	24545	345374	14.071053167651252
0.168571	29384	256211	8.7194051184318
0.171429	32374	347281	10.727157595601408
0.174286	34309	293824	8.564050249205748
0.177143	37001	332313	8.981189697575742
0.180000	38551	350891	9.101994760187804
0.182857	41541	754593	18.165017693363183
0.185714	44435	639519	14.39223585011815
0.188571	48826	455830	9.335804694220293
0.191429	53444	415097	7.76695232392785
0.194286	59326	567235	9.561322185888143
0.197143	64875	499905	7.705664739884393
0.200000	71049	568516	8.001745274388098
0.202857	78865	627448	7.955975401001711
0.205714	85402	610145	7.1443877192571605
0.208571	91872	651183	7.087937565308255
0.211429	101391	699272	6.896785710763282
0.214286	108785	772303	7.099351932711311
0.217143	120556	867493	7.195767941869339
0.220000	132094	916176	6.9357881508622645
0.222857	146683	1055467	7.1955645848530505
0.225714	161281	1135347	7.039558286468958
0.228571	177970	1303070	7.3218519975276735
0.231429	196076	1410036	7.19127277178237
0.234286	215612	1529536	7.0939279817449865
0.237143	233994	1630146	6.966614528577656
0.240000	257206	1755882	6.826753652714167
0.242857	280293	1879557	6.705686549432201
0.245714	308586	2069743	6.707183734842151
0.248571	335630	2270481	6.764833298572833
0.251429	364435	2427236	6.660271378983906
0.254286	394196	2620372	6.647383535094217
0.257143	429008	2828354	6.592776824674599
0.260000	463578	3049898	6.579039557528614
0.262857	503051	3260043	6.480541734337075
0.265714	543198	3538210	6.513665366956432
0.268571	585381	3780823	6.458738838465888
0.271429	633660	4051109	6.393190354448758
0.274286	686463	4377569	6.376991913620982
0.277143	749090	4758301	6.352108558384173
0.280000	820652	5172055	6.302372991231362
0.282857	900871	5636954	6.25722661735143
0.285714	990735	6139908	6.197326227497767
0.288571	1097673	6795100	6.190459271568127
0.291429	1215925	7439577	6.118450562329091
0.294286	1345684	8240721	6.123815843838524
0.297143	1491092	9168569	6.148895574518541
0.300000	1643292	10054523	6.1185248878470775
0.302857	1798155	10999266	6.116973230895001
0.305714	1950424	11890517	6.096375454772911
0.308571	2083281	12661354	6.077602589377046
0.311429	2203449	13382960	6.07364182243383
0.314286	2308804	14004300	6.065607994442144
0.317143	2379810	14393414	6.048135775545107
0.320000	2422059	14571825	6.016296465115012
0.322857	2443228	14667617	6.003376271064346
0.325714	2443437	14481186	5.926564098030766
0.328571	2421104	14296123	5.904795085217322
0.331429	2387181	13914448	5.828819850694187
0.334286	2348943	13512459	5.7525699857340085
0.337143	2307585	13144205	5.696087034713781
0.340000	2268403	12740688	5.61658929211432
0.342857	2242330	12472478	5.562284766292205
0.345714	2216598	12214411	5.5104313005786345
0.348571	2208857	12045893	5.453450811890494
0.351429	2207194	11935055	5.407342988427841
0.354286	2210945	11885640	5.375818937151308
0.357143	2223026	11847519	5.329455885806104
0.360000	2234977	11851274	5.302638013724526
0.362857	2249738	11830241	5.258497211675315
0.365714	2265449	11835170	5.224205003070032
0.368571	2282592	11892857	5.210242128247185
0.371429	2296714	11923527	5.191559332158902
0.374286	2313722	11945469	5.162879982988449
0.377143	2329925	11967854	5.136583366417374
0.380000	2336133	11946576	5.113825283063935
0.382857	2331587	11889762	5.099428843959072
0.385714	2313971	11750317	5.077988012814335
0.388571	2285948	11578418	5.065039974662591
0.391429	2249444	11344813	5.043385387678022
0.394286	2213218	11050794	4.993088796494516
0.397143	2167406	10766058	4.967254865954971
0.400000	2120076	10495669	4.950609789460378
0.402857	2074535	10198337	4.915962854326391
0.405714	2030940	9940484	4.894523718081283
0.408571	1997014	9731655	4.873103042842964
0.411429	1960691	9527719	4.859367947320613
0.414286	1925091	9319942	4.841299450259754
0.417143	1900818	9180228	4.82961966900566
0.420000	1877053	9004620	4.797211373360262
0.422857	1853987	8844208	4.770372176288183
0.425714	1832065	8678050	4.736758794038421
0.428571	1812560	8574514	4.730609745332568
0.431429	1787859	8446215	4.724206439098385
0.434286	1764869	8273954	4.688140592871199
0.437143	1736213	8119406	4.676503401368381
0.440000	1721284	7991913	4.642994996758234
0.442857	1700052	7831754	4.60677320458433
0.445714	1680824	7691333	4.575930020037791
0.448571	1659034	7566150	4.56057561207305
0.451429	1636730	7427631	4.538091805001436
0.454286	1613493	7311440	4.531435835172511
0.457143	1589064	7171664	4.5131372934003915
0.460000	1562908	6986500	4.470192743270877
0.462857	1537459	6825550	4.439500500501151
0.465714	1513196	6679845	4.414395094885263
0.468571	1485756	6545318	4.4053788105180125
0.471429	1452722	6374177	4.387747277180355
0.474286	1426990	6226531	4.3634019859985
0.477143	1401210	6090512	4.34660900221951
0.480000	1371759	5935478	4.326910193408609
0.482857	1340899	5769324	4.302579090595191
0.485714	1312497	5615650	4.278600255848204
0.488571	1279311	5441470	4.25343798341451
0.491429	1245824	5272362	4.232027959005445
0.494286	1217251	5126917	4.211881526488785
0.497143	1181843	4956301	4.193705086039347
0.500000	1150695	4791617	4.164106909302639
0.502857	1120153	4631716	4.134895857976544
0.505714	1087251	4464936	4.10662855219264
0.508571	1054051	4315602	4.094300939897595
0.511429	1016420	4153594	4.086493772259499
0.514286	984714	4006335	4.0685264960181335
0.517143	948099	3844850	4.055325445971359
0.520000	913973	3687430	4.034506489797839
0.522857	883562	3543823	4.010836817337097
0.525714	849882	3392147	3.9913152649426626
0.528571	815382	3229981	3.9613101589193778
0.531429	787274	3088051	3.9224602870157024
0.534286	756808	2957832	3.908299066606061
0.537143	726291	2819879	3.8825746154089753
0.540000	698430	2686578	3.8465959366006617
0.542857	669510	2554173	3.8149885737330287
0.545714	642480	2428567	3.7799884821317393
0.548571	614995	2301303	3.7419865202156113
0.551429	592349	2194623	3.704949278212675
0.554286	569933	2085749	3.659638940015756
0.557143	548601	1992434	3.6318453666690362
0.560000	528367	1899600	3.5952283166813976
0.562857	508553	1805197	3.5496732887231026
0.565714	487499	1702895	3.4931251141027984
0.568571	470791	1612724	3.425562510753179
0.571429	454181	1531460	3.371915601929627
0.574286	436283	1439472	3.2993997015698526
0.577143	420161	1360193	3.237313791617975
0.580000	403320	1288211	3.1940171575919867
0.582857	388238	1221141	3.145341259742735
0.585714	372407	1152251	3.0940637528295656
0.588571	357109	1089075	3.049699111475768
0.591429	341203	1022056	2.9954484573699527
0.594286	326499	958052	2.9343183286931964
0.597143	316623	914341	2.8877908427372616
0.600000	303814	869873	2.8631761538309624
0.602857	290228	816522	2.8133812037432637
0.605714	278149	779844	2.803691546617101
0.608571	268366	747801	2.786496799147433
0.611429	258069	723618	2.803971031003336
0.614286	246810	683922	2.7710465540294154
0.617143	236791	652996	2.7576892702847657
0.620000	226329	620402	2.7411511560604254
0.622857	214461	588964	2.746252232340612
0.625714	202672	567337	2.79928653193337
0.628571	191606	537967	2.807673037378788
0.631429	181996	515200	2.8308314468449858
0.634286	172968	490775	2.837374543268119
0.637143	163974	463703	2.8279056435776404
0.640000	155007	431534	2.783964595147316
0.642857	144607	391702	2.708734708554911
0.645714	130041	343319	2.6400827431348572
0.648571	117040	304984	2.60580997949419
0.651429	106908	279277	2.61231152018558
0.654286	97120	256365	2.6396725700164745
0.657143	86825	228837	2.635611862942701
0.660000	79036	206775	2.6162128650235337
0.662857	70668	190560	2.696552895228392
0.665714	63058	176926	2.805766120079926
0.668571	54058	151255	2.7980132450331126
0.671429	46856	129723	2.7685461840532697
0.674286	40696	113885	2.798432278356595
0.677143	34212	94793	2.7707529521805214
0.680000	28180	78405	2.782292405961675
0.682857	23290	63351	2.720094461142121
0.685714	19300	53474	2.7706735751295337
0.688571	15768	43827	2.779490106544901
0.691429	12409	34709	2.7970827625110806
0.694286	9898	28170	2.8460295009092746
0.697143	7960	23018	2.891708542713568
0.700000	6535	18649	2.8537107880642694
0.702857	5716	15363	2.6877186843946816
0.705714	4335	11821	2.726874279123414
0.708571	3731	10098	2.706512999195926
0.711429	3059	8675	2.835894083033671
0.714286	2218	6013	2.711000901713255
0.717143	1994	4862	2.4383149448345036
0.720000	1743	4023	2.3080895008605853
0.722857	1422	3868	2.720112517580872
0.725714	1082	3068	2.8354898336414047
0.728571	755	2078	2.752317880794702
0.731429	611	1546	2.530278232405892
0.734286	385	951	2.47012987012987
0.737143	283	599	2.11660777385159
0.740000	205	366	1.7853658536585366
0.742857	197	264	1.3401015228426396
0.745714	185	282	1.5243243243243243
0.748571	217	329	1.5161290322580645
0.751429	147	124	0.8435374149659864
0.754286	113	45	0.39823008849557523
0.757143	66	73	1.106060606060606
0.760000	42	40	0.9523809523809523
0.762857	30	12	0.4
0.765714	35	45	1.2857142857142858
0.768571	14	22	1.5714285714285714
0.771429	15	40	2.6666666666666665
0.774286	9	8	0.8888888888888888
0.777143	13	25	1.9230769230769231
0.780000	18	9	0.5
0.782857	14	0	0.0
0.785714	12	0	0.0
0.788571	15	0	0.0
0.791429	14	0	0.0
0.794286	6	0	0.0
0.797143	18	0	0.0
0.800000	21	0	0.0
0.802857	20	0	0.0
0.805714	19	0	0.0
0.808571	5	0	0.0
0.811429	6	0	0.0
0.814286	30	0	0.0
0.817143	176	0	0.0
0.820000	119	0	0.0
0.822857	78	0	0.0
0.825714	150	0	0.0
0.828571	117	0	0.0
0.831429	172	0	0.0
0.834286	153	0	0.0
0.837143	24	0	0.0
