GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	523	658	1.2581261950286806
0.002857	313	1366	4.364217252396166
0.005714	219	1264	5.771689497716895
0.008571	314	828	2.6369426751592355
0.011429	172	4963	28.8546511627907
0.014286	67	729	10.880597014925373
0.017143	81	466	5.753086419753086
0.020000	246	986	4.008130081300813
0.022857	313	1388	4.434504792332269
0.025714	369	1491	4.040650406504065
0.028571	289	1610	5.570934256055363
0.031429	415	1991	4.797590361445783
0.034286	558	3070	5.50179211469534
0.037143	660	3020	4.575757575757576
0.040000	541	2924	5.404805914972274
0.042857	605	3088	5.104132231404959
0.045714	754	3609	4.786472148541114
0.048571	749	4458	5.951935914552737
0.051429	897	6013	6.70345596432553
0.054286	864	5476	6.337962962962963
0.057143	1053	6972	6.621082621082621
0.060000	1289	8659	6.717610550814585
0.062857	1252	8338	6.659744408945687
0.065714	1176	9883	8.40391156462585
0.068571	1310	9144	6.980152671755725
0.071429	1612	16108	9.99255583126551
0.074286	1863	21727	11.66237251744498
0.077143	2000	19569	9.7845
0.080000	2130	18545	8.706572769953052
0.082857	2337	19011	8.134788189987162
0.085714	2204	15393	6.984119782214156
0.088571	2588	48903	18.896058732612055
0.091429	2792	29396	10.52865329512894
0.094286	2837	21168	7.461402890377159
0.097143	3112	25451	8.178341902313624
0.100000	3359	26289	7.826436439416493
0.102857	3692	31986	8.663596966413868
0.105714	4193	43357	10.340329119961842
0.108571	4506	47377	10.514203284509543
0.111429	4632	43870	9.471070811744386
0.114286	5098	83394	16.358179678305216
0.117143	5494	128294	23.35165635238442
0.120000	5686	87636	15.412592332043616
0.122857	5865	67758	11.552941176470588
0.125714	6483	86277	13.308190652475705
0.128571	7644	119393	15.619178440607012
0.131429	8641	135578	15.690082166415925
0.134286	9093	217256	23.89266468712196
0.137143	9813	139798	14.246204015082034
0.140000	10166	121396	11.941373204800314
0.142857	11663	123597	10.597359170024864
0.145714	12339	149335	12.102682551260232
0.148571	12899	211871	16.42538181254361
0.151429	14486	239166	16.51014772884164
0.154286	15217	250270	16.44673720181376
0.157143	16746	1265646	75.5790039412397
0.160000	18906	822535	43.50655876441341
0.162857	21179	246361	11.632324472354691
0.165714	24545	391140	15.93562843756366
0.168571	29384	295190	10.045943370541792
0.171429	32374	394674	12.19107926113548
0.174286	34309	344073	10.028651374274972
0.177143	37001	382253	10.330882949109483
0.180000	38551	416958	10.815750564187699
0.182857	41541	860575	20.716280301388988
0.185714	44435	740174	16.657454709125687
0.188571	48826	526496	10.783107360832343
0.191429	53444	477128	8.927625177756155
0.194286	59326	642491	10.829838519367563
0.197143	64875	568391	8.761325626204238
0.200000	71049	629722	8.863207082436066
0.202857	78865	686911	8.709960058327521
0.205714	85402	668004	7.821877707782019
0.208571	91872	723349	7.8734434865900385
0.211429	101391	783553	7.7280330601335425
0.214286	108785	882172	8.109316541802638
0.217143	120556	997786	8.27653538604466
0.220000	132094	1046649	7.923516586673126
0.222857	146683	1217959	8.303341218818813
0.225714	161281	1306765	8.10241131937426
0.228571	177970	1531633	8.606130246670787
0.231429	196076	1642169	8.375165752055326
0.234286	215612	1762074	8.172430105931024
0.237143	233994	1887169	8.065031582006377
0.240000	257206	2013837	7.829665715418769
0.242857	280293	2154562	7.686820577039027
0.245714	308586	2366145	7.6677004141471095
0.248571	335630	2594807	7.731153353395108
0.251429	364435	2762535	7.5803229656866105
0.254286	394196	2978432	7.5557134014551135
0.257143	429008	3200956	7.461296759034797
0.260000	463578	3453903	7.450532596456259
0.262857	503051	3671708	7.29887824494932
0.265714	543198	4001086	7.365796634008225
0.268571	585381	4270596	7.29541273119558
0.271429	633660	4553030	7.185288640595903
0.274286	686463	4889431	7.122643172319557
0.277143	749090	5311154	7.090141371530791
0.280000	820652	5769196	7.030015158678709
0.282857	900871	6283996	6.975467075752245
0.285714	990735	6848363	6.912406445719592
0.288571	1097673	7573267	6.8993835140337785
0.291429	1215925	8260269	6.793403376030594
0.294286	1345684	9140483	6.7924438426852065
0.297143	1491092	10175840	6.824421296606782
0.300000	1643292	11137870	6.777778994846929
0.302857	1798155	12190107	6.779230377803915
0.305714	1950424	13189297	6.762271690668285
0.308571	2083281	14036284	6.737585568149472
0.311429	2203449	14825665	6.728390355302074
0.314286	2308804	15510726	6.7180782777576615
0.317143	2379810	15950917	6.702601047982822
0.320000	2422059	16152063	6.668732264573241
0.322857	2443228	16235407	6.645064234692792
0.325714	2443437	16045576	6.56680569214594
0.328571	2421104	15834732	6.540294014631342
0.331429	2387181	15454267	6.473856402174783
0.334286	2348943	15016824	6.393013368140479
0.337143	2307585	14629504	6.339746531547051
0.340000	2268403	14193033	6.256839282966915
0.342857	2242330	13894548	6.196477770890101
0.345714	2216598	13636813	6.152136291740767
0.348571	2208857	13487571	6.106131361151944
0.351429	2207194	13392787	6.067788785217792
0.354286	2210945	13337622	6.032543550382303
0.357143	2223026	13304934	5.985055505423689
0.360000	2234977	13329611	5.964093142792969
0.362857	2249738	13297841	5.910839840016926
0.365714	2265449	13324059	5.881420857410606
0.368571	2282592	13386566	5.864633714654218
0.371429	2296714	13425569	5.845555432674682
0.374286	2313722	13447789	5.8121887590644
0.377143	2329925	13459047	5.776600963550329
0.380000	2336133	13448757	5.7568456076773025
0.382857	2331587	13387450	5.741775880548313
0.385714	2313971	13234611	5.719436846874918
0.388571	2285948	13052398	5.709840293829956
0.391429	2249444	12774341	5.678888205263167
0.394286	2213218	12411972	5.608110904574245
0.397143	2167406	12047653	5.558558479583429
0.400000	2120076	11745269	5.540022621830538
0.402857	2074535	11396401	5.493472513117397
0.405714	2030940	11104904	5.467864141727476
0.408571	1997014	10875667	5.445964324736832
0.411429	1960691	10642068	5.42771298486095
0.414286	1925091	10395865	5.400194068747919
0.417143	1900818	10237090	5.385623452639863
0.420000	1877053	10045597	5.351791878013034
0.422857	1853987	9858118	5.317253033597323
0.425714	1832065	9676671	5.2818382535554145
0.428571	1812560	9556672	5.2724720836827474
0.431429	1787859	9406859	5.261521741927076
0.434286	1764869	9215288	5.221513891399305
0.437143	1736213	9053936	5.214761092101027
0.440000	1721284	8904658	5.17326484182738
0.442857	1700052	8750584	5.14724490780282
0.445714	1680824	8594795	5.113441383511897
0.448571	1659034	8427612	5.079830793100081
0.451429	1636730	8278606	5.0580156776010705
0.454286	1613493	8143502	5.047125708013608
0.457143	1589064	7998972	5.033763271963873
0.460000	1562908	7788589	4.983395695715934
0.462857	1537459	7609258	4.949242874118919
0.465714	1513196	7432819	4.912000163891525
0.468571	1485756	7268866	4.892368598881647
0.471429	1452722	7060034	4.859865824293981
0.474286	1426990	6893407	4.830732520900637
0.477143	1401210	6735261	4.806746312115957
0.480000	1371759	6559300	4.781670832850377
0.482857	1340899	6380034	4.758027263798392
0.485714	1312497	6221925	4.740525121200277
0.488571	1279311	6041756	4.722663996479355
0.491429	1245824	5853991	4.698890854566937
0.494286	1217251	5684148	4.669659749714726
0.497143	1181843	5489803	4.645120375549037
0.500000	1150695	5318444	4.621940653257379
0.502857	1120153	5153044	4.600303708511248
0.505714	1087251	4968430	4.569717572115363
0.508571	1054051	4798004	4.551965701849341
0.511429	1016420	4605931	4.53152338600185
0.514286	984714	4434725	4.5035665177909525
0.517143	948099	4250324	4.482995974049124
0.520000	913973	4077922	4.4617532465401055
0.522857	883562	3919193	4.435674010425981
0.525714	849882	3751277	4.4138798091970415
0.528571	815382	3577555	4.387581526204896
0.531429	787274	3428142	4.354445847316182
0.534286	756808	3266075	4.315592594158624
0.537143	726291	3105114	4.275302874467672
0.540000	698430	2960320	4.238534999928411
0.542857	669510	2826353	4.2215246971665845
0.545714	642480	2686225	4.181025090275184
0.548571	614995	2535730	4.123171733103521
0.551429	592349	2413953	4.075220857973931
0.554286	569933	2293296	4.02379928868832
0.557143	548601	2188189	3.988671183610675
0.560000	528367	2086847	3.9496164597713332
0.562857	508553	1984129	3.901518622444465
0.565714	487499	1866917	3.82958118888449
0.568571	470791	1780554	3.7820476602144053
0.571429	454181	1691540	3.7243742032361546
0.574286	436283	1585914	3.6350579784222625
0.577143	420161	1493274	3.554051899152944
0.580000	403320	1411366	3.499370227114946
0.582857	388238	1337268	3.444454175016356
0.585714	372407	1258135	3.3783870872459434
0.588571	357109	1186695	3.3230610261852824
0.591429	341203	1109790	3.252579842498454
0.594286	326499	1040398	3.186527370681074
0.597143	316623	994472	3.1408710043174373
0.600000	303814	954009	3.1401087507488135
0.602857	290228	890875	3.0695694419559794
0.605714	278149	840789	3.022800729105623
0.608571	268366	804726	2.998613833346996
0.611429	258069	780686	3.025105688788657
0.614286	246810	738189	2.9909201409991493
0.617143	236791	710138	2.999007563632064
0.620000	226329	676691	2.989855475878036
0.622857	214461	642959	2.9980229505597755
0.625714	202672	617777	3.0481615615378543
0.628571	191606	587833	3.067925847833575
0.631429	181996	565362	3.106452889074485
0.634286	172968	538569	3.113691549882059
0.637143	163974	511856	3.1215680534718917
0.640000	155007	479486	3.09331836626733
0.642857	144607	434649	3.0057258638931725
0.645714	130041	378928	2.9139117662890937
0.648571	117040	339241	2.898504784688995
0.651429	106908	314830	2.9448684850525684
0.654286	97120	288326	2.9687602965403626
0.657143	86825	257904	2.970388712928304
0.660000	79036	231921	2.9343716787286804
0.662857	70668	211935	2.999023603328239
0.665714	63058	197993	3.13985537124552
0.668571	54058	170199	3.148451663028599
0.671429	46856	145863	3.1130058050196348
0.674286	40696	129978	3.1938765480636917
0.677143	34212	106892	3.124400795042675
0.680000	28180	87525	3.1059261887863734
0.682857	23290	72609	3.1176041219407473
0.685714	19300	61588	3.191088082901554
0.688571	15768	49915	3.1655885337392187
0.691429	12409	38346	3.0901764848094126
0.694286	9898	30343	3.065568801778137
0.697143	7960	24083	3.025502512562814
0.700000	6535	20309	3.1077276205049733
0.702857	5716	17314	3.029041287613716
0.705714	4335	13571	3.130565167243368
0.708571	3731	11391	3.053068882337175
0.711429	3059	9674	3.1624713958810067
0.714286	2218	6949	3.1330027051397655
0.717143	1994	6245	3.1318956870611836
0.720000	1743	5312	3.0476190476190474
0.722857	1422	4656	3.2742616033755274
0.725714	1082	3310	3.0591497227356745
0.728571	755	2242	2.9695364238410598
