GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2216	5.526184538653367
0.002857	106	268	2.5283018867924527
0.005714	47	139	2.9574468085106385
0.008571	54	161	2.9814814814814814
0.011429	20	55	2.75
0.014286	95	237	2.4947368421052634
0.017143	68	172	2.5294117647058822
0.020000	45	132	2.933333333333333
0.022857	33	120	3.6363636363636362
0.025714	78	390	5.0
0.028571	129	944	7.317829457364341
0.031429	119	1220	10.252100840336135
0.034286	265	3597	13.573584905660377
0.037143	139	986	7.093525179856115
0.040000	220	1630	7.409090909090909
0.042857	143	953	6.664335664335664
0.045714	223	1804	8.089686098654708
0.048571	253	2551	10.08300395256917
0.051429	265	2255	8.50943396226415
0.054286	249	1648	6.618473895582329
0.057143	264	1633	6.1856060606060606
0.060000	331	2546	7.691842900302115
0.062857	346	3070	8.872832369942197
0.065714	375	2891	7.709333333333333
0.068571	471	3628	7.70276008492569
0.071429	452	2646	5.853982300884955
0.074286	520	2620	5.038461538461538
0.077143	556	3565	6.411870503597123
0.080000	582	3282	5.639175257731959
0.082857	799	4145	5.187734668335419
0.085714	900	5663	6.292222222222223
0.088571	1021	7668	7.5102840352595495
0.091429	1188	6152	5.178451178451178
0.094286	1213	6461	5.326463314097279
0.097143	1308	7493	5.728593272171254
0.100000	1469	6602	4.494213750850919
0.102857	1590	7142	4.491823899371069
0.105714	1766	10008	5.667044167610419
0.108571	1724	9675	5.611948955916473
0.111429	1762	9080	5.1532349602724175
0.114286	1824	8502	4.661184210526316
0.117143	2132	9728	4.562851782363977
0.120000	2159	9506	4.402964335340435
0.122857	2675	11555	4.319626168224299
0.125714	3186	14429	4.52887633396108
0.128571	3458	14881	4.303354540196645
0.131429	3515	15647	4.45149359886202
0.134286	4163	20035	4.812635118904636
0.137143	4088	18870	4.615949119373777
0.140000	4560	20021	4.390570175438596
0.142857	5073	21420	4.222353636901242
0.145714	5125	21651	4.224585365853659
0.148571	5600	25438	4.5425
0.151429	6185	26187	4.233953112368634
0.154286	7087	29971	4.229010864964018
0.157143	7962	33480	4.204973624717407
0.160000	9103	38210	4.197517301988356
0.162857	11298	82171	7.273057178261639
0.165714	15826	75474	4.768987741690888
0.168571	19339	86114	4.452867263043591
0.171429	19973	82586	4.134882090822611
0.174286	20554	89172	4.338425610586747
0.177143	21690	96839	4.46468418626095
0.180000	22535	98212	4.3581983581096075
0.182857	23699	98389	4.151609772564243
0.185714	26908	113905	4.2331276943659875
0.188571	29749	125049	4.2034690241688795
0.191429	33720	138709	4.113552787663108
0.194286	38012	158200	4.161843628327897
0.197143	42734	181124	4.238405017082417
0.200000	47142	197909	4.198146026897459
0.202857	53563	224166	4.1850904542314655
0.205714	61594	264707	4.297610156833458
0.208571	68081	284493	4.1787429679352535
0.211429	75847	305868	4.032697403984337
0.214286	82496	330617	4.007673099301784
0.217143	90121	361417	4.010352747972171
0.220000	98123	394071	4.016092047736005
0.222857	109920	444089	4.040110989810771
0.225714	120415	483413	4.014557986961758
0.228571	134897	540532	4.00699793175534
0.231429	147441	585912	3.973874295480904
0.234286	163418	646538	3.956345078265552
0.237143	181928	716847	3.9402785717426676
0.240000	199533	788577	3.9521131842853063
0.242857	220462	867972	3.9370594478867105
