GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	1881	4.690773067331671
0.002857	106	269	2.5377358490566038
0.005714	47	35	0.7446808510638298
0.008571	54	50	0.9259259259259259
0.011429	20	8	0.4
0.014286	95	150	1.5789473684210527
0.017143	68	152	2.235294117647059
0.020000	45	109	2.422222222222222
0.022857	33	82	2.484848484848485
0.025714	78	377	4.833333333333333
0.028571	129	786	6.093023255813954
0.031429	119	1276	10.722689075630251
0.034286	265	3330	12.566037735849056
0.037143	139	831	5.9784172661870505
0.040000	220	1571	7.140909090909091
0.042857	143	967	6.7622377622377625
0.045714	223	1552	6.959641255605381
0.048571	253	2371	9.371541501976285
0.051429	265	2157	8.139622641509433
0.054286	249	1640	6.586345381526105
0.057143	264	1602	6.068181818181818
0.060000	331	2479	7.4894259818731115
0.062857	346	3010	8.699421965317919
0.065714	375	2657	7.085333333333334
0.068571	471	3276	6.955414012738854
0.071429	452	2381	5.267699115044247
0.074286	520	2168	4.1692307692307695
0.077143	556	2798	5.032374100719425
0.080000	582	3138	5.391752577319588
0.082857	799	3750	4.693366708385482
0.085714	900	4925	5.472222222222222
0.088571	1021	6619	6.482859941234084
0.091429	1188	5080	4.276094276094276
0.094286	1213	5687	4.688375927452597
0.097143	1308	6647	5.0818042813455655
0.100000	1469	5875	3.9993192648059903
0.102857	1590	6265	3.940251572327044
0.105714	1766	8993	5.092298980747452
0.108571	1724	8856	5.1368909512761025
0.111429	1762	8712	4.944381384790011
0.114286	1824	8022	4.3980263157894735
0.117143	2132	9043	4.24155722326454
0.120000	2159	8872	4.109309865678555
0.122857	2675	13146	4.914392523364486
0.125714	3186	17620	5.530445699937226
0.128571	3458	17264	4.992481203007519
0.131429	3515	16443	4.677951635846373
0.134286	4163	22466	5.396588998318521
0.137143	4088	18585	4.546232876712328
0.140000	4560	21887	4.799780701754386
0.142857	5073	23758	4.683224916223142
0.145714	5125	22151	4.322146341463415
0.148571	5600	25379	4.5319642857142854
0.151429	6185	26480	4.281325788197251
0.154286	7087	29310	4.135741498518414
0.157143	7962	33204	4.170308967596082
0.160000	9103	38915	4.274964297484346
0.162857	11298	88377	7.822357939458311
0.165714	15826	79114	4.998989005434096
0.168571	19339	97102	5.02104555561301
0.171429	19973	90620	4.537125118910529
0.174286	20554	96904	4.714605429600078
0.177143	21690	93682	4.319133241124942
0.180000	22535	99120	4.398491235855336
0.182857	23699	95829	4.043588337060635
0.185714	26908	113052	4.20142708488182
0.188571	29749	122642	4.122558741470302
0.191429	33720	134088	3.9765124555160143
0.194286	38012	156910	4.127906976744186
0.197143	42734	176871	4.138882388730285
0.200000	47142	194132	4.118026388358576
0.202857	53563	225739	4.214457741351306
0.205714	61594	265438	4.3094781959281745
0.208571	68081	282846	4.154551196369031
0.211429	75847	297297	3.919693593682018
0.214286	82496	321155	3.8929766291698993
0.217143	90121	352870	3.9155135872882014
0.220000	98123	383692	3.9103166433965533
0.222857	109920	429983	3.911781295487627
0.225714	120415	469997	3.903143296100984
0.228571	134897	527537	3.9106651741699223
0.231429	147441	575313	3.9019879138095916
0.234286	163418	632973	3.8733370864898604
0.237143	181928	705538	3.8781166175629918
0.240000	199533	766728	3.842612500187939
0.242857	220462	850355	3.857149985031434
0.245714	241676	924147	3.8239088697264108
0.248571	264025	1004896	3.8060638197140424
0.251429	290343	1101419	3.793509745370131
0.254286	314041	1183977	3.7701351097468163
0.257143	339992	1272454	3.742599825878256
0.260000	371321	1387947	3.7378629272246924
0.262857	402067	1501978	3.735641074746249
0.265714	435052	1620950	3.7258764469534675
0.268571	469598	1748418	3.7232228416645725
0.271429	505986	1874122	3.7039008984438304
0.274286	543325	2000345	3.681673031794966
0.277143	581899	2131066	3.6622609765612246
0.280000	620395	2257997	3.639611860185849
0.282857	663209	2396828	3.613985938067789
0.285714	705513	2533275	3.5906850759659994
0.288571	751546	2676375	3.5611592637044174
0.291429	800194	2839126	3.5480470985785946
0.294286	847792	2991353	3.5284043727706798
0.297143	896630	3142436	3.504718780321872
0.300000	952187	3310410	3.4766385174340755
0.302857	1007306	3477586	3.4523630356614574
