GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2484	6.194513715710723
0.002857	106	696	6.566037735849057
0.005714	47	212	4.51063829787234
0.008571	54	214	3.962962962962963
0.011429	20	73	3.65
0.014286	95	179	1.8842105263157896
0.017143	68	165	2.426470588235294
0.020000	45	144	3.2
0.022857	33	133	4.03030303030303
0.025714	78	299	3.8333333333333335
0.028571	129	586	4.542635658914729
0.031429	119	779	6.546218487394958
0.034286	265	1784	6.7320754716981135
0.037143	139	710	5.107913669064748
0.040000	220	1084	4.927272727272728
0.042857	143	589	4.118881118881119
0.045714	223	1354	6.071748878923767
0.048571	253	1576	6.229249011857707
0.051429	265	2005	7.566037735849057
0.054286	249	1375	5.522088353413655
0.057143	264	1705	6.458333333333333
0.060000	331	2264	6.83987915407855
0.062857	346	2519	7.280346820809249
0.065714	375	2282	6.085333333333334
0.068571	471	2665	5.658174097664544
0.071429	452	2378	5.261061946902655
0.074286	520	2505	4.8173076923076925
0.077143	556	3601	6.476618705035971
0.080000	582	3602	6.189003436426117
0.082857	799	5055	6.326658322903629
0.085714	900	6080	6.7555555555555555
0.088571	1021	8010	7.845249755142017
0.091429	1188	6744	5.6767676767676765
0.094286	1213	7087	5.842539159109646
0.097143	1308	7504	5.7370030581039755
0.100000	1469	7055	4.802586793737237
0.102857	1590	8376	5.2679245283018865
0.105714	1766	10471	5.929218573046432
0.108571	1724	10667	6.187354988399072
0.111429	1762	9246	5.2474460839954595
0.114286	1824	9208	5.048245614035087
0.117143	2132	10903	5.1139774859287055
0.120000	2159	11303	5.235294117647059
0.122857	2675	18922	7.0736448598130846
0.125714	3186	27866	8.746390458254865
0.128571	3458	24406	7.0578368999421635
0.131429	3515	22040	6.27027027027027
0.134286	4163	28765	6.909680518856594
0.137143	4088	20310	4.9681996086105675
0.140000	4560	25303	5.54890350877193
0.142857	5073	26785	5.279913266311847
0.145714	5125	23753	4.634731707317073
0.148571	5600	29253	5.22375
0.151429	6185	30937	5.001940177849637
0.154286	7087	33966	4.792719063073233
0.157143	7962	38673	4.857196684250188
0.160000	9103	44362	4.8733384598484015
0.162857	11298	120080	10.628429810585944
0.165714	15826	98635	6.232465562997599
