GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2569	6.406483790523691
0.002857	106	397	3.7452830188679247
0.005714	47	121	2.574468085106383
0.008571	54	94	1.7407407407407407
0.011429	20	65	3.25
0.014286	95	268	2.8210526315789473
0.017143	68	250	3.676470588235294
0.020000	45	188	4.177777777777778
0.022857	33	147	4.454545454545454
0.025714	78	446	5.717948717948718
0.028571	129	1130	8.75968992248062
0.031429	119	1442	12.117647058823529
0.034286	265	4002	15.10188679245283
0.037143	139	1184	8.517985611510792
0.040000	220	1999	9.086363636363636
0.042857	143	1106	7.734265734265734
0.045714	223	2224	9.973094170403588
0.048571	253	3324	13.138339920948617
0.051429	265	3299	12.449056603773585
0.054286	249	2087	8.38152610441767
0.057143	264	2125	8.049242424242424
0.060000	331	3325	10.045317220543806
0.062857	346	4193	12.11849710982659
0.065714	375	3793	10.114666666666666
0.068571	471	4734	10.050955414012739
0.071429	452	3566	7.889380530973451
0.074286	520	3211	6.175
0.077143	556	4198	7.5503597122302155
0.080000	582	4325	7.4312714776632305
0.082857	799	5662	7.086357947434293
0.085714	900	7037	7.818888888888889
0.088571	1021	9546	9.349657198824682
0.091429	1188	7353	6.1893939393939394
0.094286	1213	8387	6.914262159934048
0.097143	1308	9886	7.558103975535168
0.100000	1469	8442	5.746766507828455
0.102857	1590	9524	5.989937106918239
0.105714	1766	12547	7.10475651189128
0.108571	1724	11894	6.89907192575406
0.111429	1762	11524	6.540295119182747
0.114286	1824	10999	6.03015350877193
0.117143	2132	13696	6.424015009380863
0.120000	2159	13341	6.179249652616952
0.122857	2675	16461	6.153644859813084
0.125714	3186	19650	6.167608286252354
0.128571	3458	20344	5.883169462116831
0.131429	3515	22516	6.405689900426743
0.134286	4163	27151	6.521979341820803
0.137143	4088	25402	6.213796477495108
0.140000	4560	26406	5.79078947368421
0.142857	5073	28890	5.694855115316381
0.145714	5125	28805	5.620487804878048
0.148571	5600	33939	6.060535714285714
0.151429	6185	36806	5.9508488278092155
0.154286	7087	40096	5.6576830816988855
0.157143	7962	43826	5.504395880432052
0.160000	9103	50788	5.57925958475228
0.162857	11298	124262	10.998583820145159
0.165714	15826	105010	6.635283710350057
0.168571	19339	117280	6.064429391385284
0.171429	19973	110042	5.50953787613278
0.174286	20554	120288	5.852291524764036
0.177143	21690	131101	6.044306131857999
0.180000	22535	138091	6.127845573552252
0.182857	23699	136456	5.757880079328242
0.185714	26908	155673	5.785379812695109
0.188571	29749	172622	5.802615213956772
0.191429	33720	191958	5.692704626334519
0.194286	38012	217243	5.715116279069767
0.197143	42734	244338	5.71764871062854
0.200000	47142	266755	5.65854227652624
0.202857	53563	303082	5.658420924892183
0.205714	61594	352012	5.715037178946001
0.208571	68081	383101	5.627135324099235
0.211429	75847	412240	5.435152346170581
0.214286	82496	451559	5.47370781613654
0.217143	90121	493127	5.471832314332953
0.220000	98123	541504	5.5186245834309995
0.222857	109920	611796	5.565829694323144
0.225714	120415	664520	5.518581572063281
0.228571	134897	746820	5.536223933816171
0.231429	147441	816688	5.5390834299821625
0.234286	163418	901400	5.51591623933716
0.237143	181928	996476	5.477309704938217
0.240000	199533	1094322	5.484416111620634
0.242857	220462	1194830	5.419664159809854
0.245714	241676	1311600	5.42710074645393
0.248571	264025	1445425	5.47457627118644
0.251429	290343	1563830	5.386146729902219
0.254286	314041	1687736	5.374253680251941
0.257143	339992	1808817	5.320175180592485
0.260000	371321	1975293	5.319637187231533
0.262857	402067	2133905	5.3073368368953435
0.265714	435052	2312247	5.314875003447864
0.268571	469598	2491806	5.306253433788049
0.271429	505986	2663106	5.263200958129277
0.274286	543325	2837271	5.222051258454885
0.277143	581899	3036413	5.218110015655638
0.280000	620395	3236763	5.217261583346094
0.282857	663209	3432513	5.175612815869507
0.285714	705513	3648638	5.171609878202102
0.288571	751546	3844149	5.114988304109129
0.291429	800194	4077872	5.096104194732777
0.294286	847792	4349675	5.130592173552003
0.297143	896630	4711053	5.25417730836577
0.300000	952187	4937663	5.1856021978876
