GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2152	5.366583541147132
0.002857	106	730	6.886792452830188
0.005714	47	141	3.0
0.008571	54	153	2.8333333333333335
0.011429	20	64	3.2
0.014286	95	332	3.4947368421052634
0.017143	68	279	4.102941176470588
0.020000	45	197	4.377777777777778
0.022857	33	143	4.333333333333333
0.025714	78	517	6.628205128205129
0.028571	129	1282	9.937984496124031
0.031429	119	1789	15.033613445378151
0.034286	265	5273	19.89811320754717
0.037143	139	1448	10.417266187050359
0.040000	220	2363	10.74090909090909
0.042857	143	1282	8.965034965034965
0.045714	223	2636	11.820627802690582
0.048571	253	3555	14.051383399209486
0.051429	265	3240	12.226415094339623
0.054286	249	2183	8.76706827309237
0.057143	264	1914	7.25
0.060000	331	3196	9.65558912386707
0.062857	346	4100	11.84971098265896
0.065714	375	3868	10.314666666666668
0.068571	471	4407	9.356687898089172
0.071429	452	3385	7.488938053097345
0.074286	520	2999	5.767307692307693
0.077143	556	3751	6.746402877697841
0.080000	582	4168	7.161512027491409
0.082857	799	4946	6.190237797246558
0.085714	900	6229	6.921111111111111
0.088571	1021	7780	7.619980411361411
0.091429	1188	6352	5.346801346801347
0.094286	1213	7675	6.327287716405606
0.097143	1308	8655	6.61697247706422
0.100000	1469	7878	5.3628318584070795
0.102857	1590	8406	5.286792452830189
0.105714	1766	11167	6.323329558323896
0.108571	1724	10616	6.157772621809745
0.111429	1762	9853	5.591940976163451
0.114286	1824	10052	5.510964912280702
0.117143	2132	11776	5.523452157598499
0.120000	2159	11861	5.493747105141269
0.122857	2675	19991	7.4732710280373835
0.125714	3186	28347	8.897363465160076
0.128571	3458	25190	7.284557547715442
0.131429	3515	23813	6.774679943100995
0.134286	4163	30549	7.338217631515734
0.137143	4088	21852	5.345401174168297
0.140000	4560	25149	5.5151315789473685
0.142857	5073	28086	5.536369012418687
0.145714	5125	25746	5.023609756097561
0.148571	5600	30594	5.463214285714286
0.151429	6185	32678	5.283427647534357
0.154286	7087	36764	5.187526456892902
0.157143	7962	39865	5.006907812107511
0.160000	9103	45773	5.028342304734703
0.162857	11298	93935	8.3143034165339
0.165714	15826	91148	5.759383293314799
0.168571	19339	108746	5.623144940276126
0.171429	19973	104518	5.232964502077805
0.174286	20554	111691	5.434027439914372
0.177143	21690	119351	5.50258183494698
0.180000	22535	122973	5.456978034169071
0.182857	23699	120369	5.0790750664585005
0.185714	26908	136595	5.076371339378624
0.188571	29749	148572	4.9941846784765875
0.191429	33720	165444	4.906405693950178
0.194286	38012	185691	4.885062611806798
0.197143	42734	208117	4.870056629381757
0.200000	47142	227232	4.820160366552119
0.202857	53563	257723	4.811586356253384
0.205714	61594	296642	4.8160859824008835
0.208571	68081	320757	4.711402593968948
0.211429	75847	350459	4.620604638284968
0.214286	82496	382503	4.636624806051202
0.217143	90121	419293	4.652556008033644
0.220000	98123	457835	4.665929496652161
0.222857	109920	508766	4.628511644832606
0.225714	120415	561580	4.663704687954159
0.228571	134897	629704	4.6680356123560935
0.231429	147441	681808	4.624276829375818
0.234286	163418	754346	4.616052087285366
0.237143	181928	837924	4.605800096741568
0.240000	199533	923293	4.627269674690402
0.242857	220462	1014795	4.6030381653073995
0.245714	241676	1107031	4.5806410235190915
0.248571	264025	1219483	4.618816399962125
0.251429	290343	1318126	4.539892472007247
0.254286	314041	1416943	4.511968182498464
0.257143	339992	1514127	4.453419492223347
0.260000	371321	1649086	4.441133143560424
0.262857	402067	1781539	4.430950562965874
0.265714	435052	1928845	4.433596443643519
