GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	2581	6.43640897755611
0.002857	106	906	8.547169811320755
0.005714	47	195	4.148936170212766
0.008571	54	231	4.277777777777778
0.011429	20	49	2.45
0.014286	95	288	3.031578947368421
0.017143	68	266	3.911764705882353
0.020000	45	179	3.977777777777778
0.022857	33	148	4.484848484848484
0.025714	78	402	5.153846153846154
0.028571	129	841	6.51937984496124
0.031429	119	923	7.756302521008403
0.034286	265	2040	7.69811320754717
0.037143	139	679	4.884892086330935
0.040000	220	1282	5.827272727272727
0.042857	143	752	5.258741258741258
0.045714	223	1354	6.071748878923767
0.048571	253	1829	7.229249011857707
0.051429	265	2219	8.373584905660378
0.054286	249	1591	6.389558232931727
0.057143	264	1807	6.84469696969697
0.060000	331	2295	6.933534743202417
0.062857	346	2724	7.872832369942197
0.065714	375	2475	6.6
0.068571	471	2865	6.082802547770701
0.071429	452	2397	5.303097345132743
0.074286	520	2786	5.357692307692307
0.077143	556	3877	6.973021582733813
0.080000	582	3483	5.984536082474227
0.082857	799	4936	6.177722152690864
0.085714	900	5888	6.542222222222223
0.088571	1021	7293	7.142997061704212
0.091429	1188	6262	5.271043771043771
0.094286	1213	6576	5.4212695795548225
0.097143	1308	7426	5.67737003058104
0.100000	1469	7639	5.200136147038802
0.102857	1590	8953	5.630817610062893
0.105714	1766	11532	6.530011325028313
0.108571	1724	11719	6.797563805104408
0.111429	1762	11180	6.345062429057889
0.114286	1824	10688	5.859649122807017
0.117143	2132	12920	6.0600375234521575
0.120000	2159	12188	5.64520611394164
0.122857	2675	15203	5.683364485981309
0.125714	3186	18889	5.928750784682988
0.128571	3458	18241	5.275014459224986
0.131429	3515	19947	5.674822190611664
0.134286	4163	23925	5.747057410521259
0.137143	4088	23363	5.715019569471624
0.140000	4560	25769	5.651096491228071
0.142857	5073	28604	5.638478218016952
0.145714	5125	28872	5.633560975609756
0.148571	5600	33660	6.010714285714286
0.151429	6185	36367	5.879870654810024
0.154286	7087	39591	5.586425850148158
0.157143	7962	43206	5.426525998492841
0.160000	9103	49419	5.428869603427441
0.162857	11298	134986	11.947778367852717
0.165714	15826	109448	6.915708328067737
0.168571	19339	122688	6.34407156523088
0.171429	19973	117252	5.870525209032193
0.174286	20554	123897	6.027877785345918
0.177143	21690	130120	5.999077916090364
0.180000	22535	132316	5.871577546039494
0.182857	23699	128634	5.427823958816828
0.185714	26908	147658	5.487513007284079
0.188571	29749	161158	5.417257722948671
0.191429	33720	176547	5.23567615658363
0.194286	38012	204056	5.368199515942334
0.197143	42734	228927	5.357022511349277
0.200000	47142	248557	5.272517076068049
0.202857	53563	283620	5.295073091499729
0.205714	61594	330658	5.368347566321395
0.208571	68081	358581	5.266976101996152
0.211429	75847	386941	5.101599272219072
0.214286	82496	422744	5.124418153607448
0.217143	90121	466337	5.174565306643291
0.220000	98123	510592	5.203591410780347
0.222857	109920	574584	5.227292576419214
0.225714	120415	624502	5.186247560519869
0.228571	134897	698471	5.1778097363173385
0.231429	147441	757981	5.140910601528747
0.234286	163418	836810	5.1206721413797744
