GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	3934	9.810473815461346
0.002857	106	717	6.764150943396227
0.005714	47	245	5.212765957446808
0.008571	54	228	4.222222222222222
0.011429	20	72	3.6
0.014286	95	328	3.4526315789473685
0.017143	68	309	4.544117647058823
0.020000	45	273	6.066666666666666
0.022857	33	211	6.393939393939394
0.025714	78	601	7.705128205128205
0.028571	129	1368	10.604651162790697
0.031429	119	1826	15.344537815126051
0.034286	265	4907	18.516981132075472
0.037143	139	1423	10.237410071942445
0.040000	220	2512	11.418181818181818
0.042857	143	1347	9.41958041958042
0.045714	223	2788	12.502242152466367
0.048571	253	4024	15.90513833992095
0.051429	265	4110	15.50943396226415
0.054286	249	2755	11.06425702811245
0.057143	264	2789	10.56439393939394
0.060000	331	4406	13.311178247734139
0.062857	346	5408	15.630057803468208
0.065714	375	4388	11.701333333333332
0.068571	471	5519	11.717622080679405
0.071429	452	4071	9.006637168141593
0.074286	520	3487	6.7057692307692305
0.077143	556	4764	8.568345323741006
0.080000	582	5259	9.036082474226804
0.082857	799	6727	8.419274092615769
0.085714	900	7983	8.87
0.088571	1021	10763	10.541625857002938
0.091429	1188	8440	7.104377104377105
0.094286	1213	9899	8.16075845012366
0.097143	1308	11186	8.551987767584098
0.100000	1469	9144	6.224642614023145
0.102857	1590	10692	6.724528301886792
0.105714	1766	14719	8.334654586636466
0.108571	1724	14065	8.158352668213457
0.111429	1762	13370	7.587968217934166
0.114286	1824	12364	6.7785087719298245
0.117143	2132	14798	6.940900562851782
0.120000	2159	14799	6.854562297359889
0.122857	2675	18158	6.78803738317757
0.125714	3186	21611	6.783113622096673
0.128571	3458	23110	6.683053788316946
0.131429	3515	24840	7.066856330014224
0.134286	4163	30722	7.379774201297142
0.137143	4088	28658	7.010273972602739
0.140000	4560	30602	6.710964912280701
0.142857	5073	33263	6.556869702345752
0.145714	5125	33690	6.5736585365853655
0.148571	5600	38967	6.958392857142857
0.151429	6185	42940	6.942603071948262
0.154286	7087	47679	6.727670382390292
0.157143	7962	51962	6.526249686008541
0.160000	9103	59665	6.554432604635834
0.162857	11298	131988	11.682421667551779
0.165714	15826	119082	7.524453431062808
0.168571	19339	140274	7.253425720047573
0.171429	19973	133090	6.663495719220948
0.174286	20554	145084	7.058674710518634
0.177143	21690	153017	7.054725680036883
0.180000	22535	154833	6.870778788551143
0.182857	23699	152735	6.444786699860754
0.185714	26908	171682	6.380332986472425
0.188571	29749	192676	6.47672190661871
0.191429	33720	216960	6.434163701067615
0.194286	38012	246325	6.480190466168579
0.197143	42734	281939	6.5975335798193475
0.200000	47142	308378	6.541470450977896
0.202857	53563	348872	6.51330209286261
0.205714	61594	406113	6.593385719388252
0.208571	68081	439673	6.458086690853542
0.211429	75847	469671	6.192347752712698
0.214286	82496	514672	6.238750969743988
0.217143	90121	567322	6.295114346267796
0.220000	98123	622552	6.344608297748744
0.222857	109920	695142	6.324072052401747
0.225714	120415	760361	6.314504006975875
0.228571	134897	850533	6.305054967864371
0.231429	147441	920622	6.2440026858200905
0.234286	163418	1016161	6.218170580964153
0.237143	181928	1130046	6.211501253243041
0.240000	199533	1252478	6.277046904522059
0.242857	220462	1371402	6.220582231858551
0.245714	241676	1497359	6.195728992535461
0.248571	264025	1658183	6.280401477132847
0.251429	290343	1778789	6.126508991089849
0.254286	314041	1919702	6.112902455411873
0.257143	339992	2045837	6.017309230805431
0.260000	371321	2227535	5.998947002728098
0.262857	402067	2407048	5.986683811404567
0.265714	435052	2600531	5.977517630076405
0.268571	469598	2815407	5.995355602025563
0.271429	505986	2990908	5.911048922302198
0.274286	543325	3191243	5.87354345925551
0.277143	581899	3426498	5.888475491451266
0.280000	620395	3649291	5.882205691535232
0.282857	663209	3873898	5.841142083415635
0.285714	705513	4135925	5.862294528945604
0.288571	751546	4365959	5.809303755192629
0.291429	800194	4635496	5.79296520593756
0.294286	847792	5003850	5.902214222356427
0.297143	896630	5537566	6.175976712802382
0.300000	952187	5791281	6.08208366633865
0.302857	1007306	5776742	5.7348432353227325
0.305714	1060750	6068796	5.721231204336554
0.308571	1110869	6190041	5.572251093513277
0.311429	1158074	6452191	5.571484205672522
0.314286	1208717	6666214	5.515115614324941
0.317143	1253428	6819949	5.4410376982164115
0.320000	1297782	7004646	5.397398022163969
0.322857	1338416	7156572	5.3470460604176875
0.325714	1381228	7369846	5.3357200983472675
0.328571	1415649	7591473	5.362539019206032
0.331429	1441542	7764453	5.386213513029797
0.334286	1468248	7772106	5.2934558739395525
0.337143	1483748	7731651	5.210892280899452
0.340000	1497480	7754843	5.178595373560916
0.342857	1509829	7771882	5.147524653454133
0.345714	1521863	7800721	5.125770847967261
0.348571	1538276	7863171	5.111677618320769
0.351429	1552784	7927194	5.105149202979938
0.354286	1567247	7968180	5.084189027000849
0.357143	1574272	7957486	5.054708462070087
0.360000	1585438	7973436	5.029169226421973
0.362857	1596759	7963440	4.987252302946155
0.365714	1593591	7910691	4.96406606212008
0.368571	1591764	7844106	4.9279327840056695
0.371429	1588037	7767203	4.8910718075208575
0.374286	1583348	7686365	4.854501347776989
0.377143	1580296	7643711	4.836885621427885
