GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	3040	7.581047381546135
0.002857	106	1276	12.037735849056604
0.005714	47	184	3.9148936170212765
0.008571	54	373	6.907407407407407
0.011429	20	47	2.35
0.014286	95	388	4.08421052631579
0.017143	68	235	3.4558823529411766
0.020000	45	222	4.933333333333334
0.022857	33	93	2.8181818181818183
0.025714	78	380	4.871794871794871
0.028571	129	994	7.705426356589148
0.031429	119	925	7.773109243697479
0.034286	265	2000	7.547169811320755
0.037143	139	943	6.784172661870503
0.040000	220	1731	7.868181818181818
0.042857	143	867	6.062937062937063
0.045714	223	1644	7.37219730941704
0.048571	253	1991	7.869565217391305
0.051429	265	2160	8.150943396226415
0.054286	249	1775	7.128514056224899
0.057143	264	1794	6.795454545454546
0.060000	331	2470	7.462235649546828
0.062857	346	2644	7.641618497109826
0.065714	375	2567	6.8453333333333335
0.068571	471	3281	6.966029723991507
0.071429	452	2678	5.924778761061947
0.074286	520	3161	6.078846153846154
0.077143	556	3671	6.60251798561151
0.080000	582	4426	7.6048109965635735
0.082857	799	5765	7.215269086357948
0.085714	900	6974	7.748888888888889
0.088571	1021	8602	8.425073457394712
0.091429	1188	7288	6.134680134680135
0.094286	1213	7826	6.451772464962902
0.097143	1308	8659	6.620030581039756
0.100000	1469	8889	6.051055139550715
0.102857	1590	10756	6.764779874213836
0.105714	1766	12973	7.345979614949037
0.108571	1724	13551	7.860208816705336
0.111429	1762	12147	6.893870601589104
0.114286	1824	12267	6.725328947368421
0.117143	2132	14180	6.651031894934334
0.120000	2159	13517	6.260768874478925
0.122857	2675	20566	7.68822429906542
0.125714	3186	27848	8.74074074074074
0.128571	3458	25303	7.317235396182765
0.131429	3515	25670	7.30298719772404
0.134286	4163	32632	7.8385779485947635
0.137143	4088	27354	6.6912915851272015
0.140000	4560	31429	6.892324561403509
0.142857	5073	33683	6.639660950128129
0.145714	5125	31933	6.230829268292683
0.148571	5600	37760	6.742857142857143
0.151429	6185	41341	6.684074373484236
0.154286	7087	46738	6.594892055876958
0.157143	7962	51172	6.427028384827933
0.160000	9103	59375	6.522574975282874
0.162857	11298	127031	11.243671446273677
0.165714	15826	115104	7.273094907114874
0.168571	19339	136759	7.071668648844304
0.171429	19973	135794	6.798878485956041
0.174286	20554	146482	7.12669066848302
0.177143	21690	153340	7.069617335177501
0.180000	22535	162024	7.189882405147548
0.182857	23699	159341	6.723532638507954
0.185714	26908	186335	6.924892225360487
0.188571	29749	211339	7.104070725066388
0.191429	33720	238093	7.060883748517201
0.194286	38012	269067	7.078475218352099
0.197143	42734	304900	7.134834089951795
0.200000	47142	322843	6.848309363200543
0.202857	53563	368654	6.882624199540728
0.205714	61594	429251	6.969039192129103
0.208571	68081	467343	6.864514328520439
0.211429	75847	503739	6.641515155510436
0.214286	82496	544025	6.5945621605896045
0.217143	90121	592662	6.576291874257942
0.220000	98123	647591	6.599788021157119
0.222857	109920	727181	6.615547671033479
0.225714	120415	791766	6.575310384918822
0.228571	134897	890655	6.6024818935928895
0.231429	147441	974220	6.607524365678475
0.234286	163418	1074147	6.573002973968596
0.237143	181928	1194849	6.5677026076249945
0.240000	199533	1316715	6.598983626768504
0.242857	220462	1443105	6.5458219557111885
0.245714	241676	1575581	6.519393733759248
0.248571	264025	1734978	6.57126408484045
0.251429	290343	1877183	6.465397822575368
0.254286	314041	2016697	6.421763400320341
0.257143	339992	2169541	6.3811530859549634
0.260000	371321	2369459	6.381160774639732
0.262857	402067	2552778	6.349135840543989
0.265714	435052	2765689	6.357145812454603
0.268571	469598	2974902	6.3349971677903225
0.271429	505986	3179338	6.283450530251825
0.274286	543325	3378458	6.218116228776515
0.277143	581899	3610947	6.205453180019213
0.280000	620395	3832888	6.1781413454331515
0.282857	663209	4063484	6.127003704714502
0.285714	705513	4328620	6.135422026241898
0.288571	751546	4571065	6.08221585904256
0.291429	800194	4849987	6.0610139541161265
0.294286	847792	5195106	6.127807292354729
0.297143	896630	5678553	6.333217715222555
0.300000	952187	5960463	6.259760950317532
0.302857	1007306	6060201	6.016246304499328
0.305714	1060750	6345531	5.982117369785529
0.308571	1110869	6536712	5.884322993980389
0.311429	1158074	6811798	5.882005813100027
