GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	3338	8.324189526184538
0.002857	106	967	9.122641509433961
0.005714	47	255	5.425531914893617
0.008571	54	312	5.777777777777778
0.011429	20	52	2.6
0.014286	95	461	4.852631578947369
0.017143	68	289	4.25
0.020000	45	217	4.822222222222222
0.022857	33	133	4.03030303030303
0.025714	78	426	5.461538461538462
0.028571	129	879	6.813953488372093
0.031429	119	1098	9.22689075630252
0.034286	265	2747	10.366037735849057
0.037143	139	881	6.338129496402877
0.040000	220	1407	6.3954545454545455
0.042857	143	856	5.986013986013986
0.045714	223	1362	6.1076233183856505
0.048571	253	2163	8.549407114624506
0.051429	265	2257	8.516981132075472
0.054286	249	1813	7.281124497991968
0.057143	264	1843	6.981060606060606
0.060000	331	2307	6.969788519637462
0.062857	346	2775	8.020231213872833
0.065714	375	2801	7.469333333333333
0.068571	471	3141	6.6687898089171975
0.071429	452	2444	5.407079646017699
0.074286	520	2866	5.5115384615384615
0.077143	556	3419	6.149280575539568
0.080000	582	3822	6.56701030927835
0.082857	799	5340	6.683354192740926
0.085714	900	6954	7.726666666666667
0.088571	1021	8132	7.964740450538687
0.091429	1188	7537	6.344276094276094
0.094286	1213	7729	6.371805441055235
0.097143	1308	8315	6.357033639143731
0.100000	1469	8732	5.944179714091218
0.102857	1590	9185	5.776729559748428
0.105714	1766	12220	6.9195922989807475
0.108571	1724	12461	7.227958236658933
0.111429	1762	11868	6.735527809307605
0.114286	1824	10541	5.77905701754386
0.117143	2132	13009	6.1017823639774855
0.120000	2159	12520	5.798981009726726
0.122857	2675	16891	6.314392523364486
0.125714	3186	22236	6.979284369114877
0.128571	3458	22028	6.370156159629844
0.131429	3515	22469	6.392318634423898
0.134286	4163	26342	6.3276483305308675
0.137143	4088	23268	5.691780821917808
0.140000	4560	27815	6.099780701754386
0.142857	5073	30206	5.954267691701163
0.145714	5125	29001	5.658731707317073
0.148571	5600	34169	6.101607142857143
0.151429	6185	36620	5.920776071139854
0.154286	7087	40066	5.653449978834486
0.157143	7962	45204	5.6774679728711375
0.160000	9103	51800	5.69043172580468
0.162857	11298	127434	11.279341476367499
0.165714	15826	107598	6.798812081385063
0.168571	19339	124615	6.443714773256114
0.171429	19973	114682	5.7418514995243575
0.174286	20554	125967	6.128588109370439
0.177143	21690	132957	6.1298755186722
0.180000	22535	133073	5.9051697359662745
0.182857	23699	132812	5.604118317228575
0.185714	26908	152987	5.685558198305337
0.188571	29749	167233	5.621466267773707
0.191429	33720	182790	5.420818505338079
0.194286	38012	208412	5.482794906871514
0.197143	42734	237453	5.556535779473019
0.200000	47142	262073	5.559225319248228
0.202857	53563	294725	5.502399044116275
0.205714	61594	343866	5.582784037406241
0.208571	68081	371277	5.453459849297161
0.211429	75847	402924	5.31232613023587
0.214286	82496	444601	5.389364332816137
0.217143	90121	490260	5.440019529299497
0.220000	98123	535661	5.459076872904416
0.222857	109920	598292	5.442976710334789
0.225714	120415	652504	5.418793339700203
0.228571	134897	733377	5.436570123872288
0.231429	147441	795786	5.397318249333631
0.234286	163418	876834	5.365590081875926
0.237143	181928	977331	5.3720757662371925
0.240000	199533	1080084	5.4130594939183
0.242857	220462	1185055	5.37532545291252
0.245714	241676	1295778	5.361632930038564
0.248571	264025	1436519	5.440844616987028
0.251429	290343	1549645	5.337290721663687
0.254286	314041	1661839	5.2917899255192795
0.257143	339992	1779242	5.233187839713875
0.260000	371321	1941727	5.229241007107058
0.262857	402067	2102922	5.230277540807875
0.265714	435052	2277118	5.234128334084201
0.268571	469598	2449445	5.216046490828326
0.271429	505986	2597966	5.134462218322246
0.274286	543325	2762367	5.084189021304008
0.277143	581899	2962166	5.090515708052428
0.280000	620395	3151715	5.08017472739142
0.282857	663209	3338329	5.033600267788887
0.285714	705513	3571678	5.062526133466003
0.288571	751546	3764004	5.008348125064867
0.291429	800194	3984112	4.978932608842356
0.294286	847792	4275275	5.042834799101667
0.297143	896630	4716696	5.260470874273669
0.300000	952187	4929950	5.177501898261581
0.302857	1007306	4951468	4.9155549554951525
0.305714	1060750	5196552	4.898941315107235
0.308571	1110869	5304782	4.775344347533328
0.311429	1158074	5529307	4.774571400445913
0.314286	1208717	5712786	4.726322207762446
0.317143	1253428	5852385	4.669103450696809
0.320000	1297782	6023416	4.641315721746795
0.322857	1338416	6162243	4.604131301478763
0.325714	1381228	6346880	4.595099433257942
0.328571	1415649	6558685	4.632988120642899
0.331429	1441542	6716354	4.659145553858299
0.334286	1468248	6727772	4.582176852956721
0.337143	1483748	6717852	4.52762328912996
0.340000	1497480	6739264	4.500403344285066
0.342857	1509829	6761036	4.4780143976569535
0.345714	1521863	6788740	4.460808890156342
0.348571	1538276	6836046	4.443965842280579
0.351429	1552784	6880146	4.430845500726437
0.354286	1567247	6905660	4.406235902828335
0.357143	1574272	6888117	4.375430040043906
0.360000	1585438	6892862	4.347607411958084
0.362857	1596759	6909145	4.326980464804018
0.365714	1593591	6860843	4.305272180879536
0.368571	1591764	6804857	4.275041400609638
0.371429	1588037	6769195	4.2626179364838475
0.374286	1583348	6698460	4.230567127378189
0.377143	1580296	6657100	4.212565240942204
0.380000	1571456	6583602	4.189491783416144
0.382857	1564263	6514924	4.164852074107743
0.385714	1557086	6431720	4.13061320954655
0.388571	1548773	6359701	4.106283490220968
0.391429	1541010	6281816	4.076427797353683
0.394286	1532177	6201785	4.047694881204978
0.397143	1525958	6143357	4.025901761385307
0.400000	1514448	6059259	4.000968669772749
0.402857	1504698	5985753	3.9780427700442216
0.405714	1491916	5901477	3.955636242254926
0.408571	1484881	5841286	3.933841163029226
0.411429	1473187	5776239	3.9209136382550214
0.414286	1460344	5688545	3.8953458911051095
0.417143	1449587	5615779	3.8740544720668715
0.420000	1440936	5534226	3.8407160345775244
0.422857	1429200	5459440	3.8199272320179123
0.425714	1421060	5405549	3.80388512800304
0.428571	1408690	5329395	3.783227679617233
0.431429	1399388	5275269	3.7696971819109497
0.434286	1389136	5220079	3.757788294306677
0.437143	1377404	5143806	3.734420692839574
0.440000	1365767	5077204	3.717474503337685
0.442857	1350724	4995037	3.698044160020848
0.445714	1334291	4905485	3.6764731231792767
0.448571	1317265	4814989	3.655292594884097
0.451429	1302479	4734416	3.634926935482261
0.454286	1287437	4655298	3.6159423723257915
0.457143	1269720	4579423	3.606640046624453
0.460000	1247789	4489248	3.5977621216407583
0.462857	1231936	4409819	3.5795844914021506
0.465714	1209859	4318392	3.5693349390300853
0.468571	1186456	4215580	3.553085828720155
0.471429	1162592	4113825	3.538494157881699
0.474286	1135528	4002690	3.5249593140812028
0.477143	1109855	3901610	3.5154231859116734
0.480000	1084475	3805940	3.5094769358445332
0.482857	1057046	3701636	3.5018684144304033
0.485714	1029185	3588470	3.4867103581960484
0.488571	998407	3476695	3.4822422118434666
0.491429	970431	3374378	3.4771951844077527
0.494286	943648	3265044	3.4600232290006443
0.497143	918478	3160807	3.441352977425698
0.500000	888118	3039139	3.4219991037227033
0.502857	862534	2935761	3.4036466968258643
0.505714	838422	2839099	3.3862410576058357
0.508571	810407	2728125	3.3663640615147696
0.511429	781263	2621281	3.3551838497407402
0.514286	749453	2514161	3.3546613329988673
