GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	1634	4.074812967581047
0.002857	106	995	9.38679245283019
0.005714	47	172	3.6595744680851063
0.008571	54	201	3.7222222222222223
0.011429	20	50	2.5
0.014286	95	428	4.505263157894737
0.017143	68	344	5.0588235294117645
0.020000	45	247	5.488888888888889
0.022857	33	163	4.9393939393939394
0.025714	78	435	5.576923076923077
0.028571	129	999	7.744186046511628
0.031429	119	1163	9.77310924369748
0.034286	265	2525	9.528301886792454
0.037143	139	986	7.093525179856115
0.040000	220	1727	7.85
0.042857	143	1003	7.013986013986014
0.045714	223	1720	7.713004484304933
0.048571	253	2372	9.375494071146244
0.051429	265	2508	9.464150943396227
0.054286	249	1958	7.863453815261044
0.057143	264	2046	7.75
0.060000	331	2552	7.709969788519637
0.062857	346	3037	8.777456647398845
0.065714	375	2857	7.618666666666667
0.068571	471	3736	7.932059447983015
0.071429	452	2956	6.539823008849558
0.074286	520	3117	5.994230769230769
0.077143	556	3282	5.902877697841727
0.080000	582	3857	6.6271477663230245
0.082857	799	5598	7.006257822277847
0.085714	900	7341	8.156666666666666
0.088571	1021	9412	9.21841332027424
0.091429	1188	8315	6.999158249158249
0.094286	1213	8979	7.402308326463314
0.097143	1308	9516	7.275229357798165
0.100000	1469	9374	6.381211708645337
0.102857	1590	10379	6.527672955974843
0.105714	1766	13450	7.616081540203851
0.108571	1724	13900	8.062645011600928
0.111429	1762	12993	7.374006810442679
0.114286	1824	12967	7.109100877192983
0.117143	2132	15488	7.264540337711069
0.120000	2159	14667	6.793422880963409
0.122857	2675	24135	9.022429906542056
0.125714	3186	34800	10.922787193973635
0.128571	3458	29524	8.537883169462116
0.131429	3515	28292	8.048933143669986
0.134286	4163	37060	8.902233965889984
0.137143	4088	28992	7.091976516634051
0.140000	4560	33972	7.45
0.142857	5073	35989	7.094224324857087
0.145714	5125	33565	6.549268292682926
0.148571	5600	39471	7.048392857142857
0.151429	6185	42555	6.8803556992724335
0.154286	7087	45748	6.455199661351771
0.157143	7962	51325	6.446244662145189
0.160000	9103	58831	6.4628144567724926
0.162857	11298	169656	15.016463090812532
0.165714	15826	136084	8.598761531656768
0.168571	19339	139266	7.201303066342624
0.171429	19973	135499	6.784108546537826
0.174286	20554	145968	7.101683370633453
0.177143	21690	149340	6.885200553250346
0.180000	22535	154382	6.850765475926337
0.182857	23699	155822	6.5750453605637365
0.185714	26908	179461	6.669429166047272
0.188571	29749	204613	6.877979091734176
