GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	3178	7.925187032418953
0.002857	106	476	4.490566037735849
0.005714	47	159	3.382978723404255
0.008571	54	264	4.888888888888889
0.011429	20	40	2.0
0.014286	95	352	3.705263157894737
0.017143	68	237	3.485294117647059
0.020000	45	208	4.622222222222222
0.022857	33	125	3.787878787878788
0.025714	78	255	3.269230769230769
0.028571	129	582	4.511627906976744
0.031429	119	693	5.823529411764706
0.034286	265	2040	7.69811320754717
0.037143	139	904	6.503597122302159
0.040000	220	1378	6.263636363636364
0.042857	143	671	4.6923076923076925
0.045714	223	1326	5.946188340807175
0.048571	253	1739	6.873517786561265
0.051429	265	1982	7.479245283018868
0.054286	249	1398	5.614457831325301
0.057143	264	1575	5.965909090909091
0.060000	331	1891	5.712990936555891
0.062857	346	2378	6.872832369942197
0.065714	375	2203	5.874666666666666
0.068571	471	2676	5.681528662420382
0.071429	452	2264	5.008849557522124
0.074286	520	2508	4.823076923076923
0.077143	556	2770	4.982014388489208
0.080000	582	3235	5.558419243986254
0.082857	799	4512	5.647058823529412
0.085714	900	5697	6.33
0.088571	1021	6778	6.638589618021547
0.091429	1188	6056	5.097643097643098
0.094286	1213	6358	5.241549876339654
0.097143	1308	6925	5.29434250764526
0.100000	1469	6991	4.7590197413206266
0.102857	1590	7801	4.906289308176101
0.105714	1766	9640	5.458663646659117
0.108571	1724	10256	5.9489559164733175
0.111429	1762	9662	5.483541430192963
0.114286	1824	8886	4.871710526315789
0.117143	2132	10594	4.969043151969982
0.120000	2159	10178	4.714219546086151
0.122857	2675	12943	4.838504672897196
0.125714	3186	16588	5.206528562460766
0.128571	3458	17113	4.948814343551185
0.131429	3515	17218	4.898435277382646
0.134286	4163	20606	4.949795820321883
0.137143	4088	20046	4.903620352250489
0.140000	4560	21791	4.778728070175439
0.142857	5073	24247	4.779617583284053
0.145714	5125	23907	4.664780487804878
0.148571	5600	28198	5.035357142857142
0.151429	6185	31370	5.0719482619240095
0.154286	7087	34285	4.837731056864682
0.157143	7962	38572	4.844511429289123
0.160000	9103	42571	4.67659013512029
0.162857	11298	109460	9.688440431934856
0.165714	15826	90488	5.71767976747125
0.168571	19339	98868	5.11236361756037
0.171429	19973	89181	4.465077855104391
0.174286	20554	95742	4.658071421621096
0.177143	21690	103868	4.788750576302443
0.180000	22535	105344	4.6746838251608605
0.182857	23699	108624	4.583484535212456
0.185714	26908	126815	4.712910658540211
0.188571	29749	143336	4.818178762311338
0.191429	33720	160388	4.756465005931198
0.194286	38012	180341	4.744317583920867
0.197143	42734	206142	4.823840501708242
0.200000	47142	226065	4.795405371006746
0.202857	53563	259002	4.83546477979202
0.205714	61594	302655	4.91370912751242
0.208571	68081	327552	4.811210176113747
0.211429	75847	354992	4.680369691616017
0.214286	82496	389233	4.718204519006982
0.217143	90121	423924	4.703942477336026
0.220000	98123	461192	4.700141658938271
0.222857	109920	517415	4.7071961426492
0.225714	120415	567827	4.715583606693518
0.228571	134897	633808	4.698458824139899
0.231429	147441	692654	4.697838457416865
0.234286	163418	760103	4.651280764664847
0.237143	181928	844357	4.641160239215514
0.240000	199533	929601	4.658883492956052
0.242857	220462	1023272	4.641489236240259
0.245714	241676	1111593	4.599517535874477
0.248571	264025	1226252	4.644454123662532
0.251429	290343	1335864	4.600985730670276
0.254286	314041	1435037	4.569584863122968
0.257143	339992	1535439	4.51610332007812
0.260000	371321	1666566	4.488208315716052
0.262857	402067	1805686	4.491007717619203
0.265714	435052	1958242	4.501167676507636
0.268571	469598	2117078	4.5082772924927275
0.271429	505986	2256665	4.459935650393489
0.274286	543325	2393860	4.405944876455161
0.277143	581899	2557563	4.395200885377015
0.280000	620395	2714409	4.375291548126596
0.282857	663209	2875759	4.336127826974604
0.285714	705513	3069261	4.350396094756581
0.288571	751546	3237707	4.308062314216295
0.291429	800194	3423614	4.278479968607613
0.294286	847792	3659684	4.316723913412724
0.297143	896630	3987427	4.447126462420396
0.300000	952187	4179786	4.389669256144014
0.302857	1007306	4247738	4.216929115879386
0.305714	1060750	4461777	4.206247466415272
0.308571	1110869	4587234	4.129410398525839
0.311429	1158074	4779057	4.126728516485129
0.314286	1208717	4945601	4.091612015053979
0.317143	1253428	5068035	4.043339545630064
0.320000	1297782	5211652	4.015814674575545
0.322857	1338416	5339932	3.989740110698019
0.325714	1381228	5501892	3.983333671196935
0.328571	1415649	5657279	3.996244125485908
0.331429	1441542	5783091	4.011739512272275
0.334286	1468248	5828336	3.9695855196124907
0.337143	1483748	5832420	3.930869662503336
0.340000	1497480	5858881	3.9124936560087615
0.342857	1509829	5851496	3.8756018065622
0.345714	1521863	5874309	3.859946000395568
0.348571	1538276	5916569	3.846233705784918
0.351429	1552784	5941467	3.8263319302620324
0.354286	1567247	5974971	3.812399066643611
