GC	Num. Positions	Overlapping Reads	Avg. Coverage
0.000000	401	784	1.9551122194513715
0.002857	106	308	2.9056603773584904
0.005714	47	90	1.9148936170212767
0.008571	54	152	2.814814814814815
0.011429	20	42	2.1
0.014286	95	205	2.1578947368421053
0.017143	68	152	2.235294117647059
0.020000	45	132	2.933333333333333
0.022857	33	86	2.606060606060606
0.025714	78	204	2.6153846153846154
0.028571	129	553	4.286821705426356
0.031429	119	443	3.722689075630252
0.034286	265	1120	4.226415094339623
0.037143	139	437	3.143884892086331
0.040000	220	764	3.4727272727272727
0.042857	143	428	2.993006993006993
0.045714	223	728	3.2645739910313902
0.048571	253	938	3.707509881422925
0.051429	265	1063	4.011320754716981
0.054286	249	912	3.6626506024096384
0.057143	264	951	3.602272727272727
0.060000	331	1304	3.9395770392749245
0.062857	346	1604	4.635838150289017
0.065714	375	1372	3.6586666666666665
0.068571	471	1681	3.5690021231422504
0.071429	452	1367	3.024336283185841
0.074286	520	1609	3.0942307692307693
0.077143	556	1545	2.778776978417266
0.080000	582	1809	3.1082474226804124
0.082857	799	2759	3.453066332916145
0.085714	900	3379	3.7544444444444443
0.088571	1021	3853	3.773751224289912
0.091429	1188	3664	3.0841750841750843
0.094286	1213	3832	3.1591096455070073
0.097143	1308	4334	3.3134556574923546
0.100000	1469	4377	2.979577944179714
0.102857	1590	4812	3.026415094339623
0.105714	1766	6048	3.4246885617214042
0.108571	1724	6327	3.6699535962877032
0.111429	1762	6049	3.4330306469920546
0.114286	1824	5899	3.2341008771929824
0.117143	2132	6858	3.216697936210131
0.120000	2159	6587	3.050949513663733
0.122857	2675	10439	3.9024299065420562
0.125714	3186	15484	4.860012554927809
0.128571	3458	13347	3.8597455176402544
0.131429	3515	12842	3.6534850640113796
0.134286	4163	15551	3.735527263992313
0.137143	4088	12450	3.045499021526419
0.140000	4560	14783	3.2418859649122806
0.142857	5073	16369	3.22669032130889
0.145714	5125	15211	2.968
0.148571	5600	18198	3.2496428571428573
0.151429	6185	19818	3.204203718674212
0.154286	7087	21645	3.054183716664315
0.157143	7962	23137	2.9059281587540817
0.160000	9103	25931	2.848621333626277
0.162857	11298	58336	5.1633917507523455
0.165714	15826	56510	3.5707064324529254
0.168571	19339	65460	3.384869951910647
0.171429	19973	64772	3.242978020327442
0.174286	20554	66542	3.2374233725795465
0.177143	21690	67185	3.0975103734439835
0.180000	22535	68126	3.023119591746173
0.182857	23699	67665	2.8551837630279757
0.185714	26908	77651	2.8857960457856398
0.188571	29749	86953	2.922888164308044
0.191429	33720	98604	2.9241992882562275
0.194286	38012	109909	2.8914290224139747
0.197143	42734	125667	2.940679552581083
0.200000	47142	134795	2.8593398667854566
